task,baseline,n_pairs,bkan_rmse_mean,baseline_rmse_mean,paired_delta_mean,bootstrap_ci95_low,bootstrap_ci95_high,corrected_ci95_low,corrected_ci95_high,corrected_p_value_raw,wins,losses,corrected_p_value_holm
APD_I_dark,dkan,10,0.10713466382908184,0.12747844589574614,-0.020343782066664283,-0.03209359335018916,-0.010165325815657707,-0.04177859113354458,0.0010910270002160195,0.06032903792510492,10,0,0.07676159589066853
APD_I_dark,mlp_l,10,0.10713466382908184,0.27910774995646936,-0.17197308612738751,-0.1912425279591615,-0.15147314785515192,-0.2107233216035721,-0.13322285065120293,3.462905659659918e-06,10,0,1.3851622638639672e-05
APD_I_dark,poly3_ridge,10,0.10713466382908184,0.3576213073829515,-0.2504866435538697,-0.3821638305812894,-0.14296262847105995,-0.4842837630608594,-0.016689524046879928,0.038380797945334263,10,0,0.07676159589066853
APD_I_dark,spline_ridge,10,0.10713466382908184,0.14299279437795206,-0.03585813054887021,-0.04549792245046549,-0.02414813067794437,-0.05663580813656571,-0.015080452961174707,0.0035972652672102198,9,1,0.01079179580163066
APD_I_photo,dkan,10,0.04836339897132415,0.08100873565177147,-0.03264533668044734,-0.04010765166963492,-0.02612496788922049,-0.04637247612951344,-0.018918197231381242,0.00044462777621721904,10,0,0.0008892555524344381
APD_I_photo,mlp_l,10,0.04836339897132415,0.2581919672271808,-0.20982856825585663,-0.2166359474691598,-0.1995293195791891,-0.2272747488752527,-0.19238238763646057,5.932190551942106e-10,10,0,2.3728762207768424e-09
APD_I_photo,poly3_ridge,10,0.04836339897132415,0.20828652733761127,-0.15992312836628714,-0.25796319990033906,-0.09315110525788341,-0.3279402145674013,0.008093957834827026,0.059726659733476135,10,0,0.059726659733476135
APD_I_photo,spline_ridge,10,0.04836339897132415,0.09821562458396141,-0.04985222561263727,-0.05643572749173825,-0.04134873992468767,-0.0647152404783024,-0.03498921074697213,3.370067956199843e-05,10,0,0.0001011020386859953
APD_I_net,dkan,10,0.03746513399584607,0.06825607368214934,-0.030790939686303274,-0.03886856405005627,-0.02285649517844112,-0.04639370504078228,-0.015188174331824268,0.0015677138908889395,10,0,0.0036126750531131893
APD_I_net,mlp_l,10,0.03746513399584607,0.26560415026098594,-0.22813901626513983,-0.23562207699879212,-0.21962568626677817,-0.2438510111983991,-0.21242702133188054,1.1058387685093227e-10,10,0,4.423355074037291e-10
APD_I_net,poly3_ridge,10,0.03746513399584607,0.20827756576108908,-0.17081243176524305,-0.30018433228870967,-0.10076295797080626,-0.39823920930053736,0.05661434577005128,0.12353514843300223,10,0,0.12353514843300223
APD_I_net,spline_ridge,10,0.03746513399584607,0.04955321550688008,-0.012088081511034006,-0.014932982223652757,-0.008869637149296493,-0.017970323566379457,-0.006205839455688555,0.0012042250177043965,10,0,0.0036126750531131893
APD_M,dkan,10,0.037803164046579185,0.0610975643015483,-0.023294400254969115,-0.03372232609731986,-0.013185588287933746,-0.043233690026249084,-0.0033551104836891457,0.02679043923384418,9,1,0.05358087846768836
APD_M,mlp_l,10,0.037803164046579185,0.2616296988319456,-0.22382653478536638,-0.23414038466919476,-0.21099726950138042,-0.24645354005336134,-0.2011995295173714,3.364748484788264e-09,10,0,1.3458993939153055e-08
APD_M,poly3_ridge,10,0.037803164046579185,0.18409533394269184,-0.14629216989611266,-0.23917099236108852,-0.09552140563973706,-0.3099607283288677,0.017376388536642334,0.07388443271724794,10,0,0.07388443271724794
APD_M,spline_ridge,10,0.037803164046579185,0.049459223104580875,-0.011656059058001694,-0.015305128758744908,-0.006696729576684337,-0.020277753942326678,-0.003034364173676708,0.013608704243426282,9,1,0.04082611273027885
APD_V_M10,dkan,10,0.021042119971661423,0.03168352225982573,-0.010641402288164303,-0.025864359034937008,-0.001712831522388139,-0.03720941188966674,0.015926607313338132,0.3885112764691399,8,2,0.3885112764691399
APD_V_M10,mlp_l,10,0.021042119971661423,0.03879207397151024,-0.01774995399984882,-0.02329875681699488,-0.01153037174350886,-0.029244729065100936,-0.0062551789345967074,0.006796173837769909,10,0,0.020388521513309728
APD_V_M10,poly3_ridge,10,0.021042119971661423,0.24072067903156896,-0.21967855905990752,-0.37780749894070065,-0.08995549835697685,-0.5001470960914224,0.060789977971607345,0.11018496530804653,10,0,0.22036993061609306
APD_V_M10,spline_ridge,10,0.021042119971661423,0.050394176914354515,-0.029352056942693095,-0.03679548355236398,-0.022673940076234685,-0.043194609091363925,-0.015509504794022268,0.0009781708850759283,10,0,0.003912683540303713
APD_V_br,dkan,10,0.03727589568653126,0.15743758048605336,-0.12016168479952209,-0.2920521480431593,-0.01040821999255677,-0.4261440273830478,0.18582065778400358,0.39746421907099666,8,2,0.48408016882507426
APD_V_br,mlp_l,10,0.03727589568653126,0.07405678438702913,-0.03678088870049788,-0.06315126345588702,-0.01629645406281985,-0.08310443688861247,0.009542659487616699,0.1060342900442264,10,0,0.31810287013267924
APD_V_br,poly3_ridge,10,0.03727589568653126,0.5849830891374802,-0.547707193450949,-1.1195665318732495,-0.19560078920323137,-1.5371238358734232,0.4417094489715252,0.24204008441253713,10,0,0.48408016882507426
APD_V_br,spline_ridge,10,0.03727589568653126,0.09753236236233032,-0.06025646667579906,-0.08119344850082512,-0.03854506878228326,-0.10153910969001972,-0.018973823661578383,0.00920253732402938,10,0,0.03681014929611752
