task,baseline,n_pairs,bkan_rmse_mean,baseline_rmse_mean,paired_delta_mean,bootstrap_ci95_low,bootstrap_ci95_high,corrected_ci95_low,corrected_ci95_high,corrected_p_value_raw,wins,losses,corrected_p_value_holm
APD_I_dark,dkan,10,0.10713466382908185,0.12747844589574614,-0.02034378206666429,-0.03209359335018919,-0.010165325815657706,-0.04177859113407423,0.0010910270007456514,0.06032903792510508,10,0,0.12065807585021016
APD_I_dark,mlp_l,10,0.10713466382908185,0.27910774995646936,-0.17197308612738751,-0.19124252795916147,-0.1514731478551519,-0.21072332160452956,-0.13322285065024547,3.4629056596599105e-06,10,0,2.0777433957959463e-05
APD_I_dark,spline_ridge,10,0.10713466382908185,0.14299279437795204,-0.0358581305488702,-0.04561449640538657,-0.024223117436057134,-0.05663580813707905,-0.01508045296066135,0.003597265267210189,9,1,0.010791795801630567
APD_I_dark,gmls,10,0.10713466382908185,0.18782468669401015,-0.0806900228649283,-0.09064434856496847,-0.07140917998089853,-0.09940069798752844,-0.06197934774232815,4.394952228371611e-06,10,0,2.1974761141858058e-05
APD_I_dark,autopinn,10,0.10713466382908185,0.18204170839856454,-0.07490704456948265,-0.08335383598535866,-0.06548290037616514,-0.09228032870811723,-0.057533760430848076,4.402480745927362e-06,10,0,2.1974761141858058e-05
APD_I_dark,curve_lut,10,0.10713466382908185,0.13073628603191026,-0.0236016222028284,-0.039977141004838915,-0.006036347829203641,-0.05665346648614096,0.009450222080484159,0.14068947567085474,7,3,0.14068947567085474
APD_I_photo,dkan,10,0.048363398971324134,0.08100873565177148,-0.03264533668044735,-0.040179855634802204,-0.026092086242300423,-0.04637247612985264,-0.01891819723104206,0.0004446277762172215,10,0,0.0004446277762172215
APD_I_photo,mlp_l,10,0.048363398971324134,0.2581919672271808,-0.20982856825585663,-0.21661727242769965,-0.19960439833056964,-0.22727474887568377,-0.1923823876360295,5.932190551942099e-10,10,0,3.5593143311652595e-09
APD_I_photo,spline_ridge,10,0.048363398971324134,0.09821562458396141,-0.04985222561263728,-0.05637051887903298,-0.0412824769933838,-0.06471524047866968,-0.03498921074660489,3.370067956199868e-05,10,0,0.00013480271824799472
APD_I_photo,gmls,10,0.048363398971324134,0.12242790412412455,-0.07406450515280037,-0.08273354737083585,-0.06361502507044016,-0.09271698121755961,-0.05541202908804113,8.675192935915312e-06,10,0,4.337596467957656e-05
APD_I_photo,autopinn,10,0.048363398971324134,0.17389442078757728,-0.12553102181625314,-0.14689625490711225,-0.10567629663717219,-0.16567007088102917,-0.08539197275147711,5.8260887931393743e-05,10,0,0.00017478266379418122
APD_I_photo,curve_lut,10,0.048363398971324134,0.07584873987438347,-0.02748534090305933,-0.03182669108027583,-0.02254231174450737,-0.03656759950660318,-0.018403082299515473,7.507855292299428e-05,10,0,0.00017478266379418122
APD_I_net,dkan,10,0.03746513399584608,0.06825607368214937,-0.03079093968630327,-0.03896916035172514,-0.02284421572804054,-0.046393705041167806,-0.015188174331438738,0.0015677138908889447,10,0,0.003612675053113184
APD_I_net,mlp_l,10,0.03746513399584608,0.26560415026098594,-0.22813901626513985,-0.235647814931097,-0.21957868774452818,-0.24385101119878735,-0.21242702133149235,1.1058387685093262e-10,10,0,6.635032611055957e-10
APD_I_net,spline_ridge,10,0.03746513399584608,0.04955321550688008,-0.012088081511033999,-0.014928698028284912,-0.008878039973372264,-0.017970323566524785,-0.006205839455543211,0.0012042250177043948,10,0,0.003612675053113184
APD_I_net,gmls,10,0.03746513399584608,0.10897322710713538,-0.07150809311128929,-0.0784644438104658,-0.06446320936645908,-0.08516889770281638,-0.0578472885197622,8.623451573430538e-07,10,0,4.311725786715269e-06
APD_I_net,autopinn,10,0.03746513399584608,0.1937905515188047,-0.15632541752295862,-0.18325441954525415,-0.1295547429595604,-0.20811312259103304,-0.10453771245488419,7.655833290011616e-05,10,0,0.00030623333160046464
APD_I_net,curve_lut,10,0.03746513399584608,0.03910106284964721,-0.0016359288538011292,-0.007554021329746961,0.00391850518526425,-0.012847910412227949,0.009576052704625691,0.7489009790690709,5,5,0.7489009790690709
APD_M,dkan,10,0.037803164046579185,0.0610975643015483,-0.02329440025496912,-0.03373545846501638,-0.013314752865582737,-0.04323369002674175,-0.0033551104831964843,0.026790439233844106,9,1,0.05358087846768821
APD_M,mlp_l,10,0.037803164046579185,0.2616296988319456,-0.22382653478536638,-0.2341756051873576,-0.21111522761807663,-0.24645354005392042,-0.20119952951681233,3.3647484847882746e-09,10,0,2.018849090872965e-08
APD_M,spline_ridge,10,0.037803164046579185,0.049459223104580875,-0.011656059058001692,-0.015311877300617335,-0.006608418508189663,-0.02027775394253971,-0.0030343641734636734,0.013608704243426336,9,1,0.04082611273027901
APD_M,gmls,10,0.037803164046579185,0.10852883232468793,-0.07072566827810875,-0.07840542041403593,-0.06225398515883577,-0.08650207121444926,-0.054949265341768236,3.1835402344361806e-06,10,0,1.59177011721809e-05
APD_M,autopinn,10,0.037803164046579185,0.1973878359292662,-0.15958467188268705,-0.18893239553064567,-0.13316289092867312,-0.21384743135899065,-0.10532191240638344,9.342610043787245e-05,10,0,0.0003737044017514898
