task,seed,split,group_id,n_points
APD_I_dark,42,train,apd_structure_20260818_00000,79
APD_I_dark,42,train,apd_structure_20260818_00001,79
APD_I_dark,42,train,apd_structure_20260818_00002,79
APD_I_dark,42,train,apd_structure_20260818_00003,79
APD_I_dark,42,train,apd_structure_20260818_00005,79
APD_I_dark,42,train,apd_structure_20260818_00006,79
APD_I_dark,42,train,apd_structure_20260818_00007,79
APD_I_dark,42,train,apd_structure_20260818_00009,79
APD_I_dark,42,train,apd_structure_20260818_00010,79
APD_I_dark,42,train,apd_structure_20260818_00011,79
APD_I_dark,42,train,apd_structure_20260818_00012,79
APD_I_dark,42,train,apd_structure_20260818_00013,79
APD_I_dark,42,train,apd_structure_20260818_00017,79
APD_I_dark,42,train,apd_structure_20260818_00018,79
APD_I_dark,42,train,apd_structure_20260818_00019,79
APD_I_dark,42,train,apd_structure_20260818_00020,79
APD_I_dark,42,train,apd_structure_20260818_00021,79
APD_I_dark,42,train,apd_structure_20260818_00025,79
APD_I_dark,42,train,apd_structure_20260818_00027,79
APD_I_dark,42,train,apd_structure_20260818_00028,79
APD_I_dark,42,train,apd_structure_20260818_00029,79
APD_I_dark,42,train,apd_structure_20260818_00030,79
APD_I_dark,42,train,apd_structure_20260818_00035,79
APD_I_dark,42,train,apd_structure_20260818_00036,79
APD_I_dark,42,train,apd_structure_20260818_00037,79
APD_I_dark,42,train,apd_structure_20260818_00038,79
APD_I_dark,42,train,apd_structure_20260818_00039,79
APD_I_dark,42,train,apd_structure_20260818_00040,79
APD_I_dark,42,train,apd_structure_20260818_00042,79
APD_I_dark,42,train,apd_structure_20260818_00047,79
APD_I_dark,42,train,apd_structure_20260818_00048,79
APD_I_dark,42,train,apd_structure_20260818_00051,79
APD_I_dark,42,train,apd_structure_20260818_00052,79
APD_I_dark,42,train,apd_structure_20260818_00055,79
APD_I_dark,42,train,apd_structure_20260818_00057,79
APD_I_dark,42,train,apd_structure_20260818_00058,79
APD_I_dark,42,train,apd_structure_20260818_00060,79
APD_I_dark,42,train,apd_structure_20260818_00061,79
APD_I_dark,42,train,apd_structure_20260818_00062,79
APD_I_dark,42,train,apd_structure_20260818_00063,79
APD_I_dark,42,train,apd_structure_20260818_00064,79
APD_I_dark,42,train,apd_structure_20260818_00065,79
APD_I_dark,42,train,apd_structure_20260818_00066,79
APD_I_dark,42,train,apd_structure_20260818_00068,79
APD_I_dark,42,train,apd_structure_20260818_00069,79
APD_I_dark,42,train,apd_structure_20260818_00070,79
APD_I_dark,42,train,apd_structure_20260818_00071,79
APD_I_dark,42,train,apd_structure_20260818_00075,79
APD_I_dark,42,train,apd_structure_20260818_00076,79
APD_I_dark,42,train,apd_structure_20260818_00077,79
APD_I_dark,42,train,apd_structure_20260818_00078,79
APD_I_dark,42,validation,apd_structure_20260818_00033,79
APD_I_dark,42,validation,apd_structure_20260818_00034,79
APD_I_dark,42,validation,apd_structure_20260818_00041,79
APD_I_dark,42,validation,apd_structure_20260818_00046,79
APD_I_dark,42,validation,apd_structure_20260818_00049,79
APD_I_dark,42,validation,apd_structure_20260818_00053,79
APD_I_dark,42,validation,apd_structure_20260818_00054,79
APD_I_dark,42,validation,apd_structure_20260818_00079,79
APD_I_dark,42,calibration,apd_structure_20260818_00004,79
APD_I_dark,42,calibration,apd_structure_20260818_00014,79
APD_I_dark,42,calibration,apd_structure_20260818_00015,79
APD_I_dark,42,calibration,apd_structure_20260818_00024,79
APD_I_dark,42,calibration,apd_structure_20260818_00031,79
APD_I_dark,42,calibration,apd_structure_20260818_00032,79
