task,baseline,n_pairs,bkan_rmse_mean,baseline_rmse_mean,paired_delta_mean,paired_delta_median,naive_paired_bootstrap_ci95_low,naive_paired_bootstrap_ci95_high,corrected_repeated_split_ci95_low,corrected_repeated_split_ci95_high,corrected_standard_error,corrected_p_value_raw,wins,ties,losses,standardized_effect_dz,corrected_p_value_holm,comparison_family
I_dark,dkan,10,0.0076924587876957455,0.019848723531226208,-0.012156264743530463,-0.012215163142877013,-0.014646422470178328,-0.0093791553045658,-0.017246929778365845,-0.007065599708695082,0.002250358692325618,0.00043191876323286525,10,0,0,-2.7216589074309767,0.001727675052931461,6 BKAN-vs-baseline contrasts
I_dark,mlp_l,10,0.0076924587876957455,0.016123891152565815,-0.008431432364870073,-0.011772833256387838,-0.012403395257355994,-0.0021500663091761816,-0.019108161914503666,0.002245297184763519,0.004719711665021128,0.1076769872325221,9,0,1,-0.90005943051661,0.2153539744650442,6 BKAN-vs-baseline contrasts
I_dark,spline_ridge,10,0.0076924587876957455,0.0062314324241857805,0.0014610263635099644,3.550513175464942e-05,-0.00011783898213192854,0.0032168062935631855,-0.0017468269699395672,0.004668879696959496,0.0014180506050261664,0.32975821504433767,5,0,5,0.519100702872015,0.32975821504433767,6 BKAN-vs-baseline contrasts
I_dark,gmls,10,0.0076924587876957455,0.028941269553312977,-0.02124881076561723,-0.020935625054184004,-0.02544320468585086,-0.017191770595722824,-0.0292613597106489,-0.013236261820585555,0.003541994816541601,0.000202720882160544,10,0,0,-3.022539612840782,0.00101360441080272,6 BKAN-vs-baseline contrasts
I_dark,autopinn,10,0.0076924587876957455,0.019267900366266032,-0.01157544157857029,-0.01139149125849935,-0.015973463327503715,-0.006863867043643483,-0.020355132799311195,-0.002795750357829384,0.0038811146125956246,0.015386916090007035,9,0,1,-1.5026796090536096,0.046160748270021104,6 BKAN-vs-baseline contrasts
I_dark,curve_lut,10,0.0076924587876957455,0.062155869288244125,-0.054463410500548384,-0.05101891998087992,-0.061170209371547185,-0.049001587655491056,-0.0663892628941499,-0.04253755810694687,0.005271893831883461,2.72714132771167e-06,10,0,0,-5.205032811331756,1.636284796627002e-05,6 BKAN-vs-baseline contrasts
I_photo,dkan,10,0.005028813565285842,0.005355385643821321,-0.0003265720785354797,-0.0003026501530023636,-0.0007905421847133626,8.494002720619573e-05,-0.001178810706454594,0.0005256665493836347,0.0003767371436049426,0.4085435636689734,7,0,3,-0.43674295029401194,1.0,6 BKAN-vs-baseline contrasts
I_photo,mlp_l,10,0.005028813565285842,0.004673966725361732,0.0003548468399241093,0.00027801025634601904,-3.8407920321315243e-05,0.0007554342721517708,-0.00041952991766723823,0.0011292235975154568,0.00034231784170748704,0.3269699339679203,2,0,8,0.522271948751744,1.0,6 BKAN-vs-baseline contrasts
I_photo,spline_ridge,10,0.005028813565285842,0.005409837479738555,-0.0003810239144527134,-0.0005890596692964909,-0.0007489091652334921,2.259791070531039e-05,-0.0011296053683228276,0.00036755753941740085,0.00033091487459945105,0.2792265720569904,7,0,3,-0.5801245427518854,1.0,6 BKAN-vs-baseline contrasts
I_photo,gmls,10,0.005028813565285842,0.011177714559074797,-0.006148900993788955,-0.005504469397183862,-0.007833219373808636,-0.004662665495614435,-0.00921150440319866,-0.0030862975843792503,0.0013538420140295228,0.0014022640550251414,10,0,0,-2.2883097266595946,0.00841358433015085,6 BKAN-vs-baseline contrasts
I_photo,autopinn,10,0.005028813565285842,0.005143862130773313,-0.00011504856548746984,-5.614772454148485e-05,-0.0005605623113365333,0.0003141195039313496,-0.0009746196193417381,0.0007445224883667983,0.00037997848600836024,0.7689414491750155,5,0,5,-0.15254834267185322,1.0,6 BKAN-vs-baseline contrasts
I_photo,curve_lut,10,0.005028813565285842,0.005413437577110543,-0.0003846240118247007,-0.0006309624608209969,-0.0010845794448539295,0.0003017104669088045,-0.0017365086467737655,0.0009672606231243642,0.0005976086264684769,0.5358851215748427,7,0,3,-0.32426854984707726,1.0,6 BKAN-vs-baseline contrasts
AC_Response,dkan,10,0.06463518902027296,0.15749478423228813,-0.09285959521201516,-0.0672976267817979,-0.14404405473908188,-0.05111494917569157,-0.18426627210052396,-0.001452918323506358,0.040406864027600804,0.047144622108447526,10,0,0,-1.1578623539503283,0.09428924421689505,6 BKAN-vs-baseline contrasts
AC_Response,mlp_l,10,0.06463518902027296,0.17470123278366315,-0.11006604376339016,-0.11724981195983228,-0.11885117931473314,-0.09997885041700429,-0.12854873349928717,-0.09158335402749315,0.008170382694621415,2.858565789287377e-07,10,0,0,-6.787287585106182,1.4292828946436885e-06,6 BKAN-vs-baseline contrasts
AC_Response,spline_ridge,10,0.06463518902027296,0.11175311467042323,-0.04711792565015027,-0.05000998639964292,-0.05275393796530811,-0.04097409730157885,-0.0585855750296033,-0.035650276270697244,0.005069342469992059,6.554936603270551e-06,10,0,0,-4.6829532738110355,2.6219746413082205e-05,6 BKAN-vs-baseline contrasts
AC_Response,gmls,10,0.06463518902027296,0.17515604631287449,-0.11052085729260153,-0.05676854785565516,-0.19221308992145386,-0.05132508037214432,-0.24977941401270085,0.028737699427497793,0.061560071513510915,0.10617174166155209,10,0,0,-0.9045455118941866,0.10617174166155209,6 BKAN-vs-baseline contrasts
AC_Response,autopinn,10,0.06463518902027296,0.17416050761857768,-0.10952531859830472,-0.10969005836689852,-0.11852179122428598,-0.10030659380449865,-0.12728759926040886,-0.09176303793620058,0.007851921587841391,2.1167107494913337e-07,10,0,0,-7.027872356424408,1.2700264496948002e-06,6 BKAN-vs-baseline contrasts
AC_Response,curve_lut,10,0.06463518902027296,0.05130222465561861,0.013332964364654356,0.010167327041494267,0.007652832590855078,0.01957323505635561,0.0016851436272952679,0.024980785102013445,0.005148988288091958,0.029240616628539932,0,0,10,1.3046382528349265,0.08772184988561979,6 BKAN-vs-baseline contrasts
Capacitance,dkan,10,6.853725098931587e-17,2.212204186208839e-16,-1.5268316763156797e-16,-1.331750375246104e-16,-1.8840489031113475e-16,-1.2064580656278635e-16,-2.187892731637973e-16,-8.657706209933862e-17,2.9222596297785586e-17,0.0005456716641887622,10,0,0,-2.632435002227181,0.0005456716641887622,6 BKAN-vs-baseline contrasts
Capacitance,mlp_l,10,6.853725098931587e-17,4.4392174170071376e-16,-3.7538449071139795e-16,-3.7596654286397436e-16,-3.920447712981851e-16,-3.5668490055584763e-16,-4.09805417212098e-16,-3.409635642106979e-16,1.5215974851752638e-17,1.4164445674251876e-09,10,0,0,-12.429734077857182,8.498667404551125e-09,6 BKAN-vs-baseline contrasts
Capacitance,spline_ridge,10,6.853725098931587e-17,2.726179725200733e-16,-2.0408072153075747e-16,-2.0743507874410413e-16,-2.1474363022430543e-16,-1.9272125324117974e-16,-2.2529369332894853e-16,-1.828677497325664e-16,9.377320084793424e-18,4.304415363935479e-09,10,0,0,-10.964997434641933,2.1522076819677393e-08,6 BKAN-vs-baseline contrasts
