mechanism_index,mechanism,photo_role,mechanism_drive,mechanism_initial_sign,mechanism_scale,term_index,term_name,expression,dependencies,probability,active_gate,coefficient_model_space
0,flat,flat,none,1.0,1.0,0,one,1,,0.7297041416168213,1.0,-0.01111483946442604
0,flat,flat,none,1.0,1.0,1,temperature_z,scaled(simulation_temperature),simulation_temperature,0.24596379697322845,1.0,0.012747588567435741
0,flat,flat,none,1.0,1.0,2,inverse_temperature,1/simulation_temperature,simulation_temperature,0.3102172911167145,1.0,-0.03036130964756012
0,flat,flat,none,1.0,1.0,3,length_z,scaled(active_layer_length),active_layer_length,0.25209057331085205,1.0,0.011091060005128384
0,flat,flat,none,1.0,1.0,4,inverse_length,1/active_layer_length,active_layer_length,0.25296300649642944,1.0,-0.019838856533169746
0,flat,flat,none,1.0,1.0,5,log_frequency_z,scaled(log10(frequency_ghz)),frequency_ghz,0.7173706293106079,1.0,-0.015010466799139977
0,flat,flat,none,1.0,1.0,6,frequency_z,scaled(frequency_ghz),frequency_ghz,0.7134348750114441,1.0,0.005739920306950808
0,flat,flat,none,1.0,1.0,7,frequency_z2,scaled(frequency_ghz)^2,frequency_ghz,0.7870522737503052,1.0,0.027762439101934433
0,flat,flat,none,1.0,1.0,8,lowpass_frequency_gate,1/(1 + frequency_ghz/10),frequency_ghz,0.7399997711181641,1.0,0.01005737204104662
0,flat,flat,none,1.0,1.0,9,lowpass_frequency_gate2,1/sqrt(1 + (frequency_ghz/10)^2),frequency_ghz,0.7106361389160156,1.0,0.0012769834138453007
0,flat,flat,none,1.0,1.0,10,frequency_times_length,frequency_ghz*active_layer_length,"frequency_ghz,active_layer_length",0.7633745074272156,1.0,-0.04184985160827637
0,flat,flat,none,1.0,1.0,11,frequency_over_length,frequency_ghz/active_layer_length,"frequency_ghz,active_layer_length",0.7358271479606628,1.0,-0.030522873625159264
0,flat,flat,none,1.0,1.0,12,length_lowpass_frequency,active_layer_length/(1 + frequency_ghz/10),"frequency_ghz,active_layer_length",0.7013728022575378,1.0,-0.019474023953080177
0,flat,flat,none,1.0,1.0,13,frequency_over_temperature,frequency_ghz/simulation_temperature,"frequency_ghz,simulation_temperature",0.7545906901359558,1.0,-0.02248804271221161
0,flat,flat,none,1.0,1.0,14,temperature_lowpass_frequency,simulation_temperature/(1 + frequency_ghz/10),"frequency_ghz,simulation_temperature",0.7111040949821472,1.0,0.0014876140048727393
