mechanism_index,mechanism,photo_role,mechanism_drive,mechanism_initial_sign,mechanism_scale,term_index,term_name,expression,dependencies,probability,active_gate,coefficient_model_space
0,flat,flat,none,1.0,1.0,0,one,1,,0.7402606010437012,1.0,-0.027822107076644897
0,flat,flat,none,1.0,1.0,1,dark_voltage_z,scaled(dark_voltage),dark_voltage,0.666426956653595,1.0,0.01934402622282505
0,flat,flat,none,1.0,1.0,2,dark_voltage_z2,scaled(dark_voltage)^2,dark_voltage,0.6491948962211609,1.0,0.0051133413799107075
0,flat,flat,none,1.0,1.0,3,soft_reverse_dark_voltage,softplus(-dark_voltage/0.2),dark_voltage,0.6489442586898804,1.0,0.0020884571131318808
0,flat,flat,none,1.0,1.0,4,tanh_reverse_dark_voltage,tanh(-dark_voltage/1.0),dark_voltage,0.6671486496925354,1.0,-0.030606310814619064
0,flat,flat,none,1.0,1.0,5,reverse_saturation_dark_voltage,1-exp(-(softplus(-dark_voltage/0.2)-log(2))),dark_voltage,0.6812430620193481,1.0,0.01423181127756834
0,flat,flat,none,1.0,1.0,6,forward_gate_dark_voltage,sigmoid(dark_voltage/0.2),dark_voltage,0.6588364243507385,1.0,0.008837739937007427
0,flat,flat,none,1.0,1.0,7,reverse_gate_dark_voltage,sigmoid(-dark_voltage/0.2),dark_voltage,0.659949541091919,1.0,-0.019731389358639717
0,flat,flat,none,1.0,1.0,8,temperature_z,scaled(simulation_temperature),simulation_temperature,0.7197838425636292,1.0,0.01105794869363308
0,flat,flat,none,1.0,1.0,9,inverse_temperature,1/simulation_temperature,simulation_temperature,0.7207179665565491,1.0,-0.010368178598582745
0,flat,flat,none,1.0,1.0,10,dark_voltage_over_temperature,dark_voltage/simulation_temperature,"dark_voltage,simulation_temperature",0.7216229438781738,1.0,0.008169181644916534
0,flat,flat,none,1.0,1.0,11,length_z,scaled(active_layer_length),active_layer_length,0.36920416355133057,1.0,0.038067519664764404
0,flat,flat,none,1.0,1.0,12,inverse_length,1/active_layer_length,active_layer_length,0.3505147099494934,1.0,0.004124094266444445
0,flat,flat,none,1.0,1.0,13,dark_voltage_over_length,dark_voltage/active_layer_length,"dark_voltage,active_layer_length",0.6653705835342407,1.0,-0.0036714577581733465
0,flat,flat,none,1.0,1.0,14,trap_A_z,scaled(trap_assisted_recomb_A),trap_assisted_recomb_A,0.2695937752723694,1.0,-0.018569963052868843
0,flat,flat,none,1.0,1.0,15,ge_sio2_velocity_z,scaled(ge_sio2_recomb_velocity),ge_sio2_recomb_velocity,0.24251843988895416,1.0,-0.004308812320232391
0,flat,flat,none,1.0,1.0,16,ge_si_velocity_z,scaled(ge_si_recomb_velocity),ge_si_recomb_velocity,0.2785557508468628,1.0,0.003878786461427808
0,flat,flat,none,1.0,1.0,17,ge_sio2_velocity_over_length,ge_sio2_recomb_velocity/active_layer_length,"ge_sio2_recomb_velocity,active_layer_length",0.37264981865882874,1.0,-0.013433060608804226
0,flat,flat,none,1.0,1.0,18,ge_si_velocity_over_length,ge_si_recomb_velocity/active_layer_length,"ge_si_recomb_velocity,active_layer_length",0.35480350255966187,1.0,0.014843583106994629
