task,method,split,axis,reference_derivative,prediction_derivative,derivative_std,source,abs_derivative_error
I_dark,deterministic_kan,test,-1.8,-0.0815371592936138,-0.082234,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0006968407063862037
I_dark,deterministic_kan,test,-0.6000000000000001,-0.2784571032146949,-0.25941586,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.019041243214694914
I_dark,deterministic_kan,test,-0.8,-0.194256142374936,-0.18233863,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.01191751237493599
I_dark,deterministic_kan,test,-2.2,-0.061527270847268,-0.057190675,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0043365958472679975
I_dark,deterministic_kan,test,-1.8,-0.0815984919278278,-0.08193556,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0003370680721722086
I_dark,deterministic_kan,test,-3.0,-0.0402031576616757,-0.03611599,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.004087167661675696
I_dark,deterministic_kan,test,-2.4000000000000004,-0.0540849468933402,-0.05142121,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0026637368933402003
I_dark,deterministic_kan,test,-0.6000000000000001,-0.2724877832716323,-0.25675964,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0157281432716323
I_dark,deterministic_kan,test,-2.0,-0.0717667452015682,-0.07346677,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0017000247984318012
I_dark,deterministic_kan,test,-1.4,-0.1082959081180661,-0.11467538,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.006379471881933899
I_dark,deterministic_kan,test,-2.8000000000000003,-0.0418111609395044,-0.045374863,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0035637020604956035
I_dark,deterministic_kan,test,-3.0,-0.0410036440023446,-0.03703813,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0039655140023446
I_dark,deterministic_kan,test,-2.4000000000000004,-0.0534483046171239,-0.050438203,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0030101016171239017
I_dark,deterministic_kan,test,-2.8000000000000003,-0.0441784624649912,-0.04687012,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0026916575350088012
I_dark,deterministic_kan,test,-1.0,-0.1677176364083266,-0.16674761,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0009700264083266075
I_dark,deterministic_kan,test,-2.0,-0.0639877604028242,-0.06479454,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0008067795971758024
I_dark,deterministic_kan,test,-1.0,-0.1687601047058926,-0.16907589,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.00031578529410741796
I_dark,deterministic_kan,test,-0.4,-0.4858029236223196,-0.46891066,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.016892263622319603
I_dark,deterministic_kan,test,-0.8,-0.1972995543440774,-0.1862321,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.011067454344077382
I_dark,deterministic_kan,test,-1.2000000000000002,-0.1418785187527298,-0.14085627,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0010222487527297985
I_dark,deterministic_kan,test,-1.2000000000000002,-0.1505763792217003,-0.15731612,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0067397407782996965
I_dark,deterministic_kan,test,-3.0,-0.0400004455667044,-0.035315815,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.004684630566704401
I_dark,deterministic_kan,test,-0.6000000000000001,-0.2727000297882362,-0.2530261,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.019673929788236233
I_dark,deterministic_kan,test,-0.2,-0.7362015035081768,-0.6835643,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0526372035081768
I_dark,deterministic_kan,test,-1.2000000000000002,-0.141195042794088,-0.14226663,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0010715872059119946
I_dark,deterministic_kan,test,-2.2,-0.0617922362893459,-0.059315044,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0024771922893459045
I_dark,deterministic_kan,test,-1.2000000000000002,-0.1313218939255112,-0.13689159,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.005569696074488817
I_dark,deterministic_kan,test,-0.2,-0.8508035659942266,-0.84826934,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.002534225994226591
I_dark,deterministic_kan,test,-0.4,-0.5355399726567036,-0.5286437,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0068962726567035615
I_dark,deterministic_kan,test,-0.2,-0.80873752227658,-0.8087643,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,2.6777723419968424e-05
I_dark,deterministic_kan,test,-2.6,-0.0474137267558845,-0.04780447,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.00039074324411550454
I_dark,deterministic_kan,test,-2.0,-0.0707427667306852,-0.07132661,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0005838432693147932
I_dark,deterministic_kan,test,-1.4,-0.1178857148911873,-0.114168555,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0037171598911872883
I_dark,deterministic_kan,test,-0.6000000000000001,-0.2964797548044515,-0.273953,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.022526754804451488
I_dark,deterministic_kan,test,-0.6000000000000001,-0.2803614779589942,-0.2617261,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.01863537795899417
I_dark,deterministic_kan,test,-1.0,-0.1653238347381354,-0.16434325,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0009805847381353927
I_dark,deterministic_kan,test,-0.4,-0.4873495633367106,-0.46776924,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.019580323336710614
I_dark,deterministic_kan,test,-2.4000000000000004,-0.0556864839088468,-0.050619494,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.005066989908846797
I_dark,deterministic_kan,test,-2.0,-0.0694914577628527,-0.06868833,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0008031277628526984
