mechanism_index,mechanism,photo_role,mechanism_drive,mechanism_initial_sign,mechanism_scale,term_index,term_name,expression,dependencies,probability,active_gate,coefficient_model_space
0,flat,flat,none,1.0,1.0,0,one,1,,0.7363883852958679,1.0,-0.02872455306351185
0,flat,flat,none,1.0,1.0,1,light_voltage_z,scaled(light_voltage),light_voltage,0.736282467842102,1.0,0.03038283810019493
0,flat,flat,none,1.0,1.0,2,light_voltage_z2,scaled(light_voltage)^2,light_voltage,0.7253786325454712,1.0,0.010343726724386215
0,flat,flat,none,1.0,1.0,3,soft_reverse_light_voltage,softplus(-light_voltage/0.2),light_voltage,0.7182691097259521,1.0,0.004834896884858608
0,flat,flat,none,1.0,1.0,4,tanh_reverse_light_voltage,tanh(-light_voltage/1.0),light_voltage,0.7203372120857239,1.0,0.01065322756767273
0,flat,flat,none,1.0,1.0,5,reverse_saturation_light_voltage,1-exp(-(softplus(-light_voltage/0.2)-log(2))),light_voltage,0.7236387729644775,1.0,0.020722346380352974
0,flat,flat,none,1.0,1.0,6,forward_gate_light_voltage,sigmoid(light_voltage/0.2),light_voltage,0.733720064163208,1.0,0.017338542267680168
0,flat,flat,none,1.0,1.0,7,reverse_gate_light_voltage,sigmoid(-light_voltage/0.2),light_voltage,0.7310354113578796,1.0,-0.005202257074415684
0,flat,flat,none,1.0,1.0,8,temperature_z,scaled(simulation_temperature),simulation_temperature,0.2831976115703583,1.0,-0.025723658502101898
0,flat,flat,none,1.0,1.0,9,inverse_temperature,1/simulation_temperature,simulation_temperature,0.2813854217529297,1.0,0.00735001964494586
0,flat,flat,none,1.0,1.0,10,light_voltage_over_temperature,light_voltage/simulation_temperature,"light_voltage,simulation_temperature",0.7345899939537048,1.0,0.016326164826750755
0,flat,flat,none,1.0,1.0,11,length_z,scaled(active_layer_length),active_layer_length,0.34815239906311035,0.0,0.004223267547786236
0,flat,flat,none,1.0,1.0,12,inverse_length,1/active_layer_length,active_layer_length,0.3546923100948334,1.0,-0.0018620528280735016
0,flat,flat,none,1.0,1.0,13,light_voltage_over_length,light_voltage/active_layer_length,"light_voltage,active_layer_length",0.7321639657020569,1.0,0.009156186133623123
0,flat,flat,none,1.0,1.0,14,trap_A_z,scaled(trap_assisted_recomb_A),trap_assisted_recomb_A,0.3003036677837372,1.0,-0.020858006551861763
0,flat,flat,none,1.0,1.0,15,ge_sio2_velocity_z,scaled(ge_sio2_recomb_velocity),ge_sio2_recomb_velocity,0.3096354603767395,1.0,0.015667883679270744
