task,model,fraction,n_seeds,n_train_mean,rmse_target_mean,rmse_target_std,mae_target_mean,mae_target_std,r2_target_mean,r2_target_std,rmse_raw_mean,rmse_raw_std,mae_raw_mean,mae_raw_std,medape_percent_mean,medape_percent_std,p95ape_percent_mean,p95ape_percent_std,param_count_mean,param_count_std,train_time_s_mean,train_time_s_std,n_train_std
I_dark,dkan,0.01,3,16.0,2.4426926300706167,3.1964660767337043,0.9543713666418455,1.1642013933215343,-470.85312011764125,665.9270190641269,600287070640695.9,848934116617288.4,60302409084748.88,85280484771422.4,25.86558579297871,7.284738295393448,1.83965752611879e+16,2.6016686235589148e+16,952.0,0.0,1.4661174666834995,0.24685459558408132,0.0
I_dark,bkan,0.01,3,16.0,0.1728032905319585,0.012280462825076667,0.14089929018905178,0.012410674571950109,0.12499811556485625,0.12627572863581338,1.1727550808713195e-07,1.1156633954865286e-08,9.158896748771285e-08,7.770494442420879e-09,26.589952797110612,2.5700458894476705,84.74708821380649,11.025342159168913,1664.0,0.0,1.425071066711098,0.02151203195052967,0.0
I_dark,mlp_n,0.01,3,16.0,0.06151505993370409,0.011384467461587696,0.044120287245110766,0.006331255351745306,0.8858947490357799,0.042976031345557344,3.4853127053953714e-08,4.009843850816637e-09,2.632139692664904e-08,2.951353909686148e-09,7.09241728614953,0.9761185656928704,29.93443821551878,6.9876338278796055,769.0,0.0,0.24781483330298215,0.013247624033986076,0.0
I_dark,mlp_l,0.01,3,16.0,0.0595320927146199,0.004701386337738757,0.043713526770161854,0.003379857193333185,0.8960272448584977,0.016471087517049666,3.9224979253554984e-08,8.550136284992852e-09,2.8027830223099346e-08,4.2503208553344e-09,7.4820849356371495,0.9475119668820109,28.414047043712213,3.3660047024715305,2561.0,0.0,0.23650070000439882,0.011145305305757875,0.0
I_dark,dkan,0.05,3,84.0,0.05692658217201991,0.0031987139170506214,0.040041231644694295,0.0018944525456934403,0.9052200652085389,0.010782173394834565,3.312666556068129e-08,6.351212962659058e-10,2.4678569940936092e-08,9.631709676405203e-10,6.596435032879792,0.45031971926116643,27.596076630315427,2.256708275609241,952.0,0.0,1.8136009666680668,0.06376880483419022,0.0
I_dark,bkan,0.05,3,84.0,0.08855910238007651,0.015695530488786823,0.05909218078176995,0.014758578298201035,0.7641611110368919,0.08029208783193484,4.812093694755962e-08,1.2521914274125632e-08,3.512427456499881e-08,1.0829144785754974e-08,8.47740041994732,3.5304075253522913,56.27327397178402,11.62296901874484,1664.0,0.0,3.8264860999770463,0.09976353468928302,0.0
I_dark,mlp_n,0.05,3,84.0,0.0218029095574483,0.0016415107635516133,0.014959656703690238,0.0014109003602343856,0.9860619880453915,0.002033103393186326,1.102950645321026e-08,1.4709136069113913e-09,8.313683994086586e-09,1.0857105803255782e-09,2.185359915503304,0.30660633154065137,11.829354428855503,0.7195607288803573,769.0,0.0,0.2613595333338405,0.009643693870022852,0.0
I_dark,mlp_l,0.05,3,84.0,0.01858369382619306,0.0009448581558376482,0.012469410469128195,0.00036159395797643674,0.9899050902354838,0.0010195164453141003,8.926318220334408e-09,9.346286389983695e-11,6.744601893495494e-09,1.7026189354331814e-10,1.777647122833584,0.13938807070096984,10.409128200754594,0.8363472276895259,2561.0,0.0,0.2777996666263789,0.03090159152275002,0.0
I_dark,dkan,0.1,3,168.0,0.045095950356494253,0.006482505131504324,0.031030470394336446,0.005293028714533112,0.9394833412540708,0.016520075183800706,2.711092471153965e-08,5.16106024423193e-09,1.9376038560686743e-08,3.5597138047395e-09,5.174656345470283,1.0609857554321347,21.021722123971674,4.906737750826432,952.0,0.0,2.2807845666926974,0.1469586393725915,0.0
I_dark,bkan,0.1,3,168.0,0.04528630803696512,0.005615874769611221,0.027218945213842525,0.0034062855270434057,0.9392874139117916,0.014301052643615824,2.1107188792935625e-08,2.123703227764876e-09,1.505325359384356e-08,1.911082937772378e-09,3.59645176653318,0.5101276468722353,25.25783154023551,5.015264778001033,1664.0,0.0,7.066615666689661,0.1772666378368994,0.0
I_dark,mlp_n,0.1,3,168.0,0.020709917596359848,0.000853577029424376,0.013713121050954541,0.0011466144285651489,0.9874740404393604,0.0010162671572862786,1.0195374511557574e-08,9.360963839322482e-10,7.60720510012284e-09,1.078362440874661e-09,1.9683831741293976,0.37871215356581117,12.610148657994223,2.0753248139299445,769.0,0.0,0.24068963329773396,0.00504061066799062,0.0
I_dark,mlp_l,0.1,3,168.0,0.01772651140820574,0.0018239480977479167,0.011664683811725494,0.0003721060982533934,0.990741567879915,0.001920129761424245,8.258424958085195e-09,4.26233556289658e-10,6.293348256437091e-09,1.6825230891234075e-10,1.6737477174130608,0.11035795734072008,10.778416733895092,2.676944384805616,2561.0,0.0,0.25634803328042227,0.009472892778902642,0.0
I_dark,dkan,0.25,3,420.0,0.02089160846032687,0.004149906327935236,0.012795690812457008,0.0025016680433317304,0.9867728051853154,0.0053895491698412006,1.0135958454488872e-08,1.8112355869336438e-09,7.340129901195631e-09,1.2959823302994286e-09,1.882102319215159,0.2709368489439519,9.291990419931105,2.6685056228802497,952.0,0.0,2.737250233301893,0.02878160034439893,0.0
I_dark,bkan,0.25,3,420.0,0.01608335164981144,0.0020394210344524227,0.009313916235131682,0.0009679028257026668,0.9923370189838349,0.0019146098932145766,7.174611324657936e-09,2.817107973485961e-10,5.20350897460281e-09,3.1421558306928425e-10,1.3207809415498242,0.07707801354541319,6.613858333449698,0.6109226546766514,1664.0,0.0,15.339207166689448,0.28876535201972736,0.0
I_dark,mlp_n,0.25,3,420.0,0.01915973169251677,0.0005386513015806598,0.012763672636022403,0.0005843905612623199,0.98928877599824,0.0006070053068700933,8.994441754052783e-09,5.118908099450307e-10,6.964997021124394e-09,5.652594035389997e-10,1.8730363451680792,0.1746270100197049,12.68917145727832,0.49983370711249514,769.0,0.0,0.255170233353662,0.0025952579363586552,0.0
I_dark,mlp_l,0.25,3,420.0,0.017445494350869336,0.0009087204219672531,0.01154684342691606,0.0005250374864532205,0.9911026544201338,0.0009123157014179245,7.976457878510764e-09,3.802477740128085e-10,6.209187963329516e-09,2.0325136915049947e-10,1.684926652882913,0.08888977956026001,11.211444647031291,0.9226026978315448,2561.0,0.0,0.27583219999602687,0.006461925646208276,0.0
I_dark,dkan,0.5,3,840.0,0.014175913837803283,0.0007741935747311146,0.007956045518225971,0.0003425382717429293,0.994123582173679,0.0006518124962116046,6.425867911026828e-09,4.995571423750202e-10,4.571732080623484e-09,2.5527118371889823e-10,1.1833940457512073,0.08158790110771812,5.0720979566301025,0.32172731278191286,952.0,0.0,2.7222133666509762,0.0963912843330122,0.0
I_dark,bkan,0.5,3,840.0,0.007606051168318861,0.0014683796615696458,0.004449263416869771,0.0005994869579333157,0.998250445827798,0.0006604135303514021,4.0158896086850545e-09,5.774278434598549e-10,2.6598207721592362e-09,2.814511553430146e-10,0.6801422049614194,0.10357497523354971,2.972764426502023,0.4966897590423122,1664.0,0.0,29.34867716669881,0.2395075234014513,0.0
I_dark,mlp_n,0.5,3,840.0,0.018570243356566228,0.0006351849064607226,0.012949938301169368,0.000742829910598993,0.9899339258214962,0.0006930925352195193,8.929537752725976e-09,5.828754765619726e-10,7.124707126754605e-09,5.635136302782451e-10,2.0335561755861202,0.2119935743155145,11.953285097714312,0.36496586529349573,769.0,0.0,0.27499623336674023,0.008484174634890724,0.0
I_dark,mlp_l,0.5,3,840.0,0.01683159262110322,0.0005687291044358368,0.011681249736064185,0.0003261672155541763,0.9917308072265422,0.000551648952180927,7.89914869718856e-09,2.2953674416294907e-10,6.316913243191476e-09,1.3544301400974591e-10,1.7734380733593318,0.06680370307581544,10.855689295831759,0.5534013338913127,2561.0,0.0,0.28301666665356606,0.0068506615757491195,0.0
I_dark,dkan,0.8,3,1344.0,0.012779795638674013,0.002012106946868609,0.006647616471879778,0.0007798596553565515,0.9951202306768477,0.0015488310045903898,5.150840718649546e-09,5.458199452251103e-10,3.6771645573390995e-09,3.5446900274665447e-10,0.9608454104666503,0.10184198456668768,4.265192239382422,0.40848395030720386,952.0,0.0,2.6945636000406616,0.1329259432233726,0.0
I_dark,bkan,0.8,3,1344.0,0.007268846393806319,0.002909430272144208,0.004529261180821716,0.0013019565032787108,0.9982127550786158,0.0013862374672153042,3.639903371266093e-09,6.481786180136193e-10,2.7197796629938868e-09,6.729043017829381e-10,0.7556163806637604,0.27979983364657435,2.9023961595480627,0.3883586698627257,1664.0,0.0,44.746292399979815,1.5648275825844957,0.0
I_dark,mlp_n,0.8,3,1344.0,0.018699744826657403,0.0007845665857138963,0.012904323945591328,0.0008444805576458631,0.9897870239649432,0.0008646790066758949,8.833142461080138e-09,6.746761440717935e-10,7.037989793483306e-09,6.154672704343704e-10,2.0068022092664375,0.25177735939174645,12.1653201655301,0.562251458261542,769.0,0.0,0.2685143666264291,0.018360864912366184,0.0
I_dark,mlp_l,0.8,3,1344.0,0.01687710576749012,0.0003897602908384695,0.011721546987208278,0.0002536781360447317,0.9916910788148038,0.0003805882111423459,7.906135489875232e-09,2.1587633133115461e-10,6.350643528663931e-09,1.6661580040411296e-10,1.802144361784853,0.08588501197947226,10.795866599256373,0.3359309810516832,2561.0,0.0,0.30238343332894146,0.020057364009475075,0.0
I_dark,dkan,1.0,3,1680.0,0.012314628664243701,0.0013209979763757539,0.0063425356464374945,0.0012025590252629718,0.9955277233385282,0.0009577711920387742,5.116893090846608e-09,7.407839631916574e-10,3.566284712210111e-09,6.953909726569183e-10,0.861519594959241,0.17569916279901177,4.213275165281028,0.7671786204761165,952.0,0.0,2.5636822999998308,0.029522295603031098,0.0
I_dark,bkan,1.0,3,1680.0,0.005233626078792912,0.0001442983401537506,0.0036243192932611124,0.00011724539035925078,0.999200805416304,4.444085834090442e-05,2.819166969349478e-09,1.5977670284843002e-10,2.1164248095085783e-09,1.1157823883980561e-10,0.5564649593296354,0.04302470261802055,2.734375316697943,0.09211172552337855,1664.0,0.0,54.50415656665185,0.30394490208762287,0.0
I_dark,mlp_n,1.0,3,1680.0,0.018522391126885824,0.0008031219233527424,0.012912256849888325,0.0007545352291769034,0.9899786331112802,0.0008715733430623418,8.847765475487792e-09,6.804922362489705e-10,7.075102673522637e-09,5.707652857812712e-10,2.023845985016004,0.20526431753676927,12.042697813506365,0.5655760208265109,769.0,0.0,0.2577696999845405,0.0052423988808533535,0.0
