task,model,fraction,n_seeds,n_train_mean,rmse_target_mean,rmse_target_std,mae_target_mean,mae_target_std,r2_target_mean,r2_target_std,rmse_raw_mean,rmse_raw_std,mae_raw_mean,mae_raw_std,medape_percent_mean,medape_percent_std,p95ape_percent_mean,p95ape_percent_std,param_count_mean,param_count_std,train_time_s_mean,train_time_s_std,n_train_std
Capacitance,dkan,0.01,3,448.0,3.4003544662406904e-19,8.483941135359246e-20,1.80423209553659e-19,4.179191200200089e-20,0.9888159688157173,0.005484701584923406,3.4003544662406904e-19,8.483941135359246e-20,1.80423209553659e-19,4.179191200200089e-20,0.36702452517762985,0.08232296403266325,1.8544542771443318,0.41165614595915834,1088.0,0.0,2.8743937333735325,0.29132465602492325,0.0
Capacitance,bkan,0.01,3,448.0,2.0109726466962664e-18,1.313340651368036e-19,1.0990258020041306e-18,6.928009553176923e-20,0.6301858227211401,0.04707201255492378,2.0109726466962664e-18,1.313340651368036e-19,1.0990258020041306e-18,6.928009553176923e-20,1.7450057381592208,0.09907558701195592,14.989069165755316,0.742322650829489,1872.0,0.0,3.5278914333321154,0.10385272324523796,0.0
Capacitance,mlp_n,0.01,3,448.0,6.432500076267265e-19,7.465301117456891e-21,4.529599338250939e-19,2.4114911439578736e-20,0.9623173970589644,0.0008753513530621597,6.432500076267265e-19,7.465301117456891e-21,4.529599338250939e-19,2.4114911439578736e-20,1.156959393282573,0.1224750723960766,4.163563786106455,0.1304690740169366,801.0,0.0,0.26016159999805194,0.0026628159064284586,0.0
Capacitance,mlp_l,0.01,3,448.0,5.352492932693482e-19,4.2107764468247074e-20,3.6494575742242985e-19,2.613958287146352e-20,0.9737508936722112,0.004218581959099772,5.352492932693482e-19,4.2107764468247074e-20,3.6494575742242985e-19,2.613958287146352e-20,0.8723350536735826,0.0662304496683445,3.5964051191437068,0.31847394198008966,2625.0,0.0,0.2861728665884584,0.0192365803417157,0.0
Capacitance,dkan,0.05,3,2240.0,1.7714019577488662e-19,2.2786559961141128e-20,1.0205477873823792e-19,1.386428421631216e-20,0.9970954117766606,0.0007671741485398234,1.7714019577488662e-19,2.2786559961141128e-20,1.0205477873823792e-19,1.386428421631216e-20,0.2258389996748861,0.02490759301390204,1.0046196814493593,0.13806034057856612,1088.0,0.0,2.6050429332535714,0.0924868056274761,0.0
Capacitance,bkan,0.05,3,2240.0,3.721500552215524e-19,5.77688912842168e-20,2.0837418228089013e-19,2.1564355272584477e-20,0.9870848393828417,0.004060801678617372,3.721500552215524e-19,5.77688912842168e-20,2.0837418228089013e-19,2.1564355272584477e-20,0.3960491937356065,0.041951241469353945,2.3824121593676892,0.3586339349910581,1872.0,0.0,14.830665899983918,0.13610888417262243,0.0
Capacitance,mlp_n,0.05,3,2240.0,5.6100845295367e-19,3.35603694531072e-20,4.1088558257503216e-19,2.987328801524133e-20,0.9712384021004307,0.003476696394683667,5.6100845295367e-19,3.35603694531072e-20,4.1088558257503216e-19,2.987328801524133e-20,1.0589527373580219,0.11804734020954336,3.5943362013645817,0.09402738291602747,801.0,0.0,0.30580170002455515,0.016494068547382702,0.0
Capacitance,mlp_l,0.05,3,2240.0,4.674410992743659e-19,4.102531248266908e-20,3.312977600374645e-19,3.4390943930499034e-20,0.9799502450895107,0.0035873893980201284,4.674410992743659e-19,4.102531248266908e-20,3.312977600374645e-19,3.4390943930499034e-20,0.8091566506198427,0.11612730455847815,3.1335504245032584,0.23465902287275456,2625.0,0.0,0.36316920001991093,0.00813219888624279,0.0
Capacitance,dkan,0.1,3,4480.0,1.7729040633895688e-19,2.3027518698152817e-20,1.0261434968131029e-19,1.0714053772239342e-20,0.9970895586396087,0.0007733174967019779,1.7729040633895688e-19,2.3027518698152817e-20,1.0261434968131029e-19,1.0714053772239342e-20,0.2261387612473068,0.022200523781025015,0.9939165152971677,0.08826514603424568,1088.0,0.0,2.652650766695539,0.09528764584374558,0.0
Capacitance,bkan,0.1,3,4480.0,2.0590501645535103e-19,1.3936015419578538e-20,1.1980673278619532e-19,8.94801882644442e-21,0.99612169874534,0.0005342743119882161,2.0590501645535103e-19,1.3936015419578538e-20,1.1980673278619532e-19,8.94801882644442e-21,0.24785850535019258,0.016662158539231878,1.2729898497995613,0.20290384416156518,1872.0,0.0,28.78465626675946,0.15963852542493157,0.0
Capacitance,mlp_n,0.1,3,4480.0,5.399359446533239e-19,2.9865303135861794e-20,3.959316250311414e-19,2.2497353388827943e-20,0.9733722803501735,0.002993627137722683,5.399359446533239e-19,2.9865303135861794e-20,3.959316250311414e-19,2.2497353388827943e-20,1.012996576589655,0.06803843531335188,3.461791386651481,0.13561891940611426,801.0,0.0,0.34865383330422145,0.0060794839760836905,0.0
Capacitance,mlp_l,0.1,3,4480.0,4.517722929442579e-19,4.106079839577952e-20,3.2055362721404782e-19,3.870481073117079e-20,0.9812615002693748,0.0034824220006307574,4.517722929442579e-19,4.106079839577952e-20,3.2055362721404782e-19,3.870481073117079e-20,0.7780516131162228,0.13938533190367622,3.013129834408461,0.2069673256895642,2625.0,0.0,0.4466607666884859,0.01564998298638452,0.0
