task,model,n_seeds,rmse_mean,rmse_sample_std,rmse_median,r2_mean
I_dark,bkan,10,0.007692457779675329,0.0092889211689491,0.0036664814624915,0.9969394454337308
I_dark,dkan,10,0.01984872353122617,0.008249515484492143,0.01816368836376585,0.98706050774804
I_dark,mlp_l,10,0.016123891152565774,0.0009113136710306135,0.01645088173184165,0.9916280644615142
I_dark,poly3_ridge,10,0.011033718245068441,0.00020983441291541632,0.01099392705858565,0.9960913339235024
I_dark,spline_ridge,10,0.0062314324241857285,0.0071963036977746265,0.00397203495397905,0.9980748035902982
I_photo,bkan,10,0.00502398709000596,0.0011399154486826937,0.0049076665628603,0.9495908104444964
I_photo,dkan,10,0.0053603638752886705,0.001333506031606996,0.0053037755394745,0.9420470503016427
I_photo,mlp_l,10,0.00467572857001105,0.0006727114785596587,0.004796750020079,0.9575149654420227
I_photo,poly3_ridge,10,0.00854744676225391,0.0031625613975678917,0.008411439027958649,0.8443954968871867
I_photo,spline_ridge,10,0.00540899161364009,0.0010718487877803885,0.00551810359522695,0.9421298882704303
AC_Response,bkan,10,0.06463519994046825,0.019634013005734797,0.05591311723439865,0.9992401922982743
AC_Response,dkan,10,0.157495430625123,0.08874703947618522,0.13796374753973606,0.9946238886808088
AC_Response,mlp_l,10,0.1747012327836631,0.005319997520506119,0.1759411032828515,0.9948619570642206
AC_Response,poly3_ridge,10,0.17234066510370127,0.0037760036510240576,0.17219538285600067,0.9950012470876972
AC_Response,spline_ridge,10,0.11175311467042322,0.010355302004706605,0.1078175947562897,0.9978839176178687
Capacitance,bkan,10,6.853730269380608e-20,4.8987019426544184e-20,5.413223209660335e-20,0.9993970854011597
Capacitance,dkan,10,2.2122054780311497e-19,9.548066284259238e-20,1.7942528909502503e-19,0.9949259959607275
Capacitance,mlp_l,10,4.439217460313625e-19,3.039029935677506e-20,4.381941497904736e-19,0.9820976153054793
Capacitance,poly3_ridge,10,5.247387366363155e-19,7.759113945017362e-21,5.220472918020033e-19,0.9749943755355146
Capacitance,spline_ridge,10,2.726179725200796e-19,3.662895303564343e-20,2.633670058590845e-19,0.9931888418435992
