task,baseline,n_pairs,bkan_rmse_mean,baseline_rmse_mean,paired_delta_mean,paired_delta_median,naive_paired_bootstrap_ci95_low,naive_paired_bootstrap_ci95_high,corrected_repeated_split_ci95_low,corrected_repeated_split_ci95_high,corrected_standard_error,corrected_p_value_raw,wins,ties,losses,standardized_effect_dz,corrected_p_value_holm,comparison_family
I_dark,dkan,10,0.007692457779675329,0.01984872353122617,-0.01215626575155084,-0.012215163142877052,-0.01464642353328802,-0.009379157586198382,-0.017246931380498157,-0.007065600122603523,0.0022503589550119285,0.00043191886638308555,10,0,0,-2.721658815414481,0.0017276754655323422,four prespecified BKAN-vs-baseline contrasts
I_dark,mlp_l,10,0.007692457779675329,0.016123891152565774,-0.00843143337289044,-0.01177283604778965,-0.012403395944064855,-0.002150069183702111,-0.019108162071390523,0.002245295325609643,0.004719711288889125,0.1076769266650321,9,0,1,-0.9000596098524828,0.32303077999509633,four prespecified BKAN-vs-baseline contrasts
I_dark,poly3_ridge,10,0.007692457779675329,0.011033718245068441,-0.0033412604653931103,-0.007432264354059,-0.007317628915539045,0.0028646608905329115,-0.013967468406992636,0.007284947476206416,0.004697378288454237,0.49491760312092953,9,0,1,-0.35837696705937855,0.6595170391801519,four prespecified BKAN-vs-baseline contrasts
I_dark,spline_ridge,10,0.007692457779675329,0.0062314324241857285,0.0014610253554895997,3.550032775429999e-05,-0.00010819017551848315,0.0032212879976034,-0.0017468278982278303,0.00466887860920703,0.0014180505698151555,0.32975851959007596,5,0,5,0.5191003576132944,0.6595170391801519,four prespecified BKAN-vs-baseline contrasts
I_photo,dkan,10,0.00502398709000596,0.0053603638752886705,-0.00033637678528270995,-0.0002960426292299501,-0.0008041699752044499,8.412813251591013e-05,-0.0011994487763063917,0.0005266952057409718,0.0003815260960719871,0.40089302706823166,7,0,3,-0.44420870073486135,0.8129403359197274,four prespecified BKAN-vs-baseline contrasts
I_photo,mlp_l,10,0.00502398709000596,0.00467572857001105,0.00034825851999491,0.0002743552493105995,-4.433516193677725e-05,0.0007470887715160156,-0.0004246926887663207,0.0011212097287561407,0.0003416876693947818,0.3347083866831674,2,0,8,0.5135204429618662,0.8129403359197274,four prespecified BKAN-vs-baseline contrasts
I_photo,poly3_ridge,10,0.00502398709000596,0.00854744676225391,-0.00352345967224795,-0.0039220708507784995,-0.005305580833350395,-0.0017923998191453148,-0.00693630909085269,-0.00011061025364320987,0.001508670341181411,0.04434782763506132,9,0,1,-1.17668507862708,0.1773913105402453,four prespecified BKAN-vs-baseline contrasts
I_photo,spline_ridge,10,0.00502398709000596,0.00540899161364009,-0.00038500452363413013,-0.0005918520463226501,-0.0007492774866236306,1.2598432278431041e-05,-0.0011276189968799006,0.0003576099496116403,0.00032827713540786166,0.27098011197324245,7,0,3,-0.5908952393706051,0.8129403359197274,four prespecified BKAN-vs-baseline contrasts
AC_Response,dkan,10,0.06463519994046825,0.157495430625123,-0.09286023068465478,-0.0672974398093296,-0.14404549018141924,-0.051114828591268514,-0.18426668789573925,-0.0014537734735703134,0.040406766918889954,0.04714298295548745,10,0,0,-1.1578730603163656,0.04714298295548745,four prespecified BKAN-vs-baseline contrasts
AC_Response,mlp_l,10,0.06463519994046825,0.1747012327836631,-0.11006603284319486,-0.11724980170870736,-0.11885117606929926,-0.09997883376088465,-0.12854873713504936,-0.09158332855134035,0.008170389129370695,2.8585876231163306e-07,10,0,0,-6.78728156624573,1.1434350492465322e-06,four prespecified BKAN-vs-baseline contrasts
AC_Response,poly3_ridge,10,0.06463519994046825,0.17234066510370127,-0.10770546516323302,-0.11663989630750715,-0.11718442168441742,-0.09671911626294294,-0.12764653112276148,-0.08776439920370456,0.008815066560124454,6.602599229909086e-07,10,0,0,-6.155983379574926,1.980779768972726e-06,four prespecified BKAN-vs-baseline contrasts
AC_Response,spline_ridge,10,0.06463519994046825,0.11175311467042322,-0.04711791472995499,-0.0500099870697187,-0.05271683503471023,-0.04092130300622999,-0.05858557986557857,-0.035650249594331405,0.005069349435226023,6.555023197725351e-06,10,0,0,-4.682945754147267,1.3110046395450702e-05,four prespecified BKAN-vs-baseline contrasts
Capacitance,dkan,10,6.853730269380608e-20,2.2122054780311497e-19,-1.5268324510930894e-19,-1.331750451273287e-19,-1.884049985816846e-19,-1.2064584271884292e-19,-2.187894259106263e-19,-8.657706430799159e-20,2.922262957165471e-20,0.0005456740623762624,10,0,0,-2.6324333406527765,0.0005456740623762624,four prespecified BKAN-vs-baseline contrasts
Capacitance,mlp_l,10,6.853730269380608e-20,4.439217460313625e-19,-3.753844433375565e-19,-3.7596653801414723e-19,-3.920447384983028e-19,-3.566848274076835e-19,-4.098054226926434e-19,-3.4096346398246955e-19,1.5215998216724003e-20,1.4164654709480737e-09,10,0,0,-12.429713422701427,5.665861883792295e-09,four prespecified BKAN-vs-baseline contrasts
Capacitance,poly3_ridge,10,6.853730269380608e-20,5.247387366363155e-19,-4.562014339425094e-19,-4.716010529497198e-19,-4.783302138758193e-19,-4.20823502273897e-19,-5.167354602598619e-19,-3.956674076251569e-19,2.6759425610585833e-20,3.694531579097676e-08,10,0,0,-8.589445980342997,7.389063158195352e-08,four prespecified BKAN-vs-baseline contrasts
Capacitance,spline_ridge,10,6.853730269380608e-20,2.726179725200796e-19,-2.0408066982627352e-19,-2.0743505562748698e-19,-2.1465612804789186e-19,-1.9281209048763678e-19,-2.2529370032652835e-19,-1.828676393260187e-19,9.37734603462082e-21,4.304530400239606e-09,10,0,0,-10.964964313315708,1.2913591200718818e-08,four prespecified BKAN-vs-baseline contrasts
