seed,task,model,mae_log,rmse_log,mae_linear,mae_model_space,rmse_model_space,r2_model_space,picp_95,mpiw_log,mean_std_log,raw_picp_95,calibrated_picp_95,raw_mpiw_log,calibrated_mpiw_log,raw_gaussian_nll_model_space,calibrated_gaussian_nll_model_space,raw_interval_score_95,calibrated_interval_score_95,raw_curve_coverage_95,calibrated_curve_coverage_95,mpiw_model_space,mean_std_model_space,calibration_z,calibration_raw_quantile,calibration_std_scale_vs_normal,calibration_unit,calibration_score_count,derivative_mae_model_space,derivative_rmse_model_space,inference_method,comparison_eligible,comparison_status,hmc_acceptance_rate,train_curve_count,validation_curve_count,calibration_curve_count,test_curve_count,train_samples,validation_samples,calibration_samples,test_samples,train_fraction,validation_fraction,calibration_fraction,test_fraction,split_seed,run_label,raw_curve_coverage_95_wilson_low,raw_curve_coverage_95_wilson_high,calibrated_curve_coverage_95_wilson_low,calibrated_curve_coverage_95_wilson_high,raw_group_coverage_95,no_shrink_conformal_group_coverage_95,no_shrink_conformal_picp_95,no_shrink_conformal_mpiw_log,no_shrink_conformal_interval_score_95,raw_gaussian_nll_task_space,raw_gaussian_crps_task_space,task_key,likelihood,architecture,budget_multiplier,epochs_completed_mean,optimizer_updates_total,source_target_scale_to_current,source_prediction_file,source_maximum_epochs,source_realized_epochs,source_batch_size,source_learning_rate,source_train_mc_samples,source_validation_mc_samples,source_early_stopping_patience,matching_rule,frozen_source,raw_group_calibration_error_pp,no_shrink_group_calibration_error_pp,standard_conformal_picp_95,standard_conformal_mpiw_log,standard_conformal_gaussian_nll_model_space,no_shrink_conformal_gaussian_nll_model_space,standard_conformal_interval_score_95,standard_conformal_curve_coverage_95,no_shrink_conformal_curve_coverage_95,standard_conformal_group_coverage_95,calibrated_group_coverage_95,raw_device_coverage_95,standard_conformal_device_coverage_95,no_shrink_conformal_device_coverage_95,calibrated_device_coverage_95,raw_subcurve_coverage_95,standard_conformal_subcurve_coverage_95,no_shrink_conformal_subcurve_coverage_95,calibrated_subcurve_coverage_95,test_group_count,test_device_count,test_subcurve_count,test_point_count,raw_z,standard_conformal_z,no_shrink_conformal_z,calibration_group_columns,calibration_sigma_floor_standardized,calibration_sigma_floor_model_space,dropout_rate,ensemble_size,mc_samples,per_member_parameter_count,total_parameter_count,budget_policy,training_time_s,member_epoch_allocation,member_optimizer_update_allocation,estimated_training_forward_passes,per_member_optimizer_updates,source_bkan_optimizer_updates,total_optimizer_update_ratio_vs_bkan,budget_audit_passed,standard_conformal_curve_coverage_95_wilson_low,standard_conformal_curve_coverage_95_wilson_high,no_shrink_conformal_curve_coverage_95_wilson_low,no_shrink_conformal_curve_coverage_95_wilson_high,raw_group_coverage_95_wilson_low,raw_group_coverage_95_wilson_high,standard_conformal_group_coverage_95_wilson_low,standard_conformal_group_coverage_95_wilson_high,no_shrink_conformal_group_coverage_95_wilson_low,no_shrink_conformal_group_coverage_95_wilson_high,calibrated_group_coverage_95_wilson_low,calibrated_group_coverage_95_wilson_high,raw_device_coverage_95_wilson_low,raw_device_coverage_95_wilson_high,standard_conformal_device_coverage_95_wilson_low,standard_conformal_device_coverage_95_wilson_high,no_shrink_conformal_device_coverage_95_wilson_low,no_shrink_conformal_device_coverage_95_wilson_high,calibrated_device_coverage_95_wilson_low,calibrated_device_coverage_95_wilson_high,calibration_device_count,calibration_subcurve_count,calibration_point_count,points_per_calibration_device,points_per_test_device,source_checkpoint,source_manifest
42,I_dark,bkan_vi_frozen,0.002945749173833,0.0037765277665993,1.915816175441883e-09,0.002945749173833,0.0037765277665993,0.9995158472955126,100.0,0.0870158404231684,0.0221979184752981,100.0,100.0,0.0870158404231686,0.0870158404231684,-2.914074248338892,-2.914074216933995,0.08701584042316846,0.0870158404231684,100.0,100.0,0.0870158404231684,0.0221979184752981,1.96,0.5700383580429159,1.0,curve,24.0,0.0179464463063107,0.0465924645680111,vi,True,eligible,,104.0,16.0,24.0,16.0,1560,240.0,360.0,240.0,0.65,0.1,0.15,0.1,42.0,confirmatory,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,100.0,100.0,100.0,0.0870158404231684,0.08701584042316848,-2.914074216933995,0.005433891469880493,dark_current,heteroscedastic_gaussian_softplus_variance,bkan_width8_grid8_order3,1.0,300.0,14700,1.0,artifacts\results\uq_repeated_grouped\seed_42\I-dark-bayes-results\uq_test_predictions.csv,300,300,32,0.001,3,20,7,frozen_bkan_realized_epoch_and_update_horizon,artifacts\results\uq_repeated_grouped,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,I_dark,mc_dropout_mlp,0.0026528737107296605,0.003607637991895668,1.7084571329203336e-09,0.0026528737107296605,0.003607637991895668,0.9995581825126205,100.0,0.07272563129663467,0.01855245605111122,100.0,100.0,0.07272563129663467,0.07272563129663467,-1.5184179080417697,-1.5184179080417697,0.07272563280863673,0.07272562980651856,100.0,100.0,0.07272563129663467,0.01855245605111122,1.96,0.9875311286080211,1.0,curve,24.0,,,,,,,,,,,1560,240.0,360.0,240.0,,,,,,,,,,,100.0,100.0,100.0,0.07272563129663467,0.07272563458333332,-3.2218976385373446,0.004581504131428062,dark_current,heteroscedastic_gaussian_softplus_variance,mlp_64-32,1.0,300.0,14700,,,300,300,32,0.001,3,20,7,frozen_bkan_realized_epoch_and_update_horizon,,5.0,5.0,100.0,0.03664227947592735,-2.1454707872712375,-1.5184179080417697,0.03664228121439616,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,16.0,16.0,0.0,240.0,1.96,0.9875311286080211,1.96,_curve_id,0.007977907366222628,0.0014523699413985013,0.05,1.0,500.0,2594.0,2594.0,frozen_bkan_total_updates,21.850259999977425,[300],[14700],44100.0,14700.0,14700.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,I_dark,equal_budget_deep_ensemble_mlp,0.008349803195313137,0.013287258017291225,4.2860860316202184e-09,0.008349803195313137,0.013287258017291225,0.9940066762997084,100.0,0.08373468369245529,0.018309470266103745,99.16666666666667,100.0,0.07177309691905975,0.08373468369245529,-1.3611963201148543,-1.2478777734462265,0.07332266754038862,0.08373469114303589,87.5,100.0,0.08373468369245529,0.018309470266103745,2.2866505836270696,2.2866505836270696,1.1666584610342192,curve,24.0,,,,,,,,,,,1560,240.0,360.0,240.0,,,,,,,,,,,87.5,100.0,100.0,0.08373468369245529,0.08373468583333331,-3.064675727553036,0.006679519422415235,dark_current,heteroscedastic_gaussian_softplus_variance,mlp_64-32,1.0,60.0,14700,,,300,300,32,0.001,3,20,7,frozen_bkan_realized_epoch_and_update_horizon,,7.5,5.0,100.0,0.08373468369245529,-1.2478777734462265,-1.2478777734462265,0.08373469114303589,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0,,,,,16.0,16.0,0.0,240.0,1.96,2.2866505836270696,2.2866505836270696,_curve_id,0.008157041010247931,0.0014849810395389793,0.0,5.0,5.0,2594.0,12970.0,frozen_bkan_total_updates_distributed_across_members,13.580748400010634,"[60, 60, 60, 60, 60]","[2940, 2940, 2940, 2940, 2940]",14700.0,2940.0,14700.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,I_dark,bkan_vi_frozen,0.0116788811091207,0.0330825603236056,6.099483174130414e-09,0.0116788811091207,0.0330825603236056,0.9775227990522354,93.75,0.0720663689279412,0.0183842777877401,93.75,93.75,0.0720663689279415,0.0720663689279412,-2.3648276573804305,-2.364827036517243,0.25803094383192193,0.2580309438319219,93.75,93.75,0.0720663689279412,0.0183842777877401,1.96,1.201956686015882,1.0,curve,24.0,0.0199594540478064,0.066390118737958,vi,True,eligible,,104.0,16.0,24.0,16.0,1560,240.0,360.0,240.0,0.65,0.1,0.15,0.1,43.0,confirmatory,71.67126242970106,98.88806552353576,71.67126242970106,98.88806552353576,93.75,93.75,93.75,0.0720663689279412,0.25803094383192193,-2.364827036517243,0.011733216944547074,dark_current,heteroscedastic_gaussian_softplus_variance,bkan_width8_grid8_order3,1.0,300.0,14700,1.0,artifacts\results\uq_repeated_grouped\seed_43\I-dark-bayes-results\uq_test_predictions.csv,300,300,32,0.001,3,20,7,frozen_bkan_realized_epoch_and_update_horizon,artifacts\results\uq_repeated_grouped,1.25,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,I_dark,mc_dropout_mlp,0.005604407882641175,0.007693827254833907,4.952184043188119e-09,0.005604407882641175,0.007693827254833907,0.998784293148539,100.0,0.08638905733823776,0.02203802578151226,100.0,100.0,0.08638905733823776,0.08638905733823776,-1.2262781112324288,-1.2262781112324288,0.08638906036379414,0.08638905684153239,100.0,100.0,0.08638905733823776,0.02203802578151226,1.96,0.6899897476603915,1.0,curve,24.0,,,,,,,,,,,1560,240.0,360.0,240.0,,,,,,,,,,,100.0,100.0,100.0,0.08638905733823776,0.08638904333333336,-2.972411188601424,0.00604564381435352,dark_current,heteroscedastic_gaussian_softplus_variance,mlp_64-32,1.0,300.0,14700,,,300,300,32,0.001,3,20,7,frozen_bkan_realized_epoch_and_update_horizon,,5.0,5.0,95.41666666666667,0.03041202574968338,-1.854847001205828,-1.2262781112324288,0.036320768088400526,75.0,100.0,75.0,100.0,100.0,75.0,100.0,100.0,,,,,16.0,16.0,0.0,240.0,1.96,0.6899897476603915,1.96,_curve_id,0.008197931996205268,0.0014301068149507048,0.05,1.0,500.0,2594.0,2594.0,frozen_bkan_total_updates,21.73386290000053,[300],[14700],44100.0,14700.0,14700.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,I_dark,equal_budget_deep_ensemble_mlp,0.00935461606383059,0.014387916447077747,6.141141252149529e-09,0.00935461606383059,0.014387916447077747,0.9957485231722027,100.0,0.26193082332611084,0.06681907922029495,100.0,100.0,0.26193082332611084,0.26193082332611084,-0.0187667356608379,-0.0187667356608379,0.26193080685039344,0.26193081537882484,100.0,100.0,0.26193082332611084,0.06681907922029495,1.96,1.1350635718529123,1.0,curve,24.0,,,,,,,,,,,1560,240.0,360.0,240.0,,,,,,,,,,,100.0,100.0,100.0,0.26193082332611084,0.2619307983333334,-1.7648995102472118,0.016778270673644534,dark_current,heteroscedastic_gaussian_softplus_variance,mlp_64-32,1.0,60.0,14700,,,300,300,32,0.001,3,20,7,frozen_bkan_realized_epoch_and_update_horizon,,5.0,5.0,99.58333333333333,0.15168781578540802,-0.5210250280536601,-0.0187667356608379,0.15433953942317735,93.75,100.0,93.75,100.0,100.0,93.75,100.0,100.0,,,,,16.0,16.0,0.0,240.0,1.96,1.1350635718529123,1.96,_curve_id,0.03808858231483865,0.006644449010491372,0.0,5.0,5.0,2594.0,12970.0,frozen_bkan_total_updates_distributed_across_members,13.362609900010284,"[60, 60, 60, 60, 60]","[2940, 2940, 2940, 2940, 2940]",14700.0,2940.0,14700.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,I_dark,bkan_vi_frozen,0.0026003711629525,0.0033091249126148,2.0049256597295878e-09,0.0026003711629525,0.0033091249126148,0.99959615781482,100.0,0.0851483386030375,0.0217215149497545,100.0,100.0,0.0851483386030377,0.0851483386030375,-2.9118597059985443,-2.91185975273591,0.08514833860303757,0.0851483386030375,100.0,100.0,0.0851483386030375,0.0217215149497545,1.96,0.9312271438015842,1.0,curve,24.0,0.0176961357287468,0.0429420477471113,vi,True,eligible,,104.0,16.0,24.0,16.0,1560,240.0,360.0,240.0,0.65,0.1,0.15,0.1,44.0,confirmatory,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,100.0,100.0,100.0,0.0851483386030375,0.08514833860303754,-2.91185975273591,0.0052625098112492625,dark_current,heteroscedastic_gaussian_softplus_variance,bkan_width8_grid8_order3,1.0,300.0,14700,1.0,artifacts\results\uq_repeated_grouped\seed_44\I-dark-bayes-results\uq_test_predictions.csv,300,300,32,0.001,3,20,7,frozen_bkan_realized_epoch_and_update_horizon,artifacts\results\uq_repeated_grouped,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,I_dark,mc_dropout_mlp,0.003113089336851778,0.004395521661425856,2.6576217806518177e-09,0.003113089336851778,0.004395521661425856,0.9992874649866244,100.0,0.0703222006559372,0.017939338460564613,100.0,100.0,0.0703222006559372,0.0703222006559372,-1.4989514970048077,-1.4989514970048077,0.07032221027929311,0.07032220363616944,100.0,100.0,0.0703222006559372,0.017939338460564613,1.96,0.7964429509255765,1.0,curve,24.0,,,,,,,,,,,1560,240.0,360.0,240.0,,,,,,,,,,,100.0,100.0,100.0,0.0703222006559372,0.07032220458333333,-3.1936961903841516,0.004548887410984549,dark_current,heteroscedastic_gaussian_softplus_variance,mlp_64-32,1.0,300.0,14700,,,300,300,32,0.001,3,20,7,frozen_bkan_realized_epoch_and_update_horizon,,5.0,5.0,100.0,0.028575269505381584,-2.2674521805644825,-1.4989514970048077,0.02857526938120524,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,16.0,16.0,0.0,240.0,1.96,0.7964429509255765,1.96,_curve_id,0.007378944674331371,0.0013551143463701011,0.05,1.0,500.0,2594.0,2594.0,frozen_bkan_total_updates,21.580895699968096,[300],[14700],44100.0,14700.0,14700.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,I_dark,equal_budget_deep_ensemble_mlp,0.00837025119867103,0.012903405712728218,5.31700340826844e-09,0.00837025119867103,0.012903405712728218,0.9938596367154072,100.0,0.27554118633270264,0.07029110938310623,100.0,100.0,0.27554118633270264,0.27554118633270264,-0.025943000987104368,-0.025943000987104368,0.2755411416019001,0.27554117838541664,100.0,100.0,0.27554118633270264,0.07029110938310623,1.96,0.7672409874628232,1.0,curve,24.0,,,,,,,,,,,1560,240.0,360.0,240.0,,,,,,,,,,,100.0,100.0,100.0,0.27554118633270264,0.2755411666666667,-1.720687801990511,0.01732665895271838,dark_current,heteroscedastic_gaussian_softplus_variance,mlp_64-32,1.0,60.0,14700,,,300,300,32,0.001,3,20,7,frozen_bkan_realized_epoch_and_update_horizon,,5.0,5.0,100.0,0.10786043107509613,-0.8765547290206798,-0.025943000987104368,0.10786043008168539,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,16.0,16.0,0.0,240.0,1.96,0.7672409874628232,1.96,_curve_id,0.038023864586964586,0.00698293410241604,0.0,5.0,5.0,2594.0,12970.0,frozen_bkan_total_updates_distributed_across_members,13.312855999975,"[60, 60, 60, 60, 60]","[2940, 2940, 2940, 2940, 2940]",14700.0,2940.0,14700.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,I_dark,bkan_vi_frozen,0.0033017735114827,0.0096799397982733,1.8125718662646262e-09,0.0033017735114827,0.0096799397982733,0.9973968301975424,100.0,0.0994279504051573,0.0253642730625401,100.0,100.0,0.0994279504051574,0.0994279504051573,-2.84287125105134,-2.842871228747321,0.0994279504051573,0.0994279504051573,100.0,100.0,0.0994279504051573,0.0253642730625401,1.96,0.5439686110099661,1.0,curve,24.0,0.0289696261025139,0.1267721648456568,vi,True,eligible,,104.0,16.0,24.0,16.0,1560,240.0,360.0,240.0,0.65,0.1,0.15,0.1,45.0,confirmatory,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,100.0,100.0,100.0,0.0994279504051573,0.0994279504051573,-2.8428712287473212,0.006307966658169691,dark_current,heteroscedastic_gaussian_softplus_variance,bkan_width8_grid8_order3,1.0,300.0,14700,1.0,artifacts\results\uq_repeated_grouped\seed_45\I-dark-bayes-results\uq_test_predictions.csv,300,300,32,0.001,3,20,7,frozen_bkan_realized_epoch_and_update_horizon,artifacts\results\uq_repeated_grouped,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
