task,metric,baseline,n_pairs,baseline_minus_bkan_mean,corrected_ci95_low,corrected_ci95_high,corrected_standard_error,corrected_p_value,baseline_better_runs,ties,bkan_better_runs,corrected_p_value_holm_global,multiplicity_family
I_dark,rmse_model_space,mc_dropout_mlp,10,-0.002900490927045504,-0.012263323688326045,0.006462341834235036,0.00413889579170488,0.5011496807315131,4,0,6,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_dark,rmse_model_space,equal_budget_deep_ensemble_mlp,10,0.006212226646128914,-0.004228863309195158,0.016653316601452986,0.004615545783922824,0.2112440232290405,1,0,9,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_dark,raw_gaussian_nll_task_space,mc_dropout_mlp,10,-0.2645688579792689,-0.4157335977355413,-0.11340411822299645,0.06682327039085438,0.003308117554838454,10,0,0,0.20510328839998415,all prespecified task x baseline x endpoint contrasts in this run
I_dark,raw_gaussian_nll_task_space,equal_budget_deep_ensemble_mlp,10,0.5354018054182219,-0.28213391574604396,1.3529375265824877,0.3613965177171883,0.17261875638227978,4,0,6,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_dark,raw_gaussian_crps_task_space,mc_dropout_mlp,10,-0.0010402661671652896,-0.0029659436690270377,0.0008854113346964585,0.0008512571688342627,0.25273397290887223,9,0,1,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_dark,raw_gaussian_crps_task_space,equal_budget_deep_ensemble_mlp,10,0.0066255230200140776,-0.0005517965221347081,0.013802842562162864,0.003172776701894004,0.06637238971706017,0,0,10,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_dark,raw_group_calibration_error_pp,mc_dropout_mlp,10,0.375,-0.9765724654688941,1.726572465468894,0.5974706301117686,0.545829013043266,0,9,1,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_dark,raw_group_calibration_error_pp,equal_budget_deep_ensemble_mlp,10,1.625,-0.026921902239759765,3.27692190223976,0.7302418812477173,0.053103538593353615,0,4,6,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_dark,raw_mpiw_log,mc_dropout_mlp,10,-0.008054671655893426,-0.019493547601807305,0.003384204290020452,0.005056623003047414,0.1456476826618949,9,0,1,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_dark,raw_mpiw_log,equal_budget_deep_ensemble_mlp,10,0.0956017000269889,-0.04439882331610173,0.23560222337007952,0.06188806226438978,0.15680493587252,4,0,6,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_dark,raw_interval_score_95,mc_dropout_mlp,10,-0.0266511272170413,-0.0851485883820976,0.031846333948015,0.02585914989774499,0.3296158657896393,10,0,0,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_dark,raw_interval_score_95,equal_budget_deep_ensemble_mlp,10,0.07862005373867645,-0.05788379582192965,0.21512390329928255,0.060342336865647245,0.2249559562962644,4,0,6,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_dark,no_shrink_group_calibration_error_pp,mc_dropout_mlp,10,0.375,-0.9765724654688941,1.726572465468894,0.5974706301117686,0.545829013043266,0,9,1,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_dark,no_shrink_group_calibration_error_pp,equal_budget_deep_ensemble_mlp,10,0.0,-2.0148052728702894,2.0148052728702894,0.8906566289930316,1.0,1,8,1,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_dark,no_shrink_conformal_mpiw_log,mc_dropout_mlp,10,-0.021557609403155174,-0.05364425896672773,0.010529040160417384,0.014184093877846471,0.16287063374211813,9,0,1,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_dark,no_shrink_conformal_mpiw_log,equal_budget_deep_ensemble_mlp,10,0.10062551010248866,-0.023171099590737737,0.22442211979571505,0.05472502606321771,0.09910870489971539,3,0,7,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_dark,no_shrink_conformal_interval_score_95,mc_dropout_mlp,10,-0.0401540630209114,-0.1001189340670261,0.019810808025203304,0.02650782714492762,0.16412388125562843,10,0,0,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_dark,no_shrink_conformal_interval_score_95,equal_budget_deep_ensemble_mlp,10,0.08228530317638195,-0.040202044279796095,0.20477265063256,0.05414625892069573,0.1629097931487948,3,0,7,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_photo,rmse_model_space,mc_dropout_mlp,10,0.0003963242185257147,-0.00037090751451965054,0.0011635559515710799,0.0003391593412087814,0.27260558223132764,4,0,6,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_photo,rmse_model_space,equal_budget_deep_ensemble_mlp,10,0.00023045307485648308,-0.0005329024286777142,0.0009938085783906803,0.00033744583094746374,0.5118435424139074,3,0,7,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_photo,raw_gaussian_nll_task_space,mc_dropout_mlp,10,0.16274009360126102,-0.39403481578293015,0.7195150029854522,0.2461256532218483,0.5250427553474197,5,0,5,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_photo,raw_gaussian_nll_task_space,equal_budget_deep_ensemble_mlp,10,0.16441324890453793,-0.3616404274474422,0.690466925256518,0.23254514982560767,0.4974525170828152,4,0,6,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_photo,raw_gaussian_crps_task_space,mc_dropout_mlp,10,0.0005105045941094391,-0.001022864628911691,0.0020438738171305692,0.0006778349657741768,0.4706070459320319,5,0,5,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_photo,raw_gaussian_crps_task_space,equal_budget_deep_ensemble_mlp,10,0.00039812701104352603,-0.0009534530790659501,0.001749707101153002,0.000597474000629391,0.521899856349979,4,0,6,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_photo,raw_group_calibration_error_pp,mc_dropout_mlp,10,8.625,-4.52622460827137,21.77622460827137,5.813576892245537,0.17206806240382444,0,5,5,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_photo,raw_group_calibration_error_pp,equal_budget_deep_ensemble_mlp,10,3.875,-14.863170466460705,22.613170466460705,8.283319468078991,0.6510430465497938,2,7,1,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_photo,raw_mpiw_log,mc_dropout_mlp,10,0.0050330145498440546,-0.02983270963067751,0.03989873873036562,0.015412600306423427,0.751472767366506,4,0,6,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_photo,raw_mpiw_log,equal_budget_deep_ensemble_mlp,10,0.008111671938531188,-0.02042616908927404,0.036649512966336416,0.01261532200198901,0.536259263255885,4,0,6,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_photo,raw_interval_score_95,mc_dropout_mlp,10,0.008444711223646442,-0.021437105190659396,0.03832652763795228,0.013209434298253237,0.5385607894871459,4,0,6,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_photo,raw_interval_score_95,equal_budget_deep_ensemble_mlp,10,0.007429249458396474,-0.019992480661733023,0.03485097957852597,0.012121938550993437,0.5551266243776559,4,0,6,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_photo,no_shrink_group_calibration_error_pp,mc_dropout_mlp,10,0.0,-2.0148052728702894,2.0148052728702894,0.8906566289930316,1.0,1,8,1,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_photo,no_shrink_group_calibration_error_pp,equal_budget_deep_ensemble_mlp,10,0.375,-0.9765724654688941,1.726572465468894,0.5974706301117686,0.545829013043266,0,9,1,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_photo,no_shrink_conformal_mpiw_log,mc_dropout_mlp,10,0.008808957961684261,-0.014587163846076093,0.03220507976944462,0.010342394504022972,0.4164495511466354,3,0,7,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_photo,no_shrink_conformal_mpiw_log,equal_budget_deep_ensemble_mlp,10,0.005199139555281196,-0.017140200381170645,0.02753847949173304,0.009875237805678764,0.611280037081946,4,0,6,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_photo,no_shrink_conformal_interval_score_95,mc_dropout_mlp,10,0.008819635422067354,-0.01384916364548913,0.03148843448962384,0.010020877169964627,0.4016809345471795,3,0,7,1.0,all prespecified task x baseline x endpoint contrasts in this run
I_photo,no_shrink_conformal_interval_score_95,equal_budget_deep_ensemble_mlp,10,0.004844366637186179,-0.017171404147403327,0.026860137421775683,0.009732202141674723,0.6305834804641008,4,0,6,1.0,all prespecified task x baseline x endpoint contrasts in this run
AC_Response,rmse_model_space,mc_dropout_mlp,10,0.026109978060054016,0.012942803442448572,0.03927715267765946,0.005820627688536961,0.0015197496549185427,0,0,10,0.09726397791478673,all prespecified task x baseline x endpoint contrasts in this run
AC_Response,rmse_model_space,equal_budget_deep_ensemble_mlp,10,0.0099499568464647,-0.006485305112296193,0.026385218805225593,0.0072653050942009184,0.2040352883376077,3,0,7,1.0,all prespecified task x baseline x endpoint contrasts in this run
AC_Response,raw_gaussian_nll_task_space,mc_dropout_mlp,10,1.13424807179842,1.0144375060199269,1.2540586375769132,0.05296297169304182,4.9627066476330395e-09,0,0,10,3.5731487862957887e-07,all prespecified task x baseline x endpoint contrasts in this run
AC_Response,raw_gaussian_nll_task_space,equal_budget_deep_ensemble_mlp,10,0.3102952542931433,-0.3779384232012305,0.9985289317875171,0.30423778188914785,0.3344029684121009,1,0,9,1.0,all prespecified task x baseline x endpoint contrasts in this run
AC_Response,raw_gaussian_crps_task_space,mc_dropout_mlp,10,0.05524764309775957,0.04576467949248954,0.0647306067030296,0.004192000344281986,3.451870984715006e-07,0,0,10,2.4508283991476545e-05,all prespecified task x baseline x endpoint contrasts in this run
AC_Response,raw_gaussian_crps_task_space,equal_budget_deep_ensemble_mlp,10,0.022393172018978825,-0.04007055659024897,0.08485690062820661,0.027612461961733226,0.4382961280217174,0,0,10,1.0,all prespecified task x baseline x endpoint contrasts in this run
AC_Response,raw_group_calibration_error_pp,mc_dropout_mlp,10,1.125,-0.9395610434097654,3.1895610434097654,0.9126514626667139,0.24892626365964887,0,7,3,1.0,all prespecified task x baseline x endpoint contrasts in this run
AC_Response,raw_group_calibration_error_pp,equal_budget_deep_ensemble_mlp,10,17.125,-1.3416059849464403,35.59160598494644,8.163272777256523,0.06535004490922272,0,1,9,1.0,all prespecified task x baseline x endpoint contrasts in this run
