task,source,source_kind,family,budget,terms,splits,mean_rmse,sd_rmse,median_rmse,mean_r2,min_r2,mean_formula_chars,mean_latency_per_point_s,min_test_finite_rate,min_dense_finite_rate,min_derivative_finite_rate,max_json_replay_error,pareto_mean_rmse_terms
AC_Response,bkan_parameter_mean,teacher_distillation,additive_spline,4,16,10,0.11199627614638814,0.011810836870556321,0.1074613472794576,0.9978702599997973,0.99714956968314,3583.8,9.119566627002011e-08,1.0,1.0,1.0,4.427014310692812e-15,False
AC_Response,bkan_parameter_mean,teacher_distillation,additive_spline,6,22,10,0.11285423510057928,0.011862772708365731,0.10815442902745614,0.9978376073563318,0.9970959458434,4172.2,8.945766681184372e-08,1.0,1.0,1.0,2.664535259100376e-15,False
AC_Response,bkan_parameter_mean,teacher_distillation,additive_spline,8,28,10,0.105700415230542,0.012570624026420302,0.10103692610756815,0.998097999891168,0.9973701374313644,4743.2,8.560566697269678e-08,1.0,1.0,1.0,3.774758283725532e-15,False
AC_Response,bkan_parameter_mean,teacher_distillation,polynomial,1,4,10,0.9175861815676172,0.0038349294148358752,0.9173901819002696,0.8583583319414417,0.8558872310640862,512.0,8.033166658909371e-08,1.0,1.0,1.0,1.7763568394002505e-15,False
AC_Response,bkan_parameter_mean,teacher_distillation,polynomial,2,10,10,0.313984294645726,0.005153549771474641,0.3126245729731507,0.9834112430952949,0.9825618143036338,687.0,2.535773334481443e-07,1.0,1.0,1.0,3.552713678800501e-15,False
AC_Response,bkan_parameter_mean,teacher_distillation,polynomial,3,20,10,0.17723268353026236,0.008206898484205569,0.17371042869442885,0.9947068199127733,0.9939123579044212,987.7,5.714223332082232e-07,1.0,1.0,1.0,6.217248937900877e-15,False
AC_Response,dkan,teacher_distillation,additive_spline,4,16,10,0.11548942592438768,0.012070938971950291,0.1112434425947644,0.9977358774160807,0.9969194117855232,3555.2,1.0311766644008459e-07,1.0,1.0,1.0,4.6906922790412856e-15,False
AC_Response,dkan,teacher_distillation,additive_spline,6,22,10,0.1164288225287338,0.012106561969117476,0.1120401356114323,0.9976990397204208,0.9969063195836452,4130.9,8.345366688445212e-08,1.0,1.0,1.0,3.552713678800501e-15,False
AC_Response,dkan,teacher_distillation,additive_spline,8,28,10,0.1096691813815573,0.013049661841127711,0.10482326016059215,0.9979526356820747,0.9971344834606114,4709.5,7.207133360983183e-08,1.0,1.0,1.0,3.386180225106728e-15,False
AC_Response,dkan,teacher_distillation,polynomial,1,4,10,0.9178805822302213,0.0039146918384301175,0.9175091593371447,0.8582676690694739,0.8558373920523198,511.9,7.651166641153396e-08,1.0,1.0,1.0,4.440892098500626e-16,False
AC_Response,dkan,teacher_distillation,polynomial,2,10,10,0.3170549705850322,0.005514339650732259,0.3151883639965727,0.9830849421729756,0.98206380785598,687.7,2.5373833331589896e-07,1.0,1.0,1.0,4.440892098500626e-15,False
AC_Response,dkan,teacher_distillation,polynomial,3,20,10,0.18237718211892034,0.008376576358643526,0.17851289504279516,0.9943954967759456,0.9935979778729704,985.6,5.991713330149651e-07,1.0,1.0,1.0,5.3290705182007506e-15,False
AC_Response,mlp_l,teacher_distillation,additive_spline,4,16,10,0.1804264879993585,0.006989308925597849,0.1812631696170494,0.9945178050171076,0.9938373099471872,3605.3,6.688699999358504e-08,1.0,1.0,1.0,4.718447854656915e-15,False
AC_Response,mlp_l,teacher_distillation,additive_spline,6,22,10,0.18068101657124105,0.0069819830643459615,0.1814851614542509,0.9945023739726467,0.9938300973847272,4224.6,6.855066652254513e-08,1.0,1.0,1.0,3.427813588530171e-15,False
AC_Response,mlp_l,teacher_distillation,additive_spline,8,28,10,0.18049247821552905,0.00700211601783627,0.1813299151831984,0.9945137870096076,0.9938412649640264,4817.0,7.318366687589636e-08,1.0,1.0,1.0,3.996802888650564e-15,False
AC_Response,mlp_l,teacher_distillation,polynomial,1,4,10,0.9179435997649389,0.003931008043026116,0.9176649766976429,0.8582482957207379,0.8559047786936858,511.6,5.60579999970893e-08,1.0,1.0,1.0,8.881784197001252e-16,False
AC_Response,mlp_l,teacher_distillation,polynomial,2,10,10,0.31845276942677875,0.005100202135031024,0.3179780484292235,0.9829361154783907,0.9822091749199126,686.6,1.8857833366685858e-07,1.0,1.0,1.0,5.3290705182007506e-15,False
AC_Response,mlp_l,teacher_distillation,polynomial,3,20,10,0.18776358075200467,0.0058323471582030235,0.18717693989748854,0.9940647910295677,0.9935487503790652,989.3,4.080236668232829e-07,1.0,1.0,1.0,7.105427357601002e-15,False
AC_Response,tcad_direct,direct_tcad,additive_spline,4,16,10,0.11092972941958439,0.01015231194574395,0.1068796930237852,0.9979155202414992,0.9972840415189556,3558.6,7.170866709202528e-08,1.0,1.0,1.0,4.218847493575595e-15,True
AC_Response,tcad_direct,direct_tcad,additive_spline,6,22,10,0.11171673116637586,0.010362440417938061,0.10776975003593944,0.9978852813991773,0.997202765715852,4113.4,7.032366644125432e-08,1.0,1.0,1.0,1.7763568394002505e-15,False
AC_Response,tcad_direct,direct_tcad,additive_spline,8,28,10,0.10503472244913259,0.010941036908820501,0.10069592015240775,0.9981269947309537,0.9974879339147084,4688.5,7.07333340930442e-08,1.0,1.0,1.0,4.6629367034256575e-15,True
AC_Response,tcad_direct,direct_tcad,polynomial,1,4,10,0.9174527755567727,0.0037486614160764467,0.9173224255654648,0.858399481024555,0.8559014829311564,511.6,5.581899992345521e-08,1.0,1.0,1.0,1.7763568394002505e-15,True
AC_Response,tcad_direct,direct_tcad,polynomial,2,10,10,0.31180123747580935,0.004381942407312743,0.31175043639151157,0.9836413201362861,0.9826472514592428,685.8,1.8786899958892416e-07,1.0,1.0,1.0,3.552713678800501e-15,True
AC_Response,tcad_direct,direct_tcad,polynomial,3,20,10,0.17234117909679128,0.0037758051986022446,0.172196939621309,0.9950012175079076,0.994646504909596,986.8,4.0928466652985665e-07,1.0,1.0,1.0,6.217248937900877e-15,False
Capacitance,bkan_parameter_mean,teacher_distillation,additive_spline,4,36,10,3.096527786131571e-16,3.590513618486452e-17,2.9895035651436907e-16,0.9912399677099639,0.985814947100732,8649.0,1.4952766670224568e-07,1.0,1.0,1.0,4.733165431326071e-29,False
Capacitance,bkan_parameter_mean,teacher_distillation,additive_spline,6,50,10,2.7484678390054445e-16,4.053788910096418e-17,2.6435109877656937e-16,0.9930583184080664,0.9872851916659234,10193.4,1.5900566669491432e-07,1.0,1.0,1.0,4.4176210692376655e-29,False
Capacitance,bkan_parameter_mean,teacher_distillation,additive_spline,8,64,10,2.693992910142681e-16,4.150054166299781e-17,2.5892965503520643e-16,0.9933213426561395,0.9874654857816658,11746.7,1.5745666692964734e-07,1.0,1.0,1.0,4.4176210692376655e-29,False
Capacitance,bkan_parameter_mean,teacher_distillation,polynomial,1,8,10,2.0000434558604865e-15,2.1457839353385457e-17,1.9926257274559837e-15,0.6366922990075541,0.5955252684296426,932.9,3.023003332782537e-07,1.0,1.0,1.0,6.310887241768096e-30,False
Capacitance,bkan_parameter_mean,teacher_distillation,polynomial,2,36,10,1.0944381769669178e-15,1.2553443216176896e-17,1.0896902054384766e-15,0.8912176449163158,0.8794056050104538,2021.3,1.6807006664263705e-06,1.0,1.0,1.0,1.262177448353619e-29,False
