task,source,source_kind,family,budget,terms,splits,mean_rmse,sd_rmse,median_rmse,mean_r2,min_r2,mean_formula_chars,mean_latency_per_point_s,min_test_finite_rate,min_dense_finite_rate,min_derivative_finite_rate,max_json_replay_error,pareto_mean_rmse_terms
AC_Response,tcad_direct,direct_tcad,polynomial,1,4,10,0.9174527755567727,0.0037486614160764467,0.9173224255654648,0.858399481024555,0.8559014829311564,511.6,5.581899992345521e-08,1.0,1.0,1.0,1.7763568394002505e-15,True
AC_Response,tcad_direct,direct_tcad,polynomial,2,10,10,0.31180123747580935,0.004381942407312743,0.31175043639151157,0.9836413201362861,0.9826472514592428,685.8,1.8786899958892416e-07,1.0,1.0,1.0,3.552713678800501e-15,True
AC_Response,tcad_direct,direct_tcad,additive_spline,4,16,10,0.11092972941958439,0.01015231194574395,0.1068796930237852,0.9979155202414992,0.9972840415189556,3558.6,7.170866709202528e-08,1.0,1.0,1.0,4.218847493575595e-15,True
AC_Response,tcad_direct,direct_tcad,additive_spline,8,28,10,0.10503472244913259,0.010941036908820501,0.10069592015240775,0.9981269947309537,0.9974879339147084,4688.5,7.07333340930442e-08,1.0,1.0,1.0,4.6629367034256575e-15,True
Capacitance,tcad_direct,direct_tcad,polynomial,1,8,10,1.999978002279375e-15,2.1417579826920654e-17,1.992616744224669e-15,0.6367157263639776,0.5955409744132911,932.4,1.9661700042585534e-07,1.0,1.0,1.0,6.310887241768096e-30,True
Capacitance,tcad_direct,direct_tcad,additive_spline,4,36,10,3.078039769700244e-16,3.25811664770037e-17,2.9808362791293904e-16,0.9913577086718476,0.9866038808313086,8644.2,1.528256667855506e-07,1.0,1.0,1.0,4.4176210692376655e-29,True
Capacitance,tcad_direct,direct_tcad,additive_spline,6,50,10,2.7262536833591454e-16,3.668918404420951e-17,2.632630112137559e-16,0.9931882005520729,0.98815154782226,10203.9,1.5403933318642278e-07,1.0,1.0,1.0,3.786532345060857e-29,True
Capacitance,tcad_direct,direct_tcad,additive_spline,8,64,10,2.671487686042007e-16,3.771698777706504e-17,2.577992157321377e-16,0.993450759579353,0.9883143086189552,11756.4,1.709899998968467e-07,1.0,1.0,1.0,3.786532345060857e-29,True
I_dark,tcad_direct,direct_tcad,polynomial,1,7,10,0.047820671359224895,0.00039748826494845764,0.04785842450781095,0.9266137702542065,0.9093349739720916,816.5,1.5109366659695904e-07,1.0,1.0,1.0,8.881784197001252e-16,True
I_dark,tcad_direct,direct_tcad,polynomial,2,28,10,0.02095526054435341,0.000203127822098564,0.0209653996909726,0.985902944382102,0.9825432109805518,1589.2,9.444200001113736e-07,1.0,1.0,1.0,8.881784197001252e-16,True
I_dark,tcad_direct,direct_tcad,additive_spline,4,31,10,0.007645568471426089,0.0068150863879114934,0.0054456671473016496,0.9976045042984681,0.9850163899964802,7141.4,1.328656665282324e-07,1.0,1.0,1.0,1.7763568394002505e-15,True
I_dark,tcad_direct,direct_tcad,additive_spline,6,43,10,0.0062385383829215305,0.007207721157196921,0.0039716196930358,0.9980696175330339,0.985359356092446,8378.3,1.336660001349325e-07,1.0,1.0,1.0,2.664535259100376e-15,True
I_photo,tcad_direct,direct_tcad,polynomial,1,7,10,0.00763190649825788,0.0004151931398965446,0.00769206677269395,0.88751256625608,0.8739280281431773,824.8,1.6841033298987896e-07,1.0,1.0,1.0,4.440892098500626e-16,True
I_photo,mlp_l,teacher_distillation,polynomial,2,28,10,0.00490201718468685,0.0006530170164344213,0.0050186669814449,0.953103326759272,0.9341837124167776,1598.3,9.306073332360636e-07,1.0,1.0,1.0,4.440892098500626e-16,True
I_photo,mlp_l,teacher_distillation,additive_spline,4,31,10,0.00472303555305393,0.0006492137747801124,0.0048113168294719,0.9564284442622615,0.9373872595401688,7256.0,1.3603000009121992e-07,1.0,1.0,1.0,8.881784197001252e-16,True
I_photo,mlp_l,teacher_distillation,additive_spline,6,43,10,0.004695722347926911,0.00063244238391181,0.004775231371278549,0.9569545421380157,0.9382611360625892,8502.4,1.3319133276430271e-07,1.0,1.0,1.0,8.881784197001252e-16,True
I_photo,mlp_l,teacher_distillation,additive_spline,8,55,10,0.00465854537158747,0.0006450593849799946,0.0047296004344212,0.9576047109037198,0.938512426234936,9739.5,1.4530366694089025e-07,1.0,1.0,1.0,8.881784197001252e-16,True
I_photo,mlp_l,teacher_distillation,polynomial,3,84,10,0.00465097945217891,0.0006846075205092998,0.004758566479687851,0.9576523707988086,0.939069098330086,3669.2,3.0173769998752203e-06,1.0,1.0,1.0,4.440892098500626e-16,True
