task,seed,source,source_kind,family,budget,fit_rows,validation_rows,calibration_rows_untouched,test_rows,selected_alpha,validation_source_rmse,fit_time_selected_candidate_s,candidate_fit_time_total_s,terms,formula_chars,veriloga_lines,json_path,veriloga_path,formula_to_network_rmse,formula_to_network_r2,formula_to_network_p95_abs_error,formula_to_network_max_abs_error,formula_to_tcad_rmse,formula_to_tcad_r2,formula_to_tcad_p95_abs_error,formula_to_tcad_max_abs_error,test_finite_rate,dense_train_envelope_points,dense_finite_rate,swept_axis_derivative_finite_rate,independent_json_replay_max_abs_error,latency_per_point_s,calibration_used,test_used_for_selection,pareto_rmse_terms,pareto_rmse_chars
I_dark,42,bkan_parameter_mean,teacher_distillation,polynomial,1,1560,240,360,240,0.01,0.049430159975102,0.0005667000077664,0.0029054000624455,7,815,23,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\I_dark\exports\I_dark\bkan_parameter_mean\polynomial_1\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\I_dark\exports\I_dark\bkan_parameter_mean\polynomial_1\formula.va,0.0478596556953472,0.9220556413761872,0.1179973942559751,0.172241237844644,0.0480151170975693,0.9217376323159926,0.1283894560961649,0.1629203804987886,1.0,5000,1.0,1.0,0.0,1.530466659460217e-07,False,False,False,True
I_dark,42,bkan_parameter_mean,teacher_distillation,polynomial,2,1560,240,360,240,0.01,0.0220441160975326,0.0011042000260204,0.0040270000463351,28,1586,44,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\I_dark\exports\I_dark\bkan_parameter_mean\polynomial_2\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\I_dark\exports\I_dark\bkan_parameter_mean\polynomial_2\formula.va,0.0206577514335453,0.9854784945325308,0.046183655010026,0.0759168410128134,0.0211942926151773,0.9847512287349924,0.0536517756567219,0.066595983666958,1.0,5000,1.0,1.0,8.881784197001252e-16,1.379310000144566e-06,False,False,False,False
I_dark,42,bkan_parameter_mean,teacher_distillation,polynomial,3,1560,240,360,240,1e-08,0.0128706664375958,0.0021224999800324,0.0066695000277832,84,3651,100,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\I_dark\exports\I_dark\bkan_parameter_mean\polynomial_3\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\I_dark\exports\I_dark\bkan_parameter_mean\polynomial_3\formula.va,0.01073867630637,0.9960758368852513,0.0220639096470522,0.0341693320451215,0.0113377472746785,0.9956363436436456,0.0248491291806489,0.0291076519035602,1.0,5000,1.0,1.0,8.881784197001252e-16,4.043360000165801e-06,False,False,False,False
I_dark,42,bkan_parameter_mean,teacher_distillation,additive_spline,4,1560,240,360,240,1e-08,0.0114025188813949,0.0017519000102765,0.0064764000708237,31,7116,196,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\I_dark\exports\I_dark\bkan_parameter_mean\additive_spline_4\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\I_dark\exports\I_dark\bkan_parameter_mean\additive_spline_4\formula.va,0.0063359891551884,0.99863392545688,0.0130147966883975,0.0377456618956344,0.005603976623022,0.99893392041276,0.0108911183508648,0.028424804549779,1.0,5000,1.0,1.0,1.7763568394002505e-15,1.3481333347347876e-07,False,False,False,False
I_dark,42,bkan_parameter_mean,teacher_distillation,additive_spline,6,1560,240,360,240,1e-08,0.0108887421351097,0.0023712000111117,0.0073501999722793,43,8391,232,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\I_dark\exports\I_dark\bkan_parameter_mean\additive_spline_6\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\I_dark\exports\I_dark\bkan_parameter_mean\additive_spline_6\formula.va,0.0054952011449773,0.9989724268790534,0.011882883267608,0.0334728955230554,0.0040444769038873,0.9994447076156976,0.0087068795184224,0.0241520381772,1.0,5000,1.0,1.0,1.7763568394002505e-15,1.306433347053826e-07,False,False,False,True
I_dark,42,bkan_parameter_mean,teacher_distillation,additive_spline,8,1560,240,360,240,1e-08,0.0110305805285147,0.0025952000287361,0.0077587999985553,55,9530,268,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\I_dark\exports\I_dark\bkan_parameter_mean\additive_spline_8\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\I_dark\exports\I_dark\bkan_parameter_mean\additive_spline_8\formula.va,0.0054696503678772,0.9989819603800416,0.0119488552814252,0.0331634287302806,0.0041096503798703,0.9994266672486808,0.0084068308608292,0.0238425713844252,1.0,5000,1.0,1.0,1.7763568394002505e-15,1.621399986712883e-07,False,False,False,False
I_dark,42,dkan,teacher_distillation,polynomial,1,1560,240,360,240,0.01,0.0500485237231075,0.0005268999957479,0.0024500000290572,7,813,23,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\I_dark\exports\I_dark\dkan\polynomial_1\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\I_dark\exports\I_dark\dkan\polynomial_1\formula.va,0.048919023846785,0.9164620151534232,0.1284113493667147,0.1675964198466939,0.0480932384160165,0.92148275704045,0.1285724564065144,0.1680672403548619,1.0,5000,1.0,1.0,8.881784197001252e-16,1.487200012585769e-07,False,False,False,False
I_dark,42,dkan,teacher_distillation,polynomial,2,1560,240,360,240,0.01,0.0289156167370373,0.0007135000196285,0.0032511000754311,28,1582,44,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\I_dark\exports\I_dark\dkan\polynomial_2\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\I_dark\exports\I_dark\dkan\polynomial_2\formula.va,0.0235538093831427,0.980633517747107,0.0536862506079283,0.087655911945605,0.0215287227521372,0.9842662035366536,0.0526266746609681,0.0881869098708083,1.0,5000,1.0,1.0,8.881784197001252e-16,9.368400011832516e-07,False,False,False,True
I_dark,42,dkan,teacher_distillation,polynomial,3,1560,240,360,240,1e-08,0.0146730855097117,0.0016490000416524,0.0054979000706225,84,3629,100,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\I_dark\exports\I_dark\dkan\polynomial_3\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\I_dark\exports\I_dark\dkan\polynomial_3\formula.va,0.015101718319181,0.9920387518502052,0.0312426292759299,0.060642653789233,0.0138231528795156,0.99351348808374,0.0266818830876229,0.0828921114422822,1.0,5000,1.0,1.0,8.881784197001252e-16,2.9996900004334746e-06,False,False,False,True
I_dark,42,dkan,teacher_distillation,additive_spline,4,1560,240,360,240,0.01,0.0131163868466384,0.001320699986536,0.0057880000676959,31,7075,196,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\I_dark\exports\I_dark\dkan\additive_spline_4\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\I_dark\exports\I_dark\dkan\additive_spline_4\formula.va,0.0139853776628377,0.9931722623198092,0.0295931432713846,0.0872762868364924,0.0071082672766604,0.9982847615783604,0.0143557881337842,0.0438108949106696,1.0,5000,1.0,1.0,1.7763568394002505e-15,1.4745666606662176e-07,False,False,False,True
