task,teacher_source,family,budget,terms,mean_teacher_rmse,mean_direct_rmse,mean_relative_reduction_teacher,pairs,mean_delta_teacher_minus_direct,median_delta_teacher_minus_direct,sample_sd_delta,corrected_standard_error,corrected_ci_low,corrected_ci_high,corrected_two_sided_p,teacher_wins,ties,teacher_losses,holm_p_global_72,holm_p_within_task_18,corrected_ci_favors_teacher,corrected_ci_favors_direct
AC_Response,bkan_parameter_mean,additive_spline,4,16,0.11199627614638814,0.11092972941958439,-0.008559648761931276,10,0.0010665467268037674,0.00037908428594869703,0.001959050414829512,0.000987031257469518,-0.0011662731021866216,0.003299366555794156,0.3079963113603016,3,0,7,1.0,0.8129118702494804,False,False
AC_Response,dkan,additive_spline,4,16,0.11548942592438768,0.11092972941958439,-0.040114482870755516,10,0.0045596965048033105,0.004437139088793798,0.0024899049143862454,0.0012544924622779879,0.0017218373955848036,0.007397555614021818,0.005445672604273244,0,0,10,0.28317497542220865,0.06534807125127892,False,True
AC_Response,mlp_l,additive_spline,4,16,0.1804264879993585,0.11092972941958439,-0.6340512171312259,10,0.06949675857977411,0.0696137434605292,0.005842083209800763,0.002943425392813601,0.0628382677442587,0.07615524941528952,2.0912700658555104e-09,0,0,10,1.4638890460988574e-07,3.764286118539919e-08,False,True
AC_Response,bkan_parameter_mean,additive_spline,6,22,0.11285423510057928,0.11171673116637584,-0.009255501222040389,10,0.0011375039342034223,0.0006353656890195,0.0019250109192912414,0.0009698810882699718,-0.0010565195166890124,0.003331527385095857,0.2709706234164935,2,0,8,1.0,0.8129118702494804,False,False
AC_Response,dkan,additive_spline,6,22,0.1164288225287338,0.11171673116637584,-0.04131685446619637,10,0.004712091362357939,0.004191719872956398,0.002295819931990729,0.001156706339583199,0.002095439831015712,0.007328742893700165,0.0027841036494192697,0,0,10,0.15034159706864056,0.03619334744245051,False,True
AC_Response,mlp_l,additive_spline,6,22,0.18068101657124108,0.11171673116637584,-0.6251315721788693,10,0.06896428540486521,0.0695436664842881,0.006085102317113123,0.0030658660677772994,0.06202881451946283,0.0758997562902676,3.2129494437333636e-09,0,0,10,2.2169351161760208e-07,5.462014054346718e-08,False,True
AC_Response,bkan_parameter_mean,additive_spline,8,28,0.105700415230542,0.10503472244913259,-0.005187954871640307,10,0.000665692781409398,0.0005053958825001967,0.002442860494217147,0.0012307900027369095,-0.002118547639182324,0.00344993320200112,0.6017274848319982,2,0,8,1.0,0.8129118702494804,False,False
AC_Response,dkan,additive_spline,8,28,0.1096691813815573,0.10503472244913259,-0.04292437581370377,10,0.004634458932424712,0.0039630047859197035,0.0029195952049211457,0.0014709839545737665,0.0013068620432244373,0.007962055821624988,0.011726518861714974,0,0,10,0.5628729053623187,0.10553866975543476,False,True
AC_Response,mlp_l,additive_spline,8,28,0.18049247821552905,0.10503472244913259,-0.7296653921816039,10,0.07545775576639645,0.07702784324931035,0.006770504832404135,0.0034111934271037476,0.06774110012158355,0.08317441141120935,3.726559207310623e-09,0,0,10,2.5340602609712236e-07,5.962494731696997e-08,False,True
AC_Response,bkan_parameter_mean,polynomial,1,4,0.9175861815676172,0.9174527755567727,-0.00014507609692480255,10,0.00013340601084442792,6.775633480465837e-05,0.00015562868635914378,7.841063039144041e-05,-4.397115833509161e-05,0.0003107831800239475,0.12308245766620268,1,0,9,1.0,0.6154122883310134,False,False
AC_Response,dkan,polynomial,1,4,0.9178805822302213,0.9174527755567727,-0.00046569503517782183,10,0.0004278066734487385,0.00030937006130710154,0.00035353010584992785,0.00017811959421205263,2.4872157567233948e-05,0.000830741189330243,0.03978066512573806,0,0,10,1.0,0.31824532100590447,False,True
AC_Response,mlp_l,polynomial,1,4,0.9179435997649387,0.9174527755567727,-0.0005343386459379866,10,0.0004908242081661629,0.0004526075366221294,0.0004135877760017209,0.00020837853866896322,1.9439204342744983e-05,0.0009622092119895807,0.04292049147402407,2,0,8,1.0,0.31824532100590447,False,True
AC_Response,bkan_parameter_mean,polynomial,2,10,0.3139842946457261,0.31180123747580935,-0.006992020362552791,10,0.0021830571699167243,0.0011194112730674444,0.002259623647087046,0.001138469512019312,-0.0003923397913251393,0.004758454131158588,0.087400633376581,0,0,10,1.0,0.524403800259486,False,False
AC_Response,dkan,polynomial,2,10,0.3170549705850322,0.31180123747580935,-0.01684476452583282,10,0.005253733109222858,0.004946719094625213,0.003078246300427554,0.001550917369819864,0.0017453142721767004,0.008762151946269016,0.008030869155766498,0,0,10,0.4015434577883249,0.08833956071343148,False,True
AC_Response,mlp_l,polynomial,2,10,0.31845276942677875,0.31180123747580935,-0.02134489326474599,10,0.006651531950969436,0.005602638320277548,0.0029470369216398886,0.0014848099551478151,0.003292658475537724,0.010010405426401147,0.0015330416076742802,0,0,10,0.08891641324510825,0.021462582507439924,False,True
AC_Response,bkan_parameter_mean,polynomial,3,20,0.17723268353026234,0.1723411790967913,-0.028098538850511147,10,0.004891504433471072,0.0017710682621878554,0.005791534464806071,0.0029179573441314756,-0.0017093736732955722,0.011492382540237716,0.12798710979783998,0,0,10,1.0,0.6154122883310134,False,False
AC_Response,dkan,polynomial,3,20,0.18237718211892034,0.1723411790967913,-0.05796715717114829,10,0.010036003022129059,0.008637286275476247,0.006049859614721909,0.003048109685095922,0.0031406998649947384,0.01693130617926338,0.009340507987127553,0,0,10,0.4576848913692501,0.09340507987127553,False,True
AC_Response,mlp_l,polynomial,3,20,0.18776358075200467,0.1723411790967913,-0.08946228156392015,10,0.015422401655213367,0.01572012439380846,0.003937100820563952,0.001983635308356112,0.010935106834036163,0.01990969647639057,2.7785858464405813e-05,0,0,10,0.0017227232247931604,0.0004167878769660872,False,True
