task,seed,split,group_id,n_points
Capacitance,43,train,capacitance_sample_0,400
Capacitance,43,train,capacitance_sample_2,400
Capacitance,43,train,capacitance_sample_3,400
Capacitance,43,train,capacitance_sample_4,400
Capacitance,43,train,capacitance_sample_5,400
Capacitance,43,train,capacitance_sample_6,400
Capacitance,43,train,capacitance_sample_8,400
Capacitance,43,train,capacitance_sample_9,400
Capacitance,43,train,capacitance_sample_11,400
Capacitance,43,train,capacitance_sample_12,400
Capacitance,43,train,capacitance_sample_14,400
Capacitance,43,train,capacitance_sample_16,400
Capacitance,43,train,capacitance_sample_18,400
Capacitance,43,train,capacitance_sample_19,400
Capacitance,43,train,capacitance_sample_20,400
Capacitance,43,train,capacitance_sample_22,400
Capacitance,43,train,capacitance_sample_26,400
Capacitance,43,train,capacitance_sample_30,400
Capacitance,43,train,capacitance_sample_31,400
Capacitance,43,train,capacitance_sample_32,400
Capacitance,43,train,capacitance_sample_33,400
Capacitance,43,train,capacitance_sample_34,400
Capacitance,43,train,capacitance_sample_35,400
Capacitance,43,train,capacitance_sample_36,400
Capacitance,43,train,capacitance_sample_37,400
Capacitance,43,train,capacitance_sample_38,400
Capacitance,43,train,capacitance_sample_40,400
Capacitance,43,train,capacitance_sample_42,400
Capacitance,43,train,capacitance_sample_43,400
Capacitance,43,train,capacitance_sample_45,400
Capacitance,43,train,capacitance_sample_46,400
Capacitance,43,train,capacitance_sample_47,400
Capacitance,43,train,capacitance_sample_48,400
Capacitance,43,train,capacitance_sample_49,400
Capacitance,43,train,capacitance_sample_50,400
Capacitance,43,train,capacitance_sample_51,400
Capacitance,43,train,capacitance_sample_52,400
Capacitance,43,train,capacitance_sample_58,400
Capacitance,43,train,capacitance_sample_59,400
Capacitance,43,train,capacitance_sample_60,400
Capacitance,43,train,capacitance_sample_61,400
Capacitance,43,train,capacitance_sample_62,400
Capacitance,43,train,capacitance_sample_63,400
Capacitance,43,train,capacitance_sample_64,400
Capacitance,43,train,capacitance_sample_65,400
Capacitance,43,train,capacitance_sample_66,400
Capacitance,43,train,capacitance_sample_67,400
Capacitance,43,train,capacitance_sample_68,400
Capacitance,43,train,capacitance_sample_69,400
Capacitance,43,train,capacitance_sample_70,400
Capacitance,43,train,capacitance_sample_71,400
Capacitance,43,train,capacitance_sample_75,400
Capacitance,43,train,capacitance_sample_77,400
Capacitance,43,train,capacitance_sample_78,400
Capacitance,43,train,capacitance_sample_79,400
Capacitance,43,train,capacitance_sample_80,400
Capacitance,43,train,capacitance_sample_81,400
Capacitance,43,train,capacitance_sample_82,400
Capacitance,43,train,capacitance_sample_83,400
Capacitance,43,train,capacitance_sample_86,400
Capacitance,43,train,capacitance_sample_88,400
Capacitance,43,train,capacitance_sample_89,400
Capacitance,43,train,capacitance_sample_90,400
Capacitance,43,train,capacitance_sample_92,400
Capacitance,43,train,capacitance_sample_94,400
Capacitance,43,train,capacitance_sample_95,400
Capacitance,43,train,capacitance_sample_97,400
Capacitance,43,train,capacitance_sample_98,400
Capacitance,43,train,capacitance_sample_100,400
Capacitance,43,train,capacitance_sample_101,400
Capacitance,43,train,capacitance_sample_103,400
Capacitance,43,train,capacitance_sample_106,400
Capacitance,43,train,capacitance_sample_108,400
Capacitance,43,train,capacitance_sample_112,400
Capacitance,43,train,capacitance_sample_116,400
Capacitance,43,train,capacitance_sample_119,400
Capacitance,43,train,capacitance_sample_120,400
Capacitance,43,train,capacitance_sample_121,400
Capacitance,43,train,capacitance_sample_122,400
Capacitance,43,train,capacitance_sample_124,400
Capacitance,43,train,capacitance_sample_125,400
Capacitance,43,train,capacitance_sample_127,400
Capacitance,43,train,capacitance_sample_128,400
Capacitance,43,train,capacitance_sample_129,400
Capacitance,43,train,capacitance_sample_131,400
Capacitance,43,train,capacitance_sample_132,400
Capacitance,43,train,capacitance_sample_133,400
Capacitance,43,train,capacitance_sample_134,400
Capacitance,43,train,capacitance_sample_136,400
Capacitance,43,train,capacitance_sample_137,400
Capacitance,43,train,capacitance_sample_138,400
Capacitance,43,train,capacitance_sample_139,400
Capacitance,43,train,capacitance_sample_142,400
Capacitance,43,train,capacitance_sample_143,400
Capacitance,43,train,capacitance_sample_144,400
Capacitance,43,train,capacitance_sample_145,400
Capacitance,43,train,capacitance_sample_149,400
Capacitance,43,train,capacitance_sample_150,400
Capacitance,43,train,capacitance_sample_151,400
Capacitance,43,train,capacitance_sample_153,400
Capacitance,43,train,capacitance_sample_154,400
Capacitance,43,train,capacitance_sample_155,400
Capacitance,43,train,capacitance_sample_157,400
Capacitance,43,train,capacitance_sample_158,400
Capacitance,43,validation,capacitance_sample_7,400
Capacitance,43,validation,capacitance_sample_15,400
Capacitance,43,validation,capacitance_sample_23,400
Capacitance,43,validation,capacitance_sample_24,400
Capacitance,43,validation,capacitance_sample_96,400
Capacitance,43,validation,capacitance_sample_99,400
Capacitance,43,validation,capacitance_sample_105,400
Capacitance,43,validation,capacitance_sample_110,400
Capacitance,43,validation,capacitance_sample_111,400
Capacitance,43,validation,capacitance_sample_117,400
Capacitance,43,validation,capacitance_sample_130,400
Capacitance,43,validation,capacitance_sample_140,400
Capacitance,43,validation,capacitance_sample_146,400
Capacitance,43,validation,capacitance_sample_147,400
Capacitance,43,validation,capacitance_sample_156,400
Capacitance,43,validation,capacitance_sample_159,400
Capacitance,43,calibration,capacitance_sample_1,400
Capacitance,43,calibration,capacitance_sample_10,400
Capacitance,43,calibration,capacitance_sample_17,400
Capacitance,43,calibration,capacitance_sample_21,400
Capacitance,43,calibration,capacitance_sample_25,400
Capacitance,43,calibration,capacitance_sample_27,400
Capacitance,43,calibration,capacitance_sample_28,400
Capacitance,43,calibration,capacitance_sample_39,400
Capacitance,43,calibration,capacitance_sample_41,400
Capacitance,43,calibration,capacitance_sample_44,400
Capacitance,43,calibration,capacitance_sample_53,400
Capacitance,43,calibration,capacitance_sample_57,400
Capacitance,43,calibration,capacitance_sample_72,400
Capacitance,43,calibration,capacitance_sample_74,400
Capacitance,43,calibration,capacitance_sample_76,400
Capacitance,43,calibration,capacitance_sample_93,400
Capacitance,43,calibration,capacitance_sample_104,400
Capacitance,43,calibration,capacitance_sample_107,400
Capacitance,43,calibration,capacitance_sample_115,400
Capacitance,43,calibration,capacitance_sample_118,400
Capacitance,43,calibration,capacitance_sample_123,400
Capacitance,43,calibration,capacitance_sample_135,400
Capacitance,43,calibration,capacitance_sample_141,400
Capacitance,43,calibration,capacitance_sample_148,400
Capacitance,43,test,capacitance_sample_13,400
Capacitance,43,test,capacitance_sample_29,400
Capacitance,43,test,capacitance_sample_54,400
Capacitance,43,test,capacitance_sample_55,400
Capacitance,43,test,capacitance_sample_56,400
Capacitance,43,test,capacitance_sample_73,400
Capacitance,43,test,capacitance_sample_84,400
Capacitance,43,test,capacitance_sample_85,400
Capacitance,43,test,capacitance_sample_87,400
Capacitance,43,test,capacitance_sample_91,400
Capacitance,43,test,capacitance_sample_102,400
Capacitance,43,test,capacitance_sample_109,400
Capacitance,43,test,capacitance_sample_113,400
Capacitance,43,test,capacitance_sample_114,400
Capacitance,43,test,capacitance_sample_126,400
Capacitance,43,test,capacitance_sample_152,400
