task,seed,split,group_id,n_points
I_photo,44,train,9314248443271035404,16
I_photo,44,train,10539271283961051071,16
I_photo,44,train,3371631208540637995,16
I_photo,44,train,11466687228653126879,16
I_photo,44,train,4552925917595615164,16
I_photo,44,train,14456930291123660273,16
I_photo,44,train,14547390297170085011,16
I_photo,44,train,9354198675318697548,16
I_photo,44,train,1367897570274288222,16
I_photo,44,train,4253972365711734043,16
I_photo,44,train,7464429288297915064,16
I_photo,44,train,17451691503515762550,16
I_photo,44,train,11643629726484600332,16
I_photo,44,train,833253205382390921,16
I_photo,44,train,4837710515318421738,16
I_photo,44,train,9667714962377621122,16
I_photo,44,train,14100953261967155807,16
I_photo,44,train,14682912388239781131,16
I_photo,44,train,9985116505034206452,16
I_photo,44,train,11854955608364436255,16
I_photo,44,train,5857788625354206728,16
I_photo,44,train,1906069974405082520,16
I_photo,44,train,6305389621858259219,16
I_photo,44,train,15255519671477510073,16
I_photo,44,train,3933886296999063760,16
I_photo,44,train,11670123405847124996,16
I_photo,44,train,13370015301709921327,16
I_photo,44,train,16501516911797089168,16
I_photo,44,train,3779633422659776445,16
I_photo,44,train,15038946426069692038,16
I_photo,44,train,12823118457006761398,16
I_photo,44,train,13867644369009061341,16
I_photo,44,train,6773202851586692869,16
I_photo,44,train,7157631882990673600,16
I_photo,44,train,17234994038809733169,16
I_photo,44,train,7430333983200610085,16
I_photo,44,train,4757004652079025251,16
I_photo,44,train,7311808897764695838,16
I_photo,44,train,9151669764478585745,16
I_photo,44,train,12112510911978131146,16
I_photo,44,train,6563696386679920944,16
I_photo,44,train,14219469232104377133,16
I_photo,44,train,10395993465976512970,16
I_photo,44,train,13806398585976261423,16
I_photo,44,train,11892504857466714026,16
I_photo,44,train,7286060296444835846,16
I_photo,44,train,603593021225032902,16
I_photo,44,train,9184494546452176042,16
I_photo,44,train,12849312948239067464,16
I_photo,44,train,6686141915184846111,16
I_photo,44,train,18026431441542812131,16
I_photo,44,train,12882774050561771087,16
I_photo,44,train,14082706842164037214,16
I_photo,44,train,779010489516208886,16
I_photo,44,train,16519722322841066187,16
I_photo,44,train,11714911050137312102,16
I_photo,44,train,15230833052760599040,16
I_photo,44,train,18393380424088899902,16
I_photo,44,train,2928394120619732261,16
I_photo,44,train,3737428085395664712,16
I_photo,44,train,12886194249589357920,16
I_photo,44,train,433422742429117681,16
I_photo,44,train,2056914843148536795,16
I_photo,44,train,3134241803077969267,16
I_photo,44,train,8813459275462154891,16
I_photo,44,train,9216328605101287225,16
I_photo,44,train,13149960228396626776,16
I_photo,44,train,494709592678028904,16
I_photo,44,train,17492872546512810480,16
I_photo,44,train,3193110456536102066,16
I_photo,44,train,6508029577517650568,16
I_photo,44,train,4261926717090881150,16
I_photo,44,train,15283921317746859449,16
I_photo,44,train,13944279034983237670,16
I_photo,44,train,9415233787243991652,16
I_photo,44,train,12981595077382156139,16
I_photo,44,train,15854623793106210877,16
I_photo,44,train,5637171177688138856,16
I_photo,44,train,13052852389533457310,16
I_photo,44,train,7538273554073210114,16
I_photo,44,train,613624884879652964,16
I_photo,44,train,16069905982438259650,16
I_photo,44,train,10893922623691634355,16
I_photo,44,train,2314355766595058403,16
I_photo,44,train,9728360064296503812,16
I_photo,44,train,13640118791446356878,16
I_photo,44,train,3744802582600429992,16
I_photo,44,train,5302328922938549098,16
I_photo,44,train,15363031408316951214,16
I_photo,44,train,15425818973916266975,16
I_photo,44,train,11723817789070393620,16
I_photo,44,train,13304175874445473708,16
I_photo,44,train,2832837163574657009,16
I_photo,44,train,14934561482547682078,16
I_photo,44,train,17533524623644286140,16
I_photo,44,train,2804036452383970560,16
I_photo,44,train,16130397955524846863,16
I_photo,44,train,6298094124542245342,16
I_photo,44,train,2217437892012799629,16
I_photo,44,train,6325844468188908084,16
I_photo,44,train,11723876894799191908,16
I_photo,44,train,18058330792975761325,16
I_photo,44,train,9346093373930583656,16
I_photo,44,train,17938021924088880075,16
I_photo,44,validation,3765765162242439701,16
I_photo,44,validation,3703347433873037581,16
I_photo,44,validation,13753303497944442308,16
I_photo,44,validation,16164245777420927440,16
I_photo,44,validation,8793357247245534573,16
I_photo,44,validation,13161242281976296834,16
I_photo,44,validation,4106527973129540887,16
I_photo,44,validation,17608710593314742079,16
I_photo,44,validation,7126979072579706712,16
I_photo,44,validation,5942297707102508098,16
I_photo,44,validation,2671493380122846465,16
I_photo,44,validation,14814234909349001472,16
I_photo,44,validation,7167329586276071870,16
I_photo,44,validation,11032972375804727196,16
I_photo,44,validation,7069279127234648490,16
I_photo,44,validation,3262830124868165494,16
I_photo,44,calibration,14988660033747214345,16
I_photo,44,calibration,5144607327742428380,16
