task,source,source_kind,family,budget,selected_alpha,terms,formula_chars,latency_per_point_s,test_finite_rate,dense_finite_rate,swept_axis_derivative_finite_rate,formula_to_network_rmse,formula_to_network_r2,formula_to_tcad_rmse,formula_to_tcad_r2,pareto_rmse_terms,pareto_rmse_chars,json_path,veriloga_path
AC_Response,bkan_parameter_mean,teacher_distillation,additive_spline,4,1e-08,16,3578,9.63333334463338e-08,1.0,1.0,1.0,0.08377642547884519,0.9988160761296828,0.10103307889442295,0.9982980748631889,True,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\bkan_parameter_mean\additive_spline_4\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\bkan_parameter_mean\additive_spline_4\formula.va
AC_Response,bkan_parameter_mean,teacher_distillation,additive_spline,6,1e-08,22,4182,9.821000082107882e-08,1.0,1.0,1.0,0.08491096196825486,0.9987837925856327,0.10193870817150663,0.9982674270560383,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\bkan_parameter_mean\additive_spline_6\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\bkan_parameter_mean\additive_spline_6\formula.va
AC_Response,bkan_parameter_mean,teacher_distillation,additive_spline,8,1e-08,28,4754,1.1607333435676992e-07,1.0,1.0,1.0,0.07502266489399093,0.9990505653050655,0.0938632029313624,0.9985310601378542,True,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\bkan_parameter_mean\additive_spline_8\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\bkan_parameter_mean\additive_spline_8\formula.va
AC_Response,bkan_parameter_mean,teacher_distillation,polynomial,1,1e-08,4,511,9.397333293842773e-08,1.0,1.0,1.0,0.9150888051841315,0.8587440958541709,0.9135152678280595,0.8608622752445947,True,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\bkan_parameter_mean\polynomial_1\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\bkan_parameter_mean\polynomial_1\formula.va
AC_Response,bkan_parameter_mean,teacher_distillation,polynomial,2,1e-08,10,691,1.8999000118734937e-07,1.0,1.0,1.0,0.3074180849754201,0.9840581414933149,0.307383548470108,0.984246592163726,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\bkan_parameter_mean\polynomial_2\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\bkan_parameter_mean\polynomial_2\formula.va
AC_Response,bkan_parameter_mean,teacher_distillation,polynomial,3,0.01,20,993,6.509666660955797e-07,1.0,1.0,1.0,0.16244472285353598,0.9955486541383126,0.1683419586914741,0.9952750411694334,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\bkan_parameter_mean\polynomial_3\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\bkan_parameter_mean\polynomial_3\formula.va
AC_Response,dkan,teacher_distillation,additive_spline,4,1e-06,16,3548,9.047666680999101e-08,1.0,1.0,1.0,0.08105286487708421,0.9988854382429078,0.10623875267333127,0.9981181751334745,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\dkan\additive_spline_4\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\dkan\additive_spline_4\formula.va
AC_Response,dkan,teacher_distillation,additive_spline,6,0.01,22,4150,6.755000019135575e-08,1.0,1.0,1.0,0.0822746882400774,0.9988515822715562,0.1072452068829087,0.998082351259641,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\dkan\additive_spline_6\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\dkan\additive_spline_6\formula.va
AC_Response,dkan,teacher_distillation,additive_spline,8,1e-08,28,4719,7.691666639099518e-08,1.0,1.0,1.0,0.07193823523764764,0.9991220152817019,0.09956608529018346,0.9983471397291127,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\dkan\additive_spline_8\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\dkan\additive_spline_8\formula.va
AC_Response,dkan,teacher_distillation,polynomial,1,1e-08,4,512,9.482666694869597e-08,1.0,1.0,1.0,0.9186215516191338,0.8568337472663271,0.9139719318519575,0.8607231312651914,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\dkan\polynomial_1\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\dkan\polynomial_1\formula.va
AC_Response,dkan,teacher_distillation,polynomial,2,1e-08,10,691,3.235533329037329e-07,1.0,1.0,1.0,0.31368621918712186,0.9833060819553775,0.31159669531368234,0.9838117850301051,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\dkan\polynomial_2\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\dkan\polynomial_2\formula.va
AC_Response,dkan,teacher_distillation,polynomial,3,1e-08,20,989,6.367299996782094e-07,1.0,1.0,1.0,0.16174280045708375,0.9955616932563668,0.1763158544106815,0.9948168233686182,False,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\dkan\polynomial_3\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\dkan\polynomial_3\formula.va
AC_Response,mlp_l,teacher_distillation,additive_spline,4,1e-08,16,3621,6.6619998930643e-08,1.0,1.0,1.0,0.03291473165497936,0.999812628276275,0.17462489280062962,0.9949157653996684,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\mlp_l\additive_spline_4\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\mlp_l\additive_spline_4\formula.va
AC_Response,mlp_l,teacher_distillation,additive_spline,6,1e-08,22,4243,6.711000072148939e-08,1.0,1.0,1.0,0.03229516580473795,0.9998196158178326,0.17488880865843792,0.9949003858730346,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\mlp_l\additive_spline_6\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\mlp_l\additive_spline_6\formula.va
AC_Response,mlp_l,teacher_distillation,additive_spline,8,1e-08,28,4829,6.847666809335351e-08,1.0,1.0,1.0,0.03228728487700032,0.9998197038447069,0.17468222554373936,0.994912426345734,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\mlp_l\additive_spline_8\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\mlp_l\additive_spline_8\formula.va
AC_Response,mlp_l,teacher_distillation,polynomial,1,1e-08,4,512,6.018333369866014e-08,1.0,1.0,1.0,0.8569334514915691,0.872995939149042,0.9139118689534343,0.8607414361983541,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\mlp_l\polynomial_1\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\mlp_l\polynomial_1\formula.va
AC_Response,mlp_l,teacher_distillation,polynomial,2,1e-08,10,688,1.996633344485114e-07,1.0,1.0,1.0,0.2257962427537693,0.9911822691871671,0.3113091018698056,0.9838416536138846,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\mlp_l\polynomial_2\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\mlp_l\polynomial_2\formula.va
AC_Response,mlp_l,teacher_distillation,polynomial,3,1e-08,20,997,4.034733322138588e-07,1.0,1.0,1.0,0.023401048407102408,0.9999052903908074,0.17846736409284786,0.9946895552421441,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\mlp_l\polynomial_3\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\mlp_l\polynomial_3\formula.va
AC_Response,tcad_direct,direct_tcad,additive_spline,4,0.0001,16,3539,6.839666748419405e-08,1.0,1.0,1.0,,,0.10214561404235362,0.9982603866819805,False,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\tcad_direct\additive_spline_4\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\tcad_direct\additive_spline_4\formula.va
AC_Response,tcad_direct,direct_tcad,additive_spline,6,1e-06,22,4106,7.585333272193869e-08,1.0,1.0,1.0,,,0.10270457426281063,0.9982412955998552,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\tcad_direct\additive_spline_6\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\tcad_direct\additive_spline_6\formula.va
AC_Response,tcad_direct,direct_tcad,additive_spline,8,1e-08,28,4673,7.21500002934287e-08,1.0,1.0,1.0,,,0.0953728082615472,0.9984834301486991,False,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\tcad_direct\additive_spline_8\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\tcad_direct\additive_spline_8\formula.va
AC_Response,tcad_direct,direct_tcad,polynomial,1,1e-08,4,512,5.466999912944933e-08,1.0,1.0,1.0,,,0.9135399021187796,0.8608547710342174,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\tcad_direct\polynomial_1\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\tcad_direct\polynomial_1\formula.va
AC_Response,tcad_direct,direct_tcad,polynomial,2,1e-08,10,687,1.8171000022751589e-07,1.0,1.0,1.0,,,0.30702547379462153,0.9842832734425639,True,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\tcad_direct\polynomial_2\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\tcad_direct\polynomial_2\formula.va
AC_Response,tcad_direct,direct_tcad,polynomial,3,1e-08,20,992,4.1956333443522454e-07,1.0,1.0,1.0,,,0.1679640918420103,0.9952962290126334,False,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\tcad_direct\polynomial_3\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\AC_Response\exports\AC_Response\tcad_direct\polynomial_3\formula.va
