task,seed,source,source_kind,family,budget,fit_rows,validation_rows,calibration_rows_untouched,test_rows,selected_alpha,validation_source_rmse,fit_time_selected_candidate_s,candidate_fit_time_total_s,terms,formula_chars,veriloga_lines,json_path,veriloga_path,formula_to_network_rmse,formula_to_network_r2,formula_to_network_p95_abs_error,formula_to_network_max_abs_error,formula_to_tcad_rmse,formula_to_tcad_r2,formula_to_tcad_p95_abs_error,formula_to_tcad_max_abs_error,test_finite_rate,dense_train_envelope_points,dense_finite_rate,swept_axis_derivative_finite_rate,independent_json_replay_max_abs_error,latency_per_point_s,calibration_used,test_used_for_selection,pareto_rmse_terms,pareto_rmse_chars
I_photo,46,bkan_parameter_mean,teacher_distillation,polynomial,1,1664,256,384,256,0.01,0.007155259988500747,0.0006862000445835292,0.0032554000499658287,7,824,23,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\I_photo\exports\I_photo\bkan_parameter_mean\polynomial_1\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\I_photo\exports\I_photo\bkan_parameter_mean\polynomial_1\formula.va,0.007459646659469826,0.8904700873799541,0.016732571386531836,0.022106616181886363,0.007820354453571203,0.8813225661859181,0.01596265549728948,0.022117400219099803,1.0,5000,1.0,1.0,0.0,2.657800000937035e-07,False,False,False,True
I_photo,46,bkan_parameter_mean,teacher_distillation,polynomial,2,1664,256,384,256,1e-08,0.004112987852394209,0.000999600044451654,0.0034757000394165516,28,1597,44,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\I_photo\exports\I_photo\bkan_parameter_mean\polynomial_2\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\I_photo\exports\I_photo\bkan_parameter_mean\polynomial_2\formula.va,0.004775533617189634,0.9551109886057942,0.010404590875373265,0.017062412578032315,0.005686597825209067,0.9372490506224223,0.011674971082202168,0.014436874326888116,1.0,5000,1.0,1.0,4.440892098500626e-16,1.1075733345933259e-06,False,False,False,False
I_photo,46,bkan_parameter_mean,teacher_distillation,polynomial,3,1664,256,384,256,0.01,0.008762716140569313,0.00165200000628829,0.007444099988788366,84,3653,100,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\I_photo\exports\I_photo\bkan_parameter_mean\polynomial_3\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\I_photo\exports\I_photo\bkan_parameter_mean\polynomial_3\formula.va,0.004581367330975463,0.9586870262655228,0.011542007116404407,0.014946169131201614,0.007351338882402663,0.8951307509214939,0.015549360416813318,0.018724469729880067,1.0,5000,1.0,1.0,4.440892098500626e-16,3.9498300000559536e-06,False,False,False,False
I_photo,46,bkan_parameter_mean,teacher_distillation,additive_spline,4,1664,256,384,256,0.01,0.0030941582368609823,0.0015778999659232795,0.007426899916026741,31,7129,196,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\I_photo\exports\I_photo\bkan_parameter_mean\additive_spline_4\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\I_photo\exports\I_photo\bkan_parameter_mean\additive_spline_4\formula.va,0.002236672786049901,0.9901530635525715,0.005464531753663127,0.006852824563186477,0.005926348721992165,0.9318462624692213,0.012644866867712157,0.014060096632761532,1.0,5000,1.0,1.0,8.881784197001252e-16,1.254033336105446e-07,False,False,False,False
I_photo,46,bkan_parameter_mean,teacher_distillation,additive_spline,6,1664,256,384,256,0.01,0.003229816427398258,0.0014444999978877604,0.006264799972996116,43,8328,232,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\I_photo\exports\I_photo\bkan_parameter_mean\additive_spline_6\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\I_photo\exports\I_photo\bkan_parameter_mean\additive_spline_6\formula.va,0.002618203764406346,0.9865071679816031,0.005607574627429113,0.0069046836527486555,0.005664742869530804,0.9377304575773153,0.009854251489051391,0.014145461058345354,1.0,5000,1.0,1.0,8.881784197001252e-16,1.4110000144379835e-07,False,False,False,False
I_photo,46,bkan_parameter_mean,teacher_distillation,additive_spline,8,1664,256,384,256,0.01,0.0032356357157065983,0.001580399984959513,0.006820200011134148,55,9581,268,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\I_photo\exports\I_photo\bkan_parameter_mean\additive_spline_8\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\I_photo\exports\I_photo\bkan_parameter_mean\additive_spline_8\formula.va,0.002568460018089947,0.9870150031977376,0.00453654937014758,0.005741504402578812,0.006132205734162767,0.9270292675789817,0.011279880906300499,0.015626253046654437,1.0,5000,1.0,1.0,8.881784197001252e-16,1.41493333891655e-07,False,False,False,False
I_photo,46,dkan,teacher_distillation,polynomial,1,1664,256,384,256,0.01,0.007979029651353399,0.0005336000467650592,0.002446400001645088,7,824,23,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\I_photo\exports\I_photo\dkan\polynomial_1\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\I_photo\exports\I_photo\dkan\polynomial_1\formula.va,0.008323693066265344,0.8656010706086201,0.018038873942723188,0.026509235570383094,0.007842699965217595,0.8806433906540263,0.015822640922577458,0.021918864620148693,1.0,5000,1.0,1.0,4.440892098500626e-16,1.48156665576001e-07,False,False,False,False
I_photo,46,dkan,teacher_distillation,polynomial,2,1664,256,384,256,0.01,0.005169085763129775,0.0007282000151462853,0.0033520000870339572,28,1596,44,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\I_photo\exports\I_photo\dkan\polynomial_2\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\I_photo\exports\I_photo\dkan\polynomial_2\formula.va,0.00616830633301123,0.9261933384059625,0.013537417818249131,0.018050930329460257,0.0056703131412363505,0.9376079352263041,0.011070155468178355,0.015050813504091654,1.0,5000,1.0,1.0,4.440892098500626e-16,9.204866655636579e-07,False,False,False,False
I_photo,46,dkan,teacher_distillation,polynomial,3,1664,256,384,256,0.01,0.009632461643827589,0.0024287999840453267,0.007422399939969182,84,3645,100,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\I_photo\exports\I_photo\dkan\polynomial_3\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\I_photo\exports\I_photo\dkan\polynomial_3\formula.va,0.006297957534184037,0.9230580568015639,0.017148203663064465,0.019203790924150255,0.006739055034876375,0.9118721291681171,0.014414739731612558,0.01712282454983738,1.0,5000,1.0,1.0,4.440892098500626e-16,2.982539999842023e-06,False,False,False,False
I_photo,46,dkan,teacher_distillation,additive_spline,4,1664,256,384,256,1e-08,0.004493779813624601,0.0017306000227108598,0.005769900046288967,31,7137,196,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\I_photo\exports\I_photo\dkan\additive_spline_4\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_46\I_photo\exports\I_photo\dkan\additive_spline_4\formula.va,0.00397949344932894,0.9692801364196555,0.009652936029456938,0.012953974016503889,0.0061091072030840625,0.9275779583233302,0.013004623552641426,0.014512675866085623,1.0,5000,1.0,1.0,8.881784197001252e-16,1.37739999142165e-07,False,False,False,False
