task,source,source_kind,family,budget,selected_alpha,terms,formula_chars,latency_per_point_s,test_finite_rate,dense_finite_rate,swept_axis_derivative_finite_rate,formula_to_network_rmse,formula_to_network_r2,formula_to_tcad_rmse,formula_to_tcad_r2,pareto_rmse_terms,pareto_rmse_chars,json_path,veriloga_path
Capacitance,bkan_parameter_mean,teacher_distillation,additive_spline,4,0.01,36,8633,1.4711666735820472e-07,1.0,1.0,1.0,2.925557551315474e-16,0.9924319875690898,3.0761386960839567e-16,0.9916351416429506,False,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\Capacitance\exports\Capacitance\bkan_parameter_mean\additive_spline_4\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\Capacitance\exports\Capacitance\bkan_parameter_mean\additive_spline_4\formula.va
Capacitance,bkan_parameter_mean,teacher_distillation,additive_spline,6,0.01,50,10167,1.4879000179159144e-07,1.0,1.0,1.0,2.544995316990054e-16,0.9942728505002765,2.713954124999629e-16,0.9934889389081831,False,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\Capacitance\exports\Capacitance\bkan_parameter_mean\additive_spline_6\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\Capacitance\exports\Capacitance\bkan_parameter_mean\additive_spline_6\formula.va
Capacitance,bkan_parameter_mean,teacher_distillation,additive_spline,8,0.01,64,11759,1.6890000163887938e-07,1.0,1.0,1.0,2.481742624626301e-16,0.9945539951387299,2.657033156055342e-16,0.9937591935573443,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\Capacitance\exports\Capacitance\bkan_parameter_mean\additive_spline_8\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\Capacitance\exports\Capacitance\bkan_parameter_mean\additive_spline_8\formula.va
Capacitance,bkan_parameter_mean,teacher_distillation,polynomial,1,0.01,8,930,3.3284666521164277e-07,1.0,1.0,1.0,2.0236335778844185e-15,0.6379001883996785,2.0212417793404572e-15,0.6388535927804928,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\Capacitance\exports\Capacitance\bkan_parameter_mean\polynomial_1\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\Capacitance\exports\Capacitance\bkan_parameter_mean\polynomial_1\formula.va
Capacitance,bkan_parameter_mean,teacher_distillation,polynomial,2,0.01,36,2022,1.7449600001176198e-06,1.0,1.0,1.0,1.1007476309902861e-15,0.8928628563050799,1.1065600363472748e-15,0.8917577705914198,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\Capacitance\exports\Capacitance\bkan_parameter_mean\polynomial_2\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\Capacitance\exports\Capacitance\bkan_parameter_mean\polynomial_2\formula.va
Capacitance,bkan_parameter_mean,teacher_distillation,polynomial,3,0.01,120,5271,4.6406766671376925e-06,1.0,1.0,1.0,5.265989575557107e-16,0.9754797702580543,5.32949900438206e-16,0.974891571228596,False,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\Capacitance\exports\Capacitance\bkan_parameter_mean\polynomial_3\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\Capacitance\exports\Capacitance\bkan_parameter_mean\polynomial_3\formula.va
Capacitance,dkan,teacher_distillation,additive_spline,4,0.01,36,8649,1.4665000101861854e-07,1.0,1.0,1.0,2.5499502189422125e-16,0.9939974097753047,3.2059854707626123e-16,0.9909140599859191,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\Capacitance\exports\Capacitance\dkan\additive_spline_4\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\Capacitance\exports\Capacitance\dkan\additive_spline_4\formula.va
Capacitance,dkan,teacher_distillation,additive_spline,6,0.01,50,10168,1.4974666604151327e-07,1.0,1.0,1.0,2.407938402885482e-16,0.9946473846065808,2.892549277127488e-16,0.9926038059306732,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\Capacitance\exports\Capacitance\dkan\additive_spline_6\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\Capacitance\exports\Capacitance\dkan\additive_spline_6\formula.va
Capacitance,dkan,teacher_distillation,additive_spline,8,0.01,64,11746,1.7704666630985835e-07,1.0,1.0,1.0,2.313819469374797e-16,0.9950576416094763,2.91607080370012e-16,0.9924830286514393,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\Capacitance\exports\Capacitance\dkan\additive_spline_8\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\Capacitance\exports\Capacitance\dkan\additive_spline_8\formula.va
Capacitance,dkan,teacher_distillation,polynomial,1,0.01,8,932,1.860633317846805e-07,1.0,1.0,1.0,1.9657028525569907e-15,0.6432934958335901,2.021963745005389e-15,0.6385955515361403,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\Capacitance\exports\Capacitance\dkan\polynomial_1\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\Capacitance\exports\Capacitance\dkan\polynomial_1\formula.va
