task,source,source_kind,family,budget,selected_alpha,terms,formula_chars,latency_per_point_s,test_finite_rate,dense_finite_rate,swept_axis_derivative_finite_rate,formula_to_network_rmse,formula_to_network_r2,formula_to_tcad_rmse,formula_to_tcad_r2,pareto_rmse_terms,pareto_rmse_chars,json_path,veriloga_path
I_photo,bkan_parameter_mean,teacher_distillation,additive_spline,4,0.01,31,7108,1.2511333334259688e-07,1.0,1.0,1.0,0.0022171629684081353,0.9900779609963012,0.004541170789242325,0.9601145699831816,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\I_photo\exports\I_photo\bkan_parameter_mean\additive_spline_4\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\I_photo\exports\I_photo\bkan_parameter_mean\additive_spline_4\formula.va
I_photo,bkan_parameter_mean,teacher_distillation,additive_spline,6,0.01,43,8384,1.2867333522687357e-07,1.0,1.0,1.0,0.0022830075518951347,0.9894798872721274,0.0044856755676884585,0.9610834505552146,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\I_photo\exports\I_photo\bkan_parameter_mean\additive_spline_6\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\I_photo\exports\I_photo\bkan_parameter_mean\additive_spline_6\formula.va
I_photo,bkan_parameter_mean,teacher_distillation,additive_spline,8,1e-08,55,9560,1.3814666696513693e-07,1.0,1.0,1.0,0.0023260873567339502,0.989079117391183,0.004566974395709904,0.9596600123428006,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\I_photo\exports\I_photo\bkan_parameter_mean\additive_spline_8\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\I_photo\exports\I_photo\bkan_parameter_mean\additive_spline_8\formula.va
I_photo,bkan_parameter_mean,teacher_distillation,polynomial,1,0.01,7,824,2.2720000124536453e-07,1.0,1.0,1.0,0.006903083197208003,0.9038184187800191,0.007434087121643102,0.893110781903119,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\I_photo\exports\I_photo\bkan_parameter_mean\polynomial_1\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\I_photo\exports\I_photo\bkan_parameter_mean\polynomial_1\formula.va
I_photo,bkan_parameter_mean,teacher_distillation,polynomial,2,1e-08,28,1599,1.0845266670609514e-06,1.0,1.0,1.0,0.003772474516424991,0.9712751131377598,0.004682489183349957,0.9575935250545432,False,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\I_photo\exports\I_photo\bkan_parameter_mean\polynomial_2\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\I_photo\exports\I_photo\bkan_parameter_mean\polynomial_2\formula.va
I_photo,bkan_parameter_mean,teacher_distillation,polynomial,3,0.01,84,3666,4.0502633336776245e-06,1.0,1.0,1.0,0.006681231233857359,0.9099012630682309,0.007455335379271703,0.892498882845383,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\I_photo\exports\I_photo\bkan_parameter_mean\polynomial_3\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\I_photo\exports\I_photo\bkan_parameter_mean\polynomial_3\formula.va
I_photo,dkan,teacher_distillation,additive_spline,4,0.01,31,7120,1.259599986951798e-07,1.0,1.0,1.0,0.0020368548561630847,0.9914532868384466,0.004581028500190381,0.95941135111216,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\I_photo\exports\I_photo\dkan\additive_spline_4\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\I_photo\exports\I_photo\dkan\additive_spline_4\formula.va
I_photo,dkan,teacher_distillation,additive_spline,6,0.01,43,8345,1.2908333252804974e-07,1.0,1.0,1.0,0.0018170972881615143,0.9931980204230678,0.0044405185799322846,0.961863047090308,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\I_photo\exports\I_photo\dkan\additive_spline_6\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\I_photo\exports\I_photo\dkan\additive_spline_6\formula.va
I_photo,dkan,teacher_distillation,additive_spline,8,0.0001,55,9564,1.318433341414978e-07,1.0,1.0,1.0,0.0021490909398072097,0.990485443494829,0.004615148010596131,0.9588044908552644,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\I_photo\exports\I_photo\dkan\additive_spline_8\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\I_photo\exports\I_photo\dkan\additive_spline_8\formula.va
I_photo,dkan,teacher_distillation,polynomial,1,0.01,7,823,1.6832333446169893e-07,1.0,1.0,1.0,0.0063946362190408,0.9157614952388986,0.0074371113904705384,0.8930237967822261,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\I_photo\exports\I_photo\dkan\polynomial_1\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\I_photo\exports\I_photo\dkan\polynomial_1\formula.va
I_photo,dkan,teacher_distillation,polynomial,2,1e-08,28,1594,1.0419666670107593e-06,1.0,1.0,1.0,0.0030624288616662174,0.9806798283167638,0.004877623447802564,0.9539854534151135,False,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\I_photo\exports\I_photo\dkan\polynomial_2\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_47\I_photo\exports\I_photo\dkan\polynomial_2\formula.va
