task,seed,source,source_kind,family,budget,fit_rows,validation_rows,calibration_rows_untouched,test_rows,selected_alpha,validation_source_rmse,fit_time_selected_candidate_s,candidate_fit_time_total_s,terms,formula_chars,veriloga_lines,json_path,veriloga_path,formula_to_network_rmse,formula_to_network_r2,formula_to_network_p95_abs_error,formula_to_network_max_abs_error,formula_to_tcad_rmse,formula_to_tcad_r2,formula_to_tcad_p95_abs_error,formula_to_tcad_max_abs_error,test_finite_rate,dense_train_envelope_points,dense_finite_rate,swept_axis_derivative_finite_rate,independent_json_replay_max_abs_error,latency_per_point_s,calibration_used,test_used_for_selection,pareto_rmse_terms,pareto_rmse_chars
I_dark,50,bkan_parameter_mean,teacher_distillation,polynomial,1,1560,240,360,240,0.01,0.04777117860939549,0.000768599973525852,0.0032187000033445656,7,812,23,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_50\I_dark\exports\I_dark\bkan_parameter_mean\polynomial_1\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_50\I_dark\exports\I_dark\bkan_parameter_mean\polynomial_1\formula.va,0.04769507580075682,0.9174543078525961,0.12550029966908574,0.17349287182141637,0.04811081658979204,0.9153267093454046,0.12895350774538883,0.16122780470659226,1.0,5000,1.0,1.0,8.881784197001252e-16,2.3098666570149363e-07,False,False,False,False
I_dark,50,bkan_parameter_mean,teacher_distillation,polynomial,2,1560,240,360,240,0.01,0.020527870959368404,0.0013477999600581825,0.004982599930372089,28,1580,44,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_50\I_dark\exports\I_dark\bkan_parameter_mean\polynomial_2\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_50\I_dark\exports\I_dark\bkan_parameter_mean\polynomial_2\formula.va,0.020643282929732523,0.9845366047565562,0.04937216199564713,0.0796613836330966,0.02116132169736103,0.9836187680262629,0.0535917863132993,0.06739631651827249,1.0,5000,1.0,1.0,8.881784197001252e-16,1.333786667479823e-06,False,False,False,False
I_dark,50,bkan_parameter_mean,teacher_distillation,polynomial,3,1560,240,360,240,0.01,0.010749548848754712,0.0011671999818645418,0.005215799959842116,84,3652,100,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_50\I_dark\exports\I_dark\bkan_parameter_mean\polynomial_3\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_50\I_dark\exports\I_dark\bkan_parameter_mean\polynomial_3\formula.va,0.010791816250503414,0.9957739326797026,0.0221907639509578,0.029157821560880315,0.011400462239284722,0.9952454884977842,0.02411208298991089,0.036035521724636865,1.0,5000,1.0,1.0,8.881784197001252e-16,3.896150000703832e-06,False,False,False,False
I_dark,50,bkan_parameter_mean,teacher_distillation,additive_spline,4,1560,240,360,240,1e-08,0.005478052286816135,0.0020519999670796096,0.006064500019419938,31,7097,196,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_50\I_dark\exports\I_dark\bkan_parameter_mean\additive_spline_4\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_50\I_dark\exports\I_dark\bkan_parameter_mean\additive_spline_4\formula.va,0.005827861853515834,0.9987675598908977,0.011180895265567602,0.042145390644113156,0.005499189981480494,0.9988937368945006,0.011431754034583892,0.029880323529289043,1.0,5000,1.0,1.0,1.7763568394002505e-15,1.2742666682849327e-07,False,False,False,True
I_dark,50,bkan_parameter_mean,teacher_distillation,additive_spline,6,1560,240,360,240,1e-08,0.0045088937412508315,0.0017987999599426985,0.006411199981812388,43,8362,232,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_50\I_dark\exports\I_dark\bkan_parameter_mean\additive_spline_6\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_50\I_dark\exports\I_dark\bkan_parameter_mean\additive_spline_6\formula.va,0.004999957671302172,0.9990928481675859,0.009751032619133227,0.038935366907820956,0.004039108093882743,0.9994031957143255,0.007372034912985438,0.026670299792996843,1.0,5000,1.0,1.0,1.7763568394002505e-15,1.3039333280175926e-07,False,False,False,False
I_dark,50,bkan_parameter_mean,teacher_distillation,additive_spline,8,1560,240,360,240,0.0001,0.004859707315849393,0.0015472000231966376,0.006469100073445588,55,9567,268,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_50\I_dark\exports\I_dark\bkan_parameter_mean\additive_spline_8\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_50\I_dark\exports\I_dark\bkan_parameter_mean\additive_spline_8\formula.va,0.005025710484250568,0.9990834793382943,0.009381053514735303,0.038672470015622906,0.004167830072996098,0.99936455057732,0.008398961691381088,0.026407402900798793,1.0,5000,1.0,1.0,1.7763568394002505e-15,1.426666664580504e-07,False,False,False,False
I_dark,50,dkan,teacher_distillation,polynomial,1,1560,240,360,240,0.01,0.04978422596384394,0.000653000024612993,0.002598099992610514,7,811,23,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_50\I_dark\exports\I_dark\dkan\polynomial_1\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_50\I_dark\exports\I_dark\dkan\polynomial_1\formula.va,0.048896756037834,0.9074549224613699,0.11795359936783134,0.16610760298501237,0.04820014113921059,0.9150120015379964,0.1299344435662154,0.16754758434679395,1.0,5000,1.0,1.0,8.881784197001252e-16,1.490000014503797e-07,False,False,False,False
I_dark,50,dkan,teacher_distillation,polynomial,2,1560,240,360,240,0.01,0.026677468988005975,0.0007563999970443547,0.0041185999871231616,28,1573,44,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_50\I_dark\exports\I_dark\dkan\polynomial_2\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_50\I_dark\exports\I_dark\dkan\polynomial_2\formula.va,0.02736967324816083,0.9710043763868837,0.0497772652445104,0.08378563960334695,0.022183423079630667,0.9819981099149296,0.05371463444411305,0.0945124196517142,1.0,5000,1.0,1.0,8.881784197001252e-16,9.082500007934869e-07,False,False,False,True
I_dark,50,dkan,teacher_distillation,polynomial,3,1560,240,360,240,0.01,0.027648761756574984,0.0011249000090174377,0.0051306000095792115,84,3615,100,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_50\I_dark\exports\I_dark\dkan\polynomial_3\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_50\I_dark\exports\I_dark\dkan\polynomial_3\formula.va,0.021398538684447133,0.9822760114515974,0.03839829781444663,0.09445344749414453,0.013473287137591232,0.9933593879018411,0.029470939634072567,0.04564619239350609,1.0,5000,1.0,1.0,8.881784197001252e-16,2.978419999514396e-06,False,False,False,True
I_dark,50,dkan,teacher_distillation,additive_spline,4,1560,240,360,240,1e-08,0.019364362773696617,0.001951000012923032,0.005956900073215365,31,7049,196,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_50\I_dark\exports\I_dark\dkan\additive_spline_4\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_50\I_dark\exports\I_dark\dkan\additive_spline_4\formula.va,0.019273998899506976,0.9856207283608295,0.03399942265404684,0.08964408455168993,0.0059153659542070325,0.9987199580098824,0.011555598667992314,0.03328276575291955,1.0,5000,1.0,1.0,1.7763568394002505e-15,1.3297666640331349e-07,False,False,False,True
