task,seed,source,source_kind,family,budget,fit_rows,validation_rows,calibration_rows_untouched,test_rows,selected_alpha,validation_source_rmse,fit_time_selected_candidate_s,candidate_fit_time_total_s,terms,formula_chars,veriloga_lines,json_path,veriloga_path,formula_to_network_rmse,formula_to_network_r2,formula_to_network_p95_abs_error,formula_to_network_max_abs_error,formula_to_tcad_rmse,formula_to_tcad_r2,formula_to_tcad_p95_abs_error,formula_to_tcad_max_abs_error,test_finite_rate,dense_train_envelope_points,dense_finite_rate,swept_axis_derivative_finite_rate,independent_json_replay_max_abs_error,latency_per_point_s,calibration_used,test_used_for_selection,pareto_rmse_terms,pareto_rmse_chars
Capacitance,51,bkan_parameter_mean,teacher_distillation,polynomial,1,41600,6400,9600,6400,1e-08,2.013180338845732e-15,0.00508790003368631,0.01984579995041713,8,934,25,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\Capacitance\exports\Capacitance\bkan_parameter_mean\polynomial_1\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\Capacitance\exports\Capacitance\bkan_parameter_mean\polynomial_1\formula.va,1.9703450194414004e-15,0.6295929486742475,5.1300785099734684e-15,7.208507232861306e-15,1.972810510645266e-15,0.6293743783044261,5.080197132147452e-15,7.317900680626261e-15,1.0,5000,1.0,1.0,6.310887241768095e-30,3.3257333367752534e-07,False,False,False,False
Capacitance,51,bkan_parameter_mean,teacher_distillation,polynomial,2,41600,6400,9600,6400,1e-08,1.0904272212488111e-15,0.01433600002201274,0.06106730009196326,36,2018,53,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\Capacitance\exports\Capacitance\bkan_parameter_mean\polynomial_2\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\Capacitance\exports\Capacitance\bkan_parameter_mean\polynomial_2\formula.va,1.0688287403351595e-15,0.8910039068728012,2.3684699206832494e-15,3.6859066800501335e-15,1.0796731439695884e-15,0.888993274840238,2.3416526937747282e-15,3.8339841985388435e-15,1.0,5000,1.0,1.0,6.310887241768095e-30,1.7332166666164995e-06,False,False,False,True
Capacitance,51,bkan_parameter_mean,teacher_distillation,polynomial,3,41600,6400,9600,6400,0.01,5.169766792634908e-16,0.046170399989932775,0.19555110001238063,120,5295,137,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\Capacitance\exports\Capacitance\bkan_parameter_mean\polynomial_3\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\Capacitance\exports\Capacitance\bkan_parameter_mean\polynomial_3\formula.va,5.072212856990557e-16,0.9754534972004252,1.0241644601655482e-15,1.5453050916961598e-15,5.185925498000254e-16,0.9743895482191364,1.0255379507953815e-15,1.774429526363961e-15,1.0,5000,1.0,1.0,1.262177448353619e-29,4.578193333387996e-06,False,False,False,False
Capacitance,51,bkan_parameter_mean,teacher_distillation,additive_spline,4,41600,6400,9600,6400,1e-08,2.7952549452416847e-16,0.030148499994538724,0.12034330004826188,36,8641,227,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\Capacitance\exports\Capacitance\bkan_parameter_mean\additive_spline_4\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\Capacitance\exports\Capacitance\bkan_parameter_mean\additive_spline_4\formula.va,2.9403001799155714e-16,0.9917514421287197,5.741121006889198e-16,3.109000923995999e-15,2.9738958343531576e-16,0.9915779813617887,6.668572255455611e-16,2.888987524206181e-15,1.0,5000,1.0,1.0,4.417621069237666e-29,1.502666661205391e-07,False,False,False,False
Capacitance,51,bkan_parameter_mean,teacher_distillation,additive_spline,6,41600,6400,9600,6400,1e-08,2.444838510191545e-16,0.034332500013988465,0.13785550004104152,50,10197,269,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\Capacitance\exports\Capacitance\bkan_parameter_mean\additive_spline_6\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\Capacitance\exports\Capacitance\bkan_parameter_mean\additive_spline_6\formula.va,2.6331492522171343e-16,0.9933847595007045,4.627248709969063e-16,3.2634275086218094e-15,2.6286490980639923e-16,0.9934199389369159,4.592107214910564e-16,3.0335533576785764e-15,1.0,5000,1.0,1.0,2.8398992587956425e-29,1.504399988334626e-07,False,False,False,True
Capacitance,51,bkan_parameter_mean,teacher_distillation,additive_spline,8,41600,6400,9600,6400,1e-08,2.3909189510266907e-16,0.040469400002621114,0.16585759998997673,64,11727,311,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\Capacitance\exports\Capacitance\bkan_parameter_mean\additive_spline_8\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\Capacitance\exports\Capacitance\bkan_parameter_mean\additive_spline_8\formula.va,2.5880940118097094e-16,0.9936092065622951,4.0921848565808694e-16,3.295631693307143e-15,2.574582168706736e-16,0.9936878369715948,4.05993885534029e-16,3.0673886251351056e-15,1.0,5000,1.0,1.0,3.155443620884047e-29,1.545966661069542e-07,False,False,False,True
Capacitance,51,dkan,teacher_distillation,polynomial,1,41600,6400,9600,6400,0.01,1.9952570347413607e-15,0.0038309000083245337,0.017449999984819442,8,935,25,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\Capacitance\exports\Capacitance\dkan\polynomial_1\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\Capacitance\exports\Capacitance\dkan\polynomial_1\formula.va,1.9438049251150148e-15,0.6321636595654812,5.006495911086633e-15,6.9107288102478084e-15,1.9725640196036513e-15,0.6294669874910233,5.100180606939344e-15,7.362774548859907e-15,1.0,5000,1.0,1.0,6.310887241768095e-30,1.862033347909649e-07,False,False,True,True
Capacitance,51,dkan,teacher_distillation,polynomial,2,41600,6400,9600,6400,1e-08,1.0966925401065006e-15,0.013449900026898831,0.049824299989268184,36,2024,53,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\Capacitance\exports\Capacitance\dkan\polynomial_2\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\Capacitance\exports\Capacitance\dkan\polynomial_2\formula.va,1.0569736583013172e-15,0.89123789487572,2.209136369711803e-15,3.672857736121352e-15,1.0800482115645543e-15,0.888916136203498,2.3602038993557504e-15,3.958559056655337e-15,1.0,5000,1.0,1.0,6.310887241768095e-30,1.3168266663948694e-06,False,False,False,False
Capacitance,51,dkan,teacher_distillation,polynomial,3,41600,6400,9600,6400,0.01,5.305543209905589e-16,0.04572789999656379,0.186780100048054,120,5278,137,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\Capacitance\exports\Capacitance\dkan\polynomial_3\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\Capacitance\exports\Capacitance\dkan\polynomial_3\formula.va,5.092434137814777e-16,0.974753561652593,1.0220400498666024e-15,1.8806824441636307e-15,5.248386283788817e-16,0.9737689136726545,1.0543795101710768e-15,1.8852461885065265e-15,1.0,5000,1.0,1.0,1.262177448353619e-29,4.608773333408559e-06,False,False,False,False
Capacitance,51,dkan,teacher_distillation,additive_spline,4,41600,6400,9600,6400,1e-08,3.040413163851393e-16,0.029551799991168082,0.1207267000572756,36,8664,227,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\Capacitance\exports\Capacitance\dkan\additive_spline_4\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\Capacitance\exports\Capacitance\dkan\additive_spline_4\formula.va,2.844562651133787e-16,0.992122647429964,6.935504693450625e-16,2.5270543015709628e-15,2.9498031165836633e-16,0.9917138888747936,6.38369964498823e-16,2.6626212506139654e-15,1.0,5000,1.0,1.0,4.1020767071492614e-29,1.4947999928457042e-07,False,False,True,True
