task,source,source_kind,family,budget,selected_alpha,terms,formula_chars,latency_per_point_s,test_finite_rate,dense_finite_rate,swept_axis_derivative_finite_rate,formula_to_network_rmse,formula_to_network_r2,formula_to_tcad_rmse,formula_to_tcad_r2,pareto_rmse_terms,pareto_rmse_chars,json_path,veriloga_path
I_dark,bkan_parameter_mean,teacher_distillation,additive_spline,4,1e-08,31,7138,1.2688666659717757e-07,1.0,1.0,1.0,0.008164997337842973,0.9981807841039582,0.007908734050257054,0.9983198735310784,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\bkan_parameter_mean\additive_spline_4\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\bkan_parameter_mean\additive_spline_4\formula.va
I_dark,bkan_parameter_mean,teacher_distillation,additive_spline,6,1e-08,43,8350,1.527166673137496e-07,1.0,1.0,1.0,0.007717256458762928,0.9983748329330625,0.007179931792579242,0.9986152586283399,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\bkan_parameter_mean\additive_spline_6\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\bkan_parameter_mean\additive_spline_6\formula.va
I_dark,bkan_parameter_mean,teacher_distillation,additive_spline,8,1e-08,55,9551,1.3879999945250652e-07,1.0,1.0,1.0,0.007497802097880947,0.9984659479563857,0.00681929477526048,0.998750871956836,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\bkan_parameter_mean\additive_spline_8\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\bkan_parameter_mean\additive_spline_8\formula.va
I_dark,bkan_parameter_mean,teacher_distillation,polynomial,1,0.01,7,814,1.8923999935699007e-07,1.0,1.0,1.0,0.04599645934904913,0.9422674218484635,0.048455555199196615,0.936931111294275,False,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\bkan_parameter_mean\polynomial_1\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\bkan_parameter_mean\polynomial_1\formula.va
I_dark,bkan_parameter_mean,teacher_distillation,polynomial,2,0.01,28,1588,1.3825966666142146e-06,1.0,1.0,1.0,0.020229644113531575,0.9888326884507983,0.022464917987925773,0.9864438081791214,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\bkan_parameter_mean\polynomial_2\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\bkan_parameter_mean\polynomial_2\formula.va
I_dark,bkan_parameter_mean,teacher_distillation,polynomial,3,0.01,84,3651,3.961136665505667e-06,1.0,1.0,1.0,0.012113480132748839,0.9959958530272439,0.01409875333267632,0.994660636906941,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\bkan_parameter_mean\polynomial_3\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\bkan_parameter_mean\polynomial_3\formula.va
I_dark,dkan,teacher_distillation,additive_spline,4,1e-08,31,7060,1.394000001406918e-07,1.0,1.0,1.0,0.02081571326126397,0.9873380819522939,0.0073701131477331904,0.9985409292838182,False,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\dkan\additive_spline_4\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\dkan\additive_spline_4\formula.va
I_dark,dkan,teacher_distillation,additive_spline,6,0.01,43,8290,1.5495666690791647e-07,1.0,1.0,1.0,0.020829020216346653,0.9873218878945846,0.008385599855602891,0.9981111550892925,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\dkan\additive_spline_6\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\dkan\additive_spline_6\formula.va
I_dark,dkan,teacher_distillation,additive_spline,8,0.01,55,9475,1.3786333341461917e-07,1.0,1.0,1.0,0.019610459135570343,0.988761912004501,0.009793810203024413,0.997423492580229,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\dkan\additive_spline_8\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\dkan\additive_spline_8\formula.va
I_dark,dkan,teacher_distillation,polynomial,1,0.01,7,815,1.5075999932984512e-07,1.0,1.0,1.0,0.04919166949024994,0.9292868752285887,0.048403228853472854,0.9370672518282133,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\dkan\polynomial_1\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\dkan\polynomial_1\formula.va
I_dark,dkan,teacher_distillation,polynomial,2,0.01,28,1580,9.706933322983483e-07,1.0,1.0,1.0,0.0267388394662333,0.9791069418801258,0.022697878446249143,0.9861611958737394,False,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\dkan\polynomial_2\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\dkan\polynomial_2\formula.va
I_dark,dkan,teacher_distillation,polynomial,3,0.01,84,3630,3.0153366659457484e-06,1.0,1.0,1.0,0.022011964165277346,0.9858409374956427,0.016294134075194082,0.9928683404671322,False,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\dkan\polynomial_3\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\dkan\polynomial_3\formula.va
I_dark,mlp_l,teacher_distillation,additive_spline,4,1e-08,31,7114,1.2716000007155042e-07,1.0,1.0,1.0,0.005593053317393939,0.9991303882177465,0.017093576607409827,0.992151368918371,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\mlp_l\additive_spline_4\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\mlp_l\additive_spline_4\formula.va
I_dark,mlp_l,teacher_distillation,additive_spline,6,1e-08,43,8390,1.283766682414959e-07,1.0,1.0,1.0,0.005615032299935279,0.9991235401740886,0.01709627173948348,0.9921488937470894,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\mlp_l\additive_spline_6\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\mlp_l\additive_spline_6\formula.va
I_dark,mlp_l,teacher_distillation,additive_spline,8,1e-08,55,9578,1.409700004539142e-07,1.0,1.0,1.0,0.00562411697272217,0.9991207017961322,0.017105755044763787,0.9921401813110138,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\mlp_l\additive_spline_8\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\mlp_l\additive_spline_8\formula.va
I_dark,mlp_l,teacher_distillation,polynomial,1,0.01,7,817,1.5244333383937678e-07,1.0,1.0,1.0,0.043428311198201626,0.9475707821331527,0.04826427617561689,0.937428059248891,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\mlp_l\polynomial_1\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\mlp_l\polynomial_1\formula.va
I_dark,mlp_l,teacher_distillation,polynomial,2,1e-08,28,1582,1.0013033344876022e-06,1.0,1.0,1.0,0.0070801787766366486,0.9986064712139717,0.021564493655493445,0.9875087310032722,False,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\mlp_l\polynomial_2\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\mlp_l\polynomial_2\formula.va
I_dark,mlp_l,teacher_distillation,polynomial,3,0.01,84,3657,3.001033334294334e-06,1.0,1.0,1.0,0.002303315563402303,0.9998525195748936,0.01652715810205506,0.9926629007498092,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\mlp_l\polynomial_3\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\mlp_l\polynomial_3\formula.va
I_dark,tcad_direct,direct_tcad,additive_spline,4,1e-08,31,7126,1.250833331141621e-07,1.0,1.0,1.0,,,0.006302647557781055,0.9989329762775085,True,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\tcad_direct\additive_spline_4\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\tcad_direct\additive_spline_4\formula.va
I_dark,tcad_direct,direct_tcad,additive_spline,6,1e-08,43,8424,1.2836999958381058e-07,1.0,1.0,1.0,,,0.004991154087661964,0.9993308399792968,True,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\tcad_direct\additive_spline_6\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\tcad_direct\additive_spline_6\formula.va
I_dark,tcad_direct,direct_tcad,additive_spline,8,1e-08,55,9563,1.3195999975626666e-07,1.0,1.0,1.0,,,0.004951775566657679,0.9993413572196258,True,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\tcad_direct\additive_spline_8\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\tcad_direct\additive_spline_8\formula.va
I_dark,tcad_direct,direct_tcad,polynomial,1,0.01,7,815,1.4693333262888093e-07,1.0,1.0,1.0,,,0.048219268605620695,0.9375447044421802,True,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\tcad_direct\polynomial_1\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\tcad_direct\polynomial_1\formula.va
I_dark,tcad_direct,direct_tcad,polynomial,2,1e-08,28,1587,9.093833330553025e-07,1.0,1.0,1.0,,,0.021156788169349485,0.9879765941753035,True,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\tcad_direct\polynomial_2\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\tcad_direct\polynomial_2\formula.va
I_dark,tcad_direct,direct_tcad,polynomial,3,1e-08,84,3648,3.047026666657378e-06,1.0,1.0,1.0,,,0.011313428351957111,0.9965619159293168,False,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\tcad_direct\polynomial_3\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_51\I_dark\exports\I_dark\tcad_direct\polynomial_3\formula.va
