task,seed,teacher,teacher_to_tcad_rmse,teacher_to_tcad_r2,teacher_to_tcad_p95_abs_error,teacher_to_tcad_max_abs_error,checkpoint,checkpoint_sha256,scaler_mean_max_relative_delta,parameter_count,train_time_s,frozen_test_prediction,replay_status,replay_max_abs_error,replay_rmse,replay_tolerance,test_rows,checkpoint_output_scale_applied,frozen_scale_applied
I_dark,42,bkan_parameter_mean,0.003884817889866,0.9994876835181352,0.0071711687338944,0.0155984276209872,<REPO_ROOT>/artifacts\results\uq_repeated_grouped\seed_42\I-dark-bayes-results\model_checkpoint.pt,92b9539bac1c9113db05a359aa2a4a85e64aeea8b392445ce629d1b68e5a73f9,4.8422529924905765e-09,1310,,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_42\I_dark\bkan\test_predictions.csv,reference_difference_only,0.0013904372741695,0.0004578294561606,7.173024000000001e-05,240,,
I_dark,42,dkan,0.0147047523049969,0.9926597234144448,0.0299070700829135,0.1310871817471621,,,,1310,2.9929223000071943,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_42\I_dark\dkan\test_predictions.csv,pass,4.76837158203125e-07,1.6858739403310885e-07,7.031333923339844e-05,240,,
I_dark,42,mlp_l,0.016542053204955,0.990710853237092,0.0428993690834788,0.0516718603970645,,,,2561,0.3280945000005886,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_42\I_dark\mlp_l\test_predictions.csv,pass,8.881784197001252e-16,1.719950113979703e-16,7.110749244689942e-05,240,,
I_photo,42,bkan_parameter_mean,0.0029116561071995,0.9832816555500709,0.0063696003534179,0.0069056911368599,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\uq_repeated_grouped\seed_42\I-photo-bayes-results\model_checkpoint.pt,c09cfec11642057fc293c6a821613e7501cf9a0418cb4e810f8c9969dbbb33e7,5.654193302366264e-09,1310,,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\matched_grouped_comparison\predictions\seed_42\I_photo\bkan\test_predictions.csv,reference_difference_only,0.0004706299652097,0.0001816325322592,3.3643968000000004e-05,256,,
I_photo,42,dkan,0.003305214823929,0.9784566868933008,0.0067676791684951,0.0080283487745931,,,,1310,2.7179039999609813,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\matched_grouped_comparison\predictions\seed_42\I_photo\dkan\test_predictions.csv,pass,2.384185791015625e-07,3.650024148855741e-08,3.36276650428772e-05,256,,
I_photo,42,mlp_l,0.0036442504421871,0.9738103593219422,0.0072692175988186,0.0101701854795006,,,,2561,0.3360267999814823,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\matched_grouped_comparison\predictions\seed_42\I_photo\mlp_l\test_predictions.csv,pass,4.440892098500626e-16,1.642041997679149e-16,3.36051630973816e-05,256,,
AC_Response,42,bkan_parameter_mean,0.0538857753515995,0.9995079547316597,0.116341173203047,0.4058555719132206,<REPO_ROOT>/artifacts\results\uq_repeated_grouped\seed_42\AC-response-bayes-results\model_checkpoint.pt,92ba29cf2f970bc5bee187e0600690fbddd2c570e48e5bbeafc1d88f68910c55,6.706719078147722e-09,809,,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_42\AC_Response\bkan\test_predictions.csv,reference_difference_only,0.0230247676956176,0.0041607097815478,6.910713000000001e-05,448,,
AC_Response,42,dkan,0.2671846739418396,0.987902938931168,0.6140378263034839,1.7741955793435338,,,,809,2.423226999992039,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_42\AC_Response\dkan\test_predictions.csv,pass,9.5367431640625e-07,2.49534870016034e-07,6.866074562072755e-05,448,,
AC_Response,42,mlp_l,0.1669358187645417,0.9952776752423594,0.3416382781666872,0.5541902160303707,,,,2369,0.366626700037159,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_42\AC_Response\mlp_l\test_predictions.csv,pass,8.881784197001252e-16,1.3919650379048026e-16,6.92994785308838e-05,448,,
Capacitance,42,bkan_parameter_mean,2.0378514911058202e-16,0.99642688556325,4.983680503694879e-16,1.549148671244173e-15,<REPO_ROOT>/artifacts\results\uq_repeated_grouped_capacitance\seed_42\Capacitance-bayes-results\model_checkpoint.pt,1c1caf6ea90cb52626c33e3cf4ba99258d094fbd839212527294d38baa2a69bd,7.191455198036994e-09,1477,,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_42\Capacitance\bkan\test_predictions.csv,reference_difference_only,3.4200197400484415e-17,3.755753463176158e-18,4.14086e-19,6400,1000.0,1000.0
Capacitance,42,dkan,4.613624772386557e-16,0.981685865335758,1.24906030708525e-15,2.1148330184715985e-15,,,,1477,3.423529400024563,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_42\Capacitance\dkan\test_predictions.csv,pass,7.755645423297186e-21,2.50733557887506e-21,4.1221434095836863e-19,6400,,1000.0
Capacitance,42,mlp_l,5.131580438950923e-16,0.9773429092284788,1.1129161332611313e-15,1.8552464828537723e-15,,,,2625,3.266678799991496,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_42\Capacitance\mlp_l\test_predictions.csv,pass,5.664532841074021e-21,2.260359106007959e-21,4.0318262054769814e-19,6400,,1000.0
I_dark,43,bkan_parameter_mean,0.0331475503471392,0.9774344002914211,0.1220769809479682,0.1839573348438126,<REPO_ROOT>/artifacts\results\uq_repeated_grouped\seed_43\I-dark-bayes-results\model_checkpoint.pt,ac0ac151229ff05e917d05d077a4ad7005ee4c1c7d24aba5048171be3e41ec35,4.5807694959009296e-09,1310,,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_43\I_dark\bkan\test_predictions.csv,reference_difference_only,0.0029126580200191,0.0007320063325062,7.131698000000001e-05,240,,
I_dark,43,dkan,0.0411734377705754,0.965184049051639,0.1438531487135259,0.2579233611499649,,,,1310,2.639464500010945,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_43\I_dark\dkan\test_predictions.csv,pass,4.76837158203125e-07,1.1516711510173033e-07,7.060098171234131e-05,240,,
I_dark,43,mlp_l,0.0157913520976967,0.9948786714731658,0.032647974579754,0.0624158347522598,,,,2561,0.3202521000057459,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_43\I_dark\mlp_l\test_predictions.csv,pass,8.881784197001252e-16,1.2819751242557092e-16,7.255606174468994e-05,240,,
I_photo,43,bkan_parameter_mean,0.006026764843612,0.934390882716887,0.0131907969120487,0.0145761182067292,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\uq_repeated_grouped\seed_43\I-photo-bayes-results\model_checkpoint.pt,a78e4b4d73eef9af5a6c42ed8410026b50eb2227d68e47a445ebe7644136e767,5.866647851108364e-09,1310,,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\matched_grouped_comparison\predictions\seed_43\I_photo\bkan\test_predictions.csv,reference_difference_only,0.0004219789398192,0.0001562437033994,3.360557e-05,256,,
I_photo,43,dkan,0.0065233568602872,0.9231333459728932,0.0121270635515203,0.0168317963836091,,,,1310,2.751893000036944,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\matched_grouped_comparison\predictions\seed_43\I_photo\dkan\test_predictions.csv,pass,2.384185791015625e-07,2.5809568279517847e-08,3.3601169586181644e-05,256,,
I_photo,43,mlp_l,0.0058309549665998,0.9385849122180115,0.0107175685186885,0.014711778378238,,,,2561,0.3264780999743379,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\matched_grouped_comparison\predictions\seed_43\I_photo\mlp_l\test_predictions.csv,pass,4.440892098500626e-16,1.5700924586837752e-16,3.3565423488616944e-05,256,,
AC_Response,43,bkan_parameter_mean,0.0572204485614814,0.9994480567357736,0.1543725666799402,0.3000687612576387,<REPO_ROOT>/artifacts\results\uq_repeated_grouped\seed_43\AC-response-bayes-results\model_checkpoint.pt,00c68c25e61f53984dde72b257af36603410e8ea0898f0965e9d061fd5d6c597,5.812431418669051e-09,809,,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_43\AC_Response\bkan\test_predictions.csv,reference_difference_only,0.0332341653564451,0.0079698421658779,6.876385000000001e-05,448,,
AC_Response,43,dkan,0.0940649253679645,0.9985084172497616,0.2296655366037786,0.4230925175661018,,,,809,2.457694199983962,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_43\AC_Response\dkan\test_predictions.csv,pass,9.5367431640625e-07,2.278047326874825e-07,6.860983848571778e-05,448,,
AC_Response,43,mlp_l,0.1754457117385356,0.9948110744812412,0.3485884299997941,0.4451727488047501,,,,2369,0.3782787999953143,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_43\AC_Response\mlp_l\test_predictions.csv,pass,8.881784197001252e-16,1.0519510339884147e-16,6.876957893371583e-05,448,,
Capacitance,43,bkan_parameter_mean,5.75705530015422e-17,0.9996930748061988,1.2907592606907348e-16,6.1172763941921685e-16,<REPO_ROOT>/artifacts\results\uq_repeated_grouped_capacitance\seed_43\Capacitance-bayes-results\model_checkpoint.pt,9999dab7f86001ddcd44abfa7e358a0286e7951e5e3acc93a73db0697bf1f0ed,5.9490168700115434e-09,1477,,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_43\Capacitance\bkan\test_predictions.csv,reference_difference_only,1.1555705654924983e-16,9.925264872483253e-18,4.211273000000001e-19,6400,1000.0,1000.0
Capacitance,43,dkan,1.7477109845091564e-16,0.9971714037056332,3.3947021472788167e-16,1.365179490723764e-15,,,,1477,3.0777700999751687,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_43\Capacitance\dkan\test_predictions.csv,pass,4.5528020914918636e-21,1.3138499506950448e-21,4.1762059491866826e-19,6400,,1000.0
Capacitance,43,mlp_l,4.2462351343994837e-16,0.9833029473975324,9.677085753132233e-16,1.916169842474803e-15,,,,2625,3.215123899979517,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_43\Capacitance\mlp_l\test_predictions.csv,pass,4.9763185588081265e-21,1.3048633608000573e-21,4.1242186403044603e-19,6400,,1000.0
I_dark,44,bkan_parameter_mean,0.00310864002065,0.9996436094101,0.0060961482973233,0.009723728671994,<REPO_ROOT>/artifacts\results\uq_repeated_grouped\seed_44\I-dark-bayes-results\model_checkpoint.pt,30748bde02033c333d3061464203368cf6c5bcb48084c6946362ecb5e56354ac,4.800487608364864e-09,1310,,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_44\I_dark\bkan\test_predictions.csv,reference_difference_only,0.0016545771240235,0.0005346907053266,7.013303800000001e-05,240,,
I_dark,44,dkan,0.0210633043027619,0.9836379255299144,0.0379962650088483,0.0646234512449481,,,,1310,2.6684230999671854,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_44\I_dark\dkan\test_predictions.csv,pass,4.768371590913034e-07,1.5993604500203485e-07,7.000944137573243e-05,240,,
I_dark,44,mlp_l,0.0155620855547915,0.9910685708394164,0.0400607159176944,0.0495830756729747,,,,2561,0.3239340999862179,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_44\I_dark\mlp_l\test_predictions.csv,pass,8.881784197001252e-16,1.2819751242557092e-16,6.967540264129639e-05,240,,
I_photo,44,bkan_parameter_mean,0.0042397337579325,0.9647298536137284,0.0077733991827785,0.0082654338887828,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\uq_repeated_grouped\seed_44\I-photo-bayes-results\model_checkpoint.pt,13df9c21486e66448779dfec024c24853607f8f509b42a56592bc212dbd78208,6.655391641862833e-09,1310,,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\matched_grouped_comparison\predictions\seed_44\I_photo\bkan\test_predictions.csv,reference_difference_only,0.0008757109130859,0.0002677466162173,3.3634336e-05,256,,
I_photo,44,dkan,0.0046041255040052,0.958406602257887,0.008154801337711,0.0096638337598546,,,,1310,2.743471199995838,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\matched_grouped_comparison\predictions\seed_44\I_photo\dkan\test_predictions.csv,pass,2.384185791015625e-07,6.495265576628914e-08,3.364340782165528e-05,256,,
I_photo,44,mlp_l,0.0045985377443721,0.9585074999745437,0.0077454630896759,0.0115476277950703,,,,2561,0.318622899998445,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\matched_grouped_comparison\predictions\seed_44\I_photo\mlp_l\test_predictions.csv,pass,4.440892098500626e-16,1.902826396560654e-16,3.362893342971802e-05,256,,
AC_Response,44,bkan_parameter_mean,0.0946248324157153,0.9984881754743126,0.2115776302438555,0.6011941592025902,<REPO_ROOT>/artifacts\results\uq_repeated_grouped\seed_44\AC-response-bayes-results\model_checkpoint.pt,559392190376f3d17ff2d71ac8c3541e5ee58b637f47da01090b2441b8b7e9f9,5.812431418669051e-09,809,,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_44\AC_Response\bkan\test_predictions.csv,reference_difference_only,0.0237506612777709,0.0063262965617065,6.9352236e-05,448,,
