task,teacher,splits,mean_teacher_to_tcad_rmse,sd_teacher_to_tcad_rmse,max_replay_abs_error,replay_statuses
AC_Response,bkan_parameter_mean,10,0.0647136393937369,0.019734281227635583,0.0392917613479615,reference_difference_only
AC_Response,dkan,10,0.15749489673672865,0.08874703172966086,7.033348083496094e-05,mismatch_allowed;pass
AC_Response,mlp_l,10,0.1747012327836631,0.005319997520506115,8.881784197001252e-16,pass
Capacitance,bkan_parameter_mean,10,6.842910223779131e-17,4.8467962797895324e-17,1.1555705654924983e-16,reference_difference_only
Capacitance,dkan,10,2.2122042613249162e-16,9.548049658979185e-17,7.755645423297186e-21,pass
Capacitance,mlp_l,10,4.439217417007138e-16,3.0390288176499524e-17,5.823351512373315e-21,pass
I_dark,bkan_parameter_mean,10,0.007572969466840149,0.009275390795618121,0.0127582994506836,reference_difference_only
I_dark,dkan,10,0.019848734243912373,0.008249508074392103,9.5367431640625e-07,pass
I_dark,mlp_l,10,0.01612389115256577,0.0009113136710306134,8.881784197001252e-16,pass
I_photo,bkan_parameter_mean,10,0.00503611145926643,0.0011663833163033594,0.0033681845855713,reference_difference_only
I_photo,dkan,10,0.005355386406763781,0.001351819817094214,2.384185795456517e-07,pass
I_photo,mlp_l,10,0.00467396672536168,0.0006742007841752166,4.440892098500626e-16,pass
