task,seed,model,rmse_target,mae_target,r2_target,rmse_raw,mae_raw,medape_percent,p95ape_percent,reused,wall_time_s,train_groups,validation_groups,calibration_groups,test_groups,param_count,train_time_s
I_photo,42,bkan,0.002902409590052973,0.0023589242368474792,0.9833876715036051,3.320588439931064e-06,2.702819507747879e-06,0.5156392431901664,1.4976116858584445,True,0.008195500005967915,104,16,24,16,,
I_photo,42,dkan,0.0033052170158853894,0.0025826748553015554,0.9784566583190512,3.803889397407842e-06,2.963376033316648e-06,0.43128630565396486,1.5705603083726656,,4.719866400002502,104,16,24,16,952.0,4.366010900004767
I_photo,42,mlp_l,0.003644250442187113,0.002808378980368755,0.9738103593219422,4.1338807851591156e-06,3.1951164570143343e-06,0.5148687437791084,1.6598646252166815,,0.4958424000069499,104,16,24,16,2561.0,0.4845287999487482
I_photo,42,poly3_ridge,0.007258828722403627,0.005258004410727926,0.8960926646584342,8.147294113677764e-06,5.954344170773877e-06,0.9370886690562018,4.664812395923413,,0.017861500033177435,104,16,24,16,84.0,
I_photo,42,spline_ridge,0.003868262702147838,0.003350923302173965,0.9704916429179871,4.433373553771084e-06,3.836520499089891e-06,0.7468781015720478,1.6177731047404114,,0.011199300002772361,104,16,24,16,43.0,
I_photo,43,bkan,0.006033600094745085,0.004967012124117756,0.9342419772552549,6.8682992378165055e-06,5.6745730421416215e-06,1.2137037539328346,3.0986534784535777,True,0.00809110002592206,104,16,24,16,,
I_photo,43,dkan,0.006523358954836586,0.0052826349104900285,0.9231332966114892,7.427655686146575e-06,6.035016525734961e-06,1.1334535990663834,2.8317077039102045,,3.769859299995005,104,16,24,16,952.0,3.7511907999869436
I_photo,43,mlp_l,0.005830954966599879,0.005097142775421788,0.9385849122180115,6.671971627616908e-06,5.846327352216877e-06,1.1154756468069928,2.4985153777871343,,0.45783199998550117,104,16,24,16,2561.0,0.44927979999920353
I_photo,43,poly3_ridge,0.013314543544769505,0.009396228811158126,0.6797801372717271,1.505757096832507e-05,1.0683303278758663e-05,1.4669703975943602,8.660608892556855,,0.009535500023048371,104,16,24,16,84.0,
I_photo,43,spline_ridge,0.00636798103823028,0.005268559602805072,0.9267514173778628,7.268657087349905e-06,6.020020087437002e-06,1.3621609105391548,2.6905341417932633,,0.009495900012552738,104,16,24,16,43.0,
I_photo,44,bkan,0.004205485519076168,0.003381553011808659,0.9652973711242278,4.8073173966681605e-06,3.8666926426294835e-06,0.6580716729655839,1.7525233452455826,True,0.007548500027041882,104,16,24,16,,
I_photo,44,dkan,0.004604133533232868,0.003630012706803437,0.9584064571866243,5.2492136762386716e-06,4.149466750683724e-06,0.7089250948688146,1.8790256723849137,,3.691274999990128,104,16,24,16,952.0,3.6724496000097133
I_photo,44,mlp_l,0.004598537744372132,0.0038821007889426884,0.9585074999745435,5.2297002697527905e-06,4.428862936122155e-06,0.8254641191716404,1.7803067627260878,,0.47677559999283403,104,16,24,16,2561.0,0.4684339999803342
I_photo,44,poly3_ridge,0.008310611549764696,0.00688300432950089,0.8644822887105825,9.444288497945993e-06,7.825474860491195e-06,1.4441392728701559,3.438770149391553,,0.009860399994067848,104,16,24,16,84.0,
I_photo,44,spline_ridge,0.005049225968031714,0.004521024757223734,0.9499758513523154,5.759130081030886e-06,5.164689270539187e-06,1.0798080406310557,1.7889439174147739,,0.010105800000019372,104,16,24,16,43.0,
I_photo,45,bkan,0.005685786623084791,0.00455042529079153,0.9379137370069373,6.46961175916317e-06,5.175973825165195e-06,0.8607624625651662,2.9656224357403245,True,0.007473900041077286,104,16,24,16,,
I_photo,45,dkan,0.005300536250847437,0.004098086822035715,0.946042226162153,6.039659877417237e-06,4.6705459786812755e-06,0.867605487634788,2.5348115939613876,,2.6396790000144392,104,16,24,16,952.0,2.6243384999688715
I_photo,45,mlp_l,0.005074862526581137,0.004079123131999415,0.950538991236912,5.7751826493224725e-06,4.645305687990819e-06,0.8285294890623145,2.5043893151490138,,0.32984070002567023,104,16,24,16,2561.0,0.32350090000545606
I_photo,45,poly3_ridge,0.0047962269587160326,0.0038761291618614104,0.9558212059157224,5.495173331838917e-06,4.428567392038633e-06,0.7640890807333858,2.5693945240558884,,0.008604099974036217,104,16,24,16,84.0,
I_photo,45,spline_ridge,0.005386980400279825,0.004165182413787173,0.9442679271319027,6.160319944054563e-06,4.752741311832475e-06,0.7447529924058025,2.7882605941209455,,0.007272700022440404,104,16,24,16,43.0,
I_photo,46,bkan,0.006585839903234174,0.00545182147409394,0.9158338213066922,7.5063199922896346e-06,6.220092308813996e-06,1.1994638211675304,3.1554317662077915,True,0.0056856999872252345,104,16,24,16,,
I_photo,46,dkan,0.007869108265480311,0.006654042671359921,0.8798382312113854,8.958196553873019e-06,7.591908651620512e-06,1.3423299797438153,3.5139154510443227,,3.7652679000166245,104,16,24,16,952.0,3.751014400040731
