seed,task,model,mae_log,rmse_log,mae_linear,mae_model_space,rmse_model_space,r2_model_space,picp_95,mpiw_log,mean_std_log,raw_picp_95,calibrated_picp_95,raw_mpiw_log,calibrated_mpiw_log,standard_conformal_picp_95,no_shrink_conformal_picp_95,standard_conformal_mpiw_log,no_shrink_conformal_mpiw_log,raw_gaussian_nll_model_space,standard_conformal_gaussian_nll_model_space,no_shrink_conformal_gaussian_nll_model_space,calibrated_gaussian_nll_model_space,raw_interval_score_95,standard_conformal_interval_score_95,no_shrink_conformal_interval_score_95,calibrated_interval_score_95,raw_curve_coverage_95,standard_conformal_curve_coverage_95,no_shrink_conformal_curve_coverage_95,calibrated_curve_coverage_95,raw_group_coverage_95,standard_conformal_group_coverage_95,no_shrink_conformal_group_coverage_95,calibrated_group_coverage_95,raw_device_coverage_95,standard_conformal_device_coverage_95,no_shrink_conformal_device_coverage_95,calibrated_device_coverage_95,raw_subcurve_coverage_95,standard_conformal_subcurve_coverage_95,no_shrink_conformal_subcurve_coverage_95,calibrated_subcurve_coverage_95,test_group_count,test_device_count,test_subcurve_count,test_point_count,mpiw_model_space,mean_std_model_space,calibration_z,calibration_raw_quantile,raw_z,standard_conformal_z,no_shrink_conformal_z,calibration_std_scale_vs_normal,calibration_unit,calibration_score_count,calibration_group_columns,calibration_sigma_floor_standardized,calibration_sigma_floor_model_space,derivative_mae_model_space,derivative_rmse_model_space,inference_method,comparison_eligible,comparison_status,hmc_acceptance_rate,train_curve_count,validation_curve_count,calibration_curve_count,test_curve_count,train_samples,validation_samples,calibration_samples,test_samples,train_fraction,validation_fraction,calibration_fraction,test_fraction,split_seed,run_label,raw_curve_coverage_95_wilson_low,raw_curve_coverage_95_wilson_high,standard_conformal_curve_coverage_95_wilson_low,standard_conformal_curve_coverage_95_wilson_high,no_shrink_conformal_curve_coverage_95_wilson_low,no_shrink_conformal_curve_coverage_95_wilson_high,calibrated_curve_coverage_95_wilson_low,calibrated_curve_coverage_95_wilson_high,raw_group_coverage_95_wilson_low,raw_group_coverage_95_wilson_high,standard_conformal_group_coverage_95_wilson_low,standard_conformal_group_coverage_95_wilson_high,no_shrink_conformal_group_coverage_95_wilson_low,no_shrink_conformal_group_coverage_95_wilson_high,calibrated_group_coverage_95_wilson_low,calibrated_group_coverage_95_wilson_high,raw_device_coverage_95_wilson_low,raw_device_coverage_95_wilson_high,standard_conformal_device_coverage_95_wilson_low,standard_conformal_device_coverage_95_wilson_high,no_shrink_conformal_device_coverage_95_wilson_low,no_shrink_conformal_device_coverage_95_wilson_high,calibrated_device_coverage_95_wilson_low,calibrated_device_coverage_95_wilson_high,raw_gaussian_nll_task_space,raw_gaussian_crps_task_space,task_key,likelihood,architecture,budget_multiplier,epochs_completed_mean,optimizer_updates_total,source_maximum_epochs,source_realized_epochs,source_batch_size,source_learning_rate,source_train_mc_samples,source_validation_mc_samples,source_early_stopping_patience,matching_rule,frozen_source,raw_group_calibration_error_pp,no_shrink_group_calibration_error_pp,dropout_rate,ensemble_size,mc_samples,per_member_parameter_count,total_parameter_count,training_time_s,per_member_optimizer_updates,source_bkan_optimizer_updates,total_optimizer_update_ratio_vs_bkan
42,I_photo,bkan_vi_frozen,0.0023589222666993,0.0029024086229802,2.70301705472912e-06,0.0023589222666993,0.0029024086229802,0.9833876825739424,100.0,0.0398496732267321,0.0063774757188358,100.0,100.0,0.0249997048178366,0.0398496732267321,100.0,100.0,0.0398496732267321,0.0398496732267321,-0.2788955718979931,0.128658500544303,0.128658500544303,0.128658500544303,0.02499970481783651,0.0398496732267321,0.03984967322673218,0.0398496732267321,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,16.0,16.0,0.0,256.0,0.0398496732267321,0.0063774757188358,3.1242512699057494,3.1242512699057494,1.96,3.1242512699057494,3.1242512699057494,1.594005749951913,curve,24.0,_curve_id,0.0277930364012718,0.0006367022860245,0.0018906560575381,0.0039443105227602,vi,True,eligible,,104.0,16.0,24.0,16.0,1664,256,384,256,0.65,0.1,0.15,0.1,42.0,net_photocurrent_confirmatory,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,-4.055134095470198,0.001973363765107052,photo_current,heteroscedastic_gaussian_softplus_variance,bkan_width8_grid8_order3,1.0,160.0,8320,300,160,32,0.001,3,20,7,frozen_bkan_realized_epoch_and_update_horizon,artifacts\results\net_photocurrent_retrain\uq_repeated_grouped,5.0,5.0,,,,,,,,,
42,I_photo,mc_dropout_mlp,0.002751466213178601,0.0037490911503193594,3.0971640018456564e-06,0.002751466213178601,0.0037490911503193594,0.9722817946163164,100.0,0.07568986713886261,0.01930863782763481,100.0,100.0,0.07568986713886261,0.07568986713886261,100.0,100.0,0.0466814786195755,0.07568986713886261,0.7665823553904154,0.3136657949608164,0.7665823553904154,0.7665823553904154,0.07568986755737545,0.04668148048222065,0.07568986601562498,0.07568986713886261,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,16.0,16.0,0.0,256.0,0.07568986713886261,0.01930863782763481,1.96,1.2088235701901884,1.96,1.2088235701901884,1.96,1.0,curve,24.0,_curve_id,0.08399372128419891,0.0019241866655647756,,,,,,,,,,,1664,256,384,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0096563193265675,0.004798209508768019,photo_current,heteroscedastic_gaussian_softplus_variance,mlp_64-32,1.0,160.0,8320,300,160,32,0.001,3,20,7,frozen_bkan_realized_epoch_and_update_horizon,,5.0,5.0,0.05,1.0,500.0,2594.0,2594.0,20.538195100030862,8320.0,8320.0,1.0
43,I_photo,bkan_vi_frozen,0.0049670138748611,0.0060336017361731,5.673781346734487e-06,0.0049670138748611,0.0060336017361731,0.934241941476589,100.0,0.0396553332595272,0.0080183174981435,100.0,100.0,0.0314318045927227,0.0396553332595272,100.0,100.0,0.0396553332595272,0.0396553332595272,0.1354381347721319,0.2699148224543103,0.2699148224543103,0.2699148224543103,0.03143180459272257,0.0396553332595272,0.03965533325952725,0.0396553332595272,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,16.0,16.0,0.0,256.0,0.0396553332595272,0.0080183174981435,2.472796398291066,2.472796398291066,1.96,2.472796398291066,2.472796398291066,1.2616308154546256,curve,24.0,_curve_id,0.0366355463862419,0.0008306039379213,0.0021983995699856,0.0045577390154732,vi,True,eligible,,104.0,16.0,24.0,16.0,1664,256,384,256,0.65,0.1,0.15,0.1,43.0,net_photocurrent_confirmatory,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,-3.6511832286740065,0.003467078647126768,photo_current,heteroscedastic_gaussian_softplus_variance,bkan_width8_grid8_order3,1.0,140.0,7280,300,140,32,0.001,3,20,7,frozen_bkan_realized_epoch_and_update_horizon,artifacts\results\net_photocurrent_retrain\uq_repeated_grouped,5.0,5.0,,,,,,,,,
43,I_photo,mc_dropout_mlp,0.005556030124013508,0.006609210414326364,6.358270498453304e-06,0.005556030124013508,0.006609210414326364,0.9210967559365717,100.0,0.07482628524303436,0.01908833533525467,100.0,100.0,0.07482628524303436,0.07482628524303436,98.828125,100.0,0.032822705805301666,0.07482628524303436,0.8067812020415204,0.2343146062974232,0.8067812020415204,0.8067812020415204,0.07482626972254347,0.033382453520396316,0.07482628281249999,0.07482628151774406,100.0,93.75,100.0,100.0,100.0,93.75,100.0,100.0,100.0,93.75,100.0,100.0,,,,,16.0,16.0,0.0,256.0,0.07482628524303436,0.01908833533525467,1.96,0.8597584602177091,1.96,0.8597584602177091,1.96,1.0,curve,24.0,_curve_id,0.08397840974007752,0.0019039650447666646,,,,,,,,,,,1664,256,384,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.979839872440873,0.005350132679636051,photo_current,heteroscedastic_gaussian_softplus_variance,mlp_64-32,1.0,140.0,7280,300,140,32,0.001,3,20,7,frozen_bkan_realized_epoch_and_update_horizon,,5.0,5.0,0.05,1.0,500.0,2594.0,2594.0,13.473510899988469,7280.0,7280.0,1.0
44,I_photo,bkan_vi_frozen,0.0033815532924511,0.0042054872343335,3.867756877951067e-06,0.0033815532924511,0.0042054872343335,0.9652973428164612,100.0,0.0510153291667221,0.0130141145833474,100.0,100.0,0.0510153291667221,0.0510153291667221,100.0,100.0,0.0413318364538,0.0510153291667221,0.4011558998806177,0.2196490853577755,0.4011558998806177,0.4011558998806177,0.05101532916672193,0.0413318364538,0.051015329166722134,0.0510153291667221,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,16.0,16.0,0.0,256.0,0.0510153291667221,0.0130141145833474,1.96,1.5879619081688106,1.96,1.5879619081688106,1.96,1.0,curve,24.0,_curve_id,0.0598868489265441,0.0013705653795691,0.0025163197198886,0.0054972054504195,vi,True,eligible,,104.0,16.0,24.0,16.0,1664,256,384,256,0.65,0.1,0.15,0.1,44.0,net_photocurrent_confirmatory,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,-3.376077742418235,0.0035833379950635643,photo_current,heteroscedastic_gaussian_softplus_variance,bkan_width8_grid8_order3,1.0,130.0,6760,300,130,32,0.001,3,20,7,frozen_bkan_realized_epoch_and_update_horizon,artifacts\results\net_photocurrent_retrain\uq_repeated_grouped,5.0,5.0,,,,,,,,,
44,I_photo,mc_dropout_mlp,0.004526007497537583,0.005504617520871162,5.150688566954497e-06,0.004526007497537583,0.005504617520871162,0.9405455469442432,100.0,0.07554536312818527,0.01927177608013153,100.0,100.0,0.07554536312818527,0.07554536312818527,100.0,100.0,0.03534715622663498,0.07554536312818527,0.7877650434554127,0.17360224169125077,0.7877650434554127,0.7877650434554127,0.07554535809846104,0.03534715436398983,0.07554536718749999,0.07554536312818527,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,16.0,16.0,0.0,256.0,0.07554536312818527,0.01927177608013153,1.96,0.9170705946543869,1.96,0.9170705946543869,1.96,1.0,curve,24.0,_curve_id,0.08394641704138896,0.00192119050770998,,,,,,,,,,,1664,256,384,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.9894685941841157,0.005120875146432578,photo_current,heteroscedastic_gaussian_softplus_variance,mlp_64-32,1.0,130.0,6760,300,130,32,0.001,3,20,7,frozen_bkan_realized_epoch_and_update_horizon,,5.0,5.0,0.05,1.0,500.0,2594.0,2594.0,14.33400089998031,6760.0,6760.0,1.0
45,I_photo,bkan_vi_frozen,0.0045504266300006,0.0056857860904887,5.174807615774229e-06,0.0045504266300006,0.0056857860904887,0.937913748638361,94.53125,0.0228788962667079,0.0058364531292622,94.53125,94.53125,0.0228788962667079,0.0228788962667079,94.140625,94.53125,0.0214789102614444,0.0228788962667079,0.0201734100508792,0.020700952272256,0.0201734100508792,0.0201734100508792,0.02642664054260545,0.0266656669803896,0.026426618431189666,0.0264266184311897,93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.75,,,,,16.0,16.0,0.0,256.0,0.0228788962667079,0.0058364531292622,1.96,1.840065343260931,1.96,1.840065343260931,1.96,1.0,curve,24.0,_curve_id,0.0248612448573112,0.000566390765978,0.0032675779309332,0.0136190756983706,vi,True,eligible,,104.0,16.0,24.0,16.0,1664,256,384,256,0.65,0.1,0.15,0.1,45.0,net_photocurrent_confirmatory,71.67126242970106,98.88806552353576,71.67126242970106,98.88806552353576,71.67126242970106,98.88806552353576,71.67126242970106,98.88806552353576,71.67126242970106,98.88806552353576,71.67126242970106,98.88806552353576,71.67126242970106,98.88806552353576,71.67126242970106,98.88806552353576,71.67126242970106,98.88806552353576,71.67126242970106,98.88806552353576,71.67126242970106,98.88806552353576,71.67126242970106,98.88806552353576,-3.761607735300684,0.0032035597893369894,photo_current,heteroscedastic_gaussian_softplus_variance,bkan_width8_grid8_order3,1.0,200.0,10400,300,200,32,0.001,3,20,7,frozen_bkan_realized_epoch_and_update_horizon,artifacts\results\net_photocurrent_retrain\uq_repeated_grouped,1.25,1.25,,,,,,,,,
45,I_photo,mc_dropout_mlp,0.004070292811475355,0.004942125532612726,4.663310025068012e-06,0.004070292811475355,0.004942125532612726,0.9530925363779575,100.0,0.03072190470993519,0.004566367715597153,90.625,100.0,0.017900168895721436,0.03072190470993519,100.0,100.0,0.03072190470993519,0.03072190470993519,-0.07274135634042225,0.05022970389375203,0.05022970389375203,0.05022970389375203,0.023030033109541753,0.03072190470993519,0.030721904687499985,0.03072190470993519,75.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,,,,,16.0,16.0,0.0,256.0,0.03072190470993519,0.004566367715597153,3.3639322899397124,3.3639322899397124,1.96,3.3639322899397124,3.3639322899397124,1.7162919846631186,curve,24.0,_curve_id,0.019842395483407188,0.0004520509159192443,,,,,,,,,,,1664,256,384,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.854522998554738,0.0028563553382147367,photo_current,heteroscedastic_gaussian_softplus_variance,mlp_64-32,1.0,200.0,10400,300,200,32,0.001,3,20,7,frozen_bkan_realized_epoch_and_update_horizon,,20.0,5.0,0.05,1.0,500.0,2594.0,2594.0,21.459632400015835,10400.0,10400.0,1.0
46,I_photo,bkan_vi_frozen,0.0054518236679621,0.0065858395875765,6.220348273160911e-06,0.0054518236679621,0.0065858395875765,0.9158338293748196,100.0,0.033429877758341,0.00459791706461,85.546875,100.0,0.0180238348932715,0.033429877758341,100.0,100.0,0.033429877758341,0.033429877758341,0.3861448180955292,0.2315153816125973,0.2315153816125973,0.2315153816125973,0.03673968839694748,0.033429877758341,0.033429877758341046,0.033429877758341,81.25,100.0,100.0,100.0,81.25,100.0,100.0,100.0,81.25,100.0,100.0,100.0,,,,,16.0,16.0,0.0,256.0,0.033429877758341,0.00459791706461,3.6353284855493575,3.6353284855493575,1.96,3.6353284855493575,3.6353284855493575,1.8547594314027327,curve,24.0,_curve_id,0.0185844264924526,0.000426257990135,0.0020097017077538,0.004419069179419,vi,True,eligible,,104.0,16.0,24.0,16.0,1664,256,384,256,0.65,0.1,0.15,0.1,46.0,net_photocurrent_confirmatory,56.991119038025865,93.40840092857188,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,56.991119038025865,93.40840092857188,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,56.991119038025865,93.40840092857188,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,80.63923194655636,100.00000000000004,-3.3888900470259893,0.003933905986333947,photo_current,heteroscedastic_gaussian_softplus_variance,bkan_width8_grid8_order3,1.0,270.0,14040,300,270,32,0.001,3,20,7,frozen_bkan_realized_epoch_and_update_horizon,artifacts\results\net_photocurrent_retrain\uq_repeated_grouped,13.75,5.0,,,,,,,,,
46,I_photo,mc_dropout_mlp,0.005415241384101956,0.006536983313596246,6.168001724845771e-06,0.005415241384101956,0.006536983313596246,0.9170779511227869,100.0,0.036452457308769226,0.004957698285579681,80.078125,100.0,0.019434191286563873,0.036452457308769226,100.0,100.0,0.036452457308769226,0.036452457308769226,0.3459498385971748,0.27821465308787396,0.27821465308787396,0.27821465308787396,0.03797944495805761,0.03645245544612408,0.036452452734374995,0.03645245544612408,68.75,100.0,100.0,100.0,68.75,100.0,100.0,100.0,68.75,100.0,100.0,100.0,,,,,16.0,16.0,0.0,256.0,0.036452457308769226,0.004957698285579681,3.6763483095981138,3.6763483095981138,1.96,3.6763483095981138,3.6763483095981138,1.8756879130602622,curve,24.0,_curve_id,0.020333401239404997,0.0004663730273023248,,,,,,,,,,,1664,256,384,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.4290833932249463,0.003837842683187519,photo_current,heteroscedastic_gaussian_softplus_variance,mlp_64-32,1.0,270.0,14040,300,270,32,0.001,3,20,7,frozen_bkan_realized_epoch_and_update_horizon,,26.25,5.0,0.05,1.0,500.0,2594.0,2594.0,71.97218609997071,14040.0,14040.0,1.0
