task,draw_index,draw_seed,active_terms,formula_to_sampled_teacher_rmse,formula_to_sampled_teacher_r2,sampled_teacher_to_tcad_rmse,sampled_teacher_to_tcad_r2,formula_to_tcad_rmse,formula_to_tcad_r2
I_photo,0,26000,72,0.004644146743996292,0.9540868874843806,0.003779432135290313,0.9718313384016436,0.005725242734198328,0.9353600639396724
I_photo,1,26001,72,0.00407727870369315,0.96246607367914,0.0035492328771520587,0.9751582548961224,0.004863517206312436,0.953354041346258
I_photo,2,26002,72,0.005305501986516331,0.9452590927217116,0.0035164025417623833,0.9756157007056034,0.006394723161812286,0.9193588698804638
I_photo,3,26003,72,0.00514542862191962,0.9512925755975815,0.004187404450333367,0.9654217563477585,0.005595889908329289,0.938247942385123
I_photo,4,26004,72,0.0052459325649960534,0.939875165776205,0.004017443073213213,0.9681717637677308,0.004715341472694986,0.956153048198889
I_photo,5,26005,72,0.00541280405194171,0.9331595085631746,0.003827741534198496,0.9711066220261735,0.005688063110250125,0.9361968791349927
I_photo,6,26006,72,0.0035819727835373714,0.9714106098923032,0.0036842153570765947,0.9732327887363263,0.004061415673701034,0.9674712038679782
I_photo,7,26007,72,0.004801513544160069,0.9521379019193451,0.003792055430389232,0.971642857626978,0.005999560844851745,0.9290173786018949
I_photo,8,26008,72,0.004225453122216286,0.9684182008781703,0.004607294249769309,0.9581394423752151,0.00505566663775868,0.9495954236597575
I_photo,9,26009,72,0.0039187766846194546,0.9696296646728465,0.0040194165650180354,0.9681404860669627,0.005034600186106476,0.9500146100281973
I_photo,10,26010,72,0.0051858347503321795,0.9380872882967164,0.004048799751229452,0.9676729775463215,0.00566248842086325,0.9367693329343533
I_photo,11,26011,72,0.007143114538373628,0.911684080448317,0.003684992493425288,0.9732214951691818,0.006195200732817464,0.9243125497589806
I_photo,12,26012,72,0.005474644334788553,0.9450902106036826,0.0032291745194299175,0.9794365422354894,0.005235571697562845,0.9459443203323734
I_photo,13,26013,72,0.006631058367387678,0.9238151643419691,0.003179744947660303,0.9800612613180223,0.006996230547496454,0.9034746612505083
I_photo,14,26014,72,0.0042195988986483005,0.9638591240987321,0.0031648722786060887,0.9802473446397012,0.0049285879688566675,0.9520975049425195
I_photo,15,26015,72,0.004540139493012031,0.9539326302390423,0.003502353321662958,0.97581015854785,0.005733197009695885,0.9351803262215804
I_photo,16,26016,72,0.005480256185444828,0.9481878742852087,0.0044278980945241546,0.9613358609313769,0.005836878751579555,0.932814670194629
I_photo,17,26017,72,0.003664908897761264,0.9697542930061616,0.0037393772175001554,0.9724252448317683,0.004673338757719514,0.9569307176168712
I_photo,18,26018,72,0.004256734464389877,0.963050954787857,0.004707250274289559,0.9563033957418814,0.005990126124582627,0.9292404531297426
I_photo,19,26019,72,0.005814759667085045,0.9378710253918273,0.003650268999668603,0.9737237823866146,0.00680560732100053,0.9086629704148022
