mechanism_index,mechanism,photo_role,mechanism_drive,mechanism_initial_sign,mechanism_scale,term_index,term_name,expression,dependencies,probability,active_gate,coefficient_model_space
2,surface_recombination,surface_loss,reverse,1.0,0.029368802905082703,7,reverse_gate_light_voltage,sigmoid(-light_voltage/0.2),light_voltage,0.882314145565033,1.0,-0.14347690343856812
1,field_collection,main,reverse,-1.0,-0.2781129777431488,3,soft_reverse_light_voltage,softplus(-light_voltage/0.2),light_voltage,0.8667975068092346,1.0,0.14165833592414856
1,field_collection,main,reverse,-1.0,-0.2781129777431488,1,light_voltage_z,scaled(light_voltage),light_voltage,0.8635463118553162,1.0,-0.16396428644657135
1,field_collection,main,reverse,-1.0,-0.2781129777431488,19,reverse_drive_over_length,softplus(-light_voltage/0.2)/active_layer_length,"light_voltage,active_layer_length",0.860840380191803,1.0,0.1333676278591156
1,field_collection,main,reverse,-1.0,-0.2781129777431488,13,light_voltage_over_length,light_voltage/active_layer_length,"light_voltage,active_layer_length",0.8579865097999573,1.0,-0.14950153231620789
2,surface_recombination,surface_loss,reverse,1.0,0.029368802905082703,19,reverse_drive_over_length,softplus(-light_voltage/0.2)/active_layer_length,"light_voltage,active_layer_length",0.8200543522834778,1.0,-0.12979650497436523
1,field_collection,main,reverse,-1.0,-0.2781129777431488,10,light_voltage_over_temperature,light_voltage/simulation_temperature,"light_voltage,simulation_temperature",0.8189268708229065,1.0,-0.10533830523490906
1,field_collection,main,reverse,-1.0,-0.2781129777431488,0,one,1,,0.815690279006958,1.0,0.08266014605760574
1,field_collection,main,reverse,-1.0,-0.2781129777431488,4,tanh_reverse_light_voltage,tanh(-light_voltage/1.0),light_voltage,0.8107290863990784,1.0,0.10220150649547577
4,higher_order_symbolic_residual,residual,all,0.0,1.0,0,one,1,,0.8102150559425354,1.0,-0.08265794068574905
0,photogeneration,main,all,-1.0,-1.0627038478851318,13,light_voltage_over_length,light_voltage/active_layer_length,"light_voltage,active_layer_length",0.7948038578033447,1.0,0.08043473958969116
0,photogeneration,main,all,-1.0,-1.0627038478851318,10,light_voltage_over_temperature,light_voltage/simulation_temperature,"light_voltage,simulation_temperature",0.794394850730896,1.0,0.04869915917515755
0,photogeneration,main,all,-1.0,-1.0627038478851318,0,one,1,,0.7916460633277893,1.0,0.058796972036361694
1,field_collection,main,reverse,-1.0,-0.2781129777431488,7,reverse_gate_light_voltage,sigmoid(-light_voltage/0.2),light_voltage,0.7873177528381348,1.0,0.08179040998220444
2,surface_recombination,surface_loss,reverse,1.0,0.029368802905082703,8,temperature_z,scaled(simulation_temperature),simulation_temperature,0.7839580178260803,1.0,0.20302948355674744
0,photogeneration,main,all,-1.0,-1.0627038478851318,1,light_voltage_z,scaled(light_voltage),light_voltage,0.7814125418663025,1.0,0.02974587306380272
0,photogeneration,main,all,-1.0,-1.0627038478851318,24,collection_saturation_length,(1-exp(-softplus(-light_voltage/0.2)))*active_layer_length,"light_voltage,active_layer_length",0.7790444493293762,1.0,-0.06153082102537155
2,surface_recombination,surface_loss,reverse,1.0,0.029368802905082703,27,reverse_thermal_surface_recomb,softplus(-light_voltage/0.2)*(ge_sio2_recomb_velocity + ge_si_recomb_velocity)/(active_layer_length*simulation_temperature),"light_voltage,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature",0.774218738079071,1.0,-0.10896497964859009
4,higher_order_symbolic_residual,residual,all,0.0,1.0,1,light_voltage_z,scaled(light_voltage),light_voltage,0.7698360681533813,1.0,0.05215759202837944
2,surface_recombination,surface_loss,reverse,1.0,0.029368802905082703,9,inverse_temperature,1/simulation_temperature,simulation_temperature,0.7662746906280518,1.0,-0.226971834897995
0,photogeneration,main,all,-1.0,-1.0627038478851318,2,light_voltage_z2,scaled(light_voltage)^2,light_voltage,0.7585963606834412,1.0,-0.020538970828056335
4,higher_order_symbolic_residual,residual,all,0.0,1.0,24,collection_saturation_length,(1-exp(-softplus(-light_voltage/0.2)))*active_layer_length,"light_voltage,active_layer_length",0.758117139339447,1.0,-0.05329455807805061
4,higher_order_symbolic_residual,residual,all,0.0,1.0,10,light_voltage_over_temperature,light_voltage/simulation_temperature,"light_voltage,simulation_temperature",0.756214439868927,1.0,0.04965231195092201
2,surface_recombination,surface_loss,reverse,1.0,0.029368802905082703,22,reverse_drive_surface_recomb,softplus(-light_voltage/0.2)*(ge_sio2_recomb_velocity + ge_si_recomb_velocity)/active_layer_length,"light_voltage,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length",0.7520363926887512,1.0,-0.09524715691804886
2,surface_recombination,surface_loss,reverse,1.0,0.029368802905082703,10,light_voltage_over_temperature,light_voltage/simulation_temperature,"light_voltage,simulation_temperature",0.7473437786102295,1.0,0.09335178136825562
4,higher_order_symbolic_residual,residual,all,0.0,1.0,13,light_voltage_over_length,light_voltage/active_layer_length,"light_voltage,active_layer_length",0.738976240158081,1.0,-0.062093835324048996
4,higher_order_symbolic_residual,residual,all,0.0,1.0,4,tanh_reverse_light_voltage,tanh(-light_voltage/1.0),light_voltage,0.7361705899238586,1.0,0.01474989578127861
1,field_collection,main,reverse,-1.0,-0.2781129777431488,2,light_voltage_z2,scaled(light_voltage)^2,light_voltage,0.7340297698974609,1.0,-0.012453663162887096
4,higher_order_symbolic_residual,residual,all,0.0,1.0,5,reverse_saturation_light_voltage,1-exp(-(softplus(-light_voltage/0.2)-log(2))),light_voltage,0.7324551939964294,1.0,0.04041801393032074
4,higher_order_symbolic_residual,residual,all,0.0,1.0,7,reverse_gate_light_voltage,sigmoid(-light_voltage/0.2),light_voltage,0.7313613295555115,1.0,-0.019123457372188568
4,higher_order_symbolic_residual,residual,all,0.0,1.0,6,forward_gate_light_voltage,sigmoid(light_voltage/0.2),light_voltage,0.7311160564422607,1.0,0.00986843928694725
4,higher_order_symbolic_residual,residual,all,0.0,1.0,19,reverse_drive_over_length,softplus(-light_voltage/0.2)/active_layer_length,"light_voltage,active_layer_length",0.7302835583686829,1.0,-0.03649879992008209
1,field_collection,main,reverse,-1.0,-0.2781129777431488,5,reverse_saturation_light_voltage,1-exp(-(softplus(-light_voltage/0.2)-log(2))),light_voltage,0.7241913080215454,1.0,0.05517035350203514
4,higher_order_symbolic_residual,residual,all,0.0,1.0,2,light_voltage_z2,scaled(light_voltage)^2,light_voltage,0.7228796482086182,1.0,-0.00048099327250383794
3,trap_recombination,trap_loss,reverse,1.0,0.024236099794507027,19,reverse_drive_over_length,softplus(-light_voltage/0.2)/active_layer_length,"light_voltage,active_layer_length",0.7199381589889526,1.0,-0.12114215642213821
2,surface_recombination,surface_loss,reverse,1.0,0.029368802905082703,3,soft_reverse_light_voltage,softplus(-light_voltage/0.2),light_voltage,0.7198694348335266,1.0,-0.08891679346561432
1,field_collection,main,reverse,-1.0,-0.2781129777431488,24,collection_saturation_length,(1-exp(-softplus(-light_voltage/0.2)))*active_layer_length,"light_voltage,active_layer_length",0.7140284776687622,1.0,0.05652245879173279
2,surface_recombination,surface_loss,reverse,1.0,0.029368802905082703,13,light_voltage_over_length,light_voltage/active_layer_length,"light_voltage,active_layer_length",0.6913621425628662,1.0,0.08581948280334473
3,trap_recombination,trap_loss,reverse,1.0,0.024236099794507027,0,one,1,,0.6805698871612549,1.0,-0.09037298709154129
3,trap_recombination,trap_loss,reverse,1.0,0.024236099794507027,1,light_voltage_z,scaled(light_voltage),light_voltage,0.6613244414329529,1.0,0.09376487880945206
