stage,step,temperature,train_total,train_value,train_observed_weight,train_bayesian_distillation,train_derivative,train_curve_shape,train_kan_residual,train_complexity,train_binary,validation_total,validation_value,validation_observed_weight,validation_bayesian_distillation,validation_derivative,validation_curve_shape,validation_kan_residual,validation_complexity,validation_binary,active_terms
symbolic_warmup,1,2.0,0.2531076967716217,0.2533262372016907,0.0,0.2531076967716217,0.0,0.07895450294017792,0.008632520213723183,0.3309967517852783,0.16301588714122772,0.2518628239631653,0.25194960832595825,0.0,0.2518628239631653,0.0,0.07814526557922363,0.011128157377243042,0.3309903144836426,0.16301603615283966,68
symbolic_warmup,25,2.0,0.17707297205924988,0.17729152739048004,0.0,0.17707297205924988,0.0,0.04557142034173012,0.008632520213723183,0.33142971992492676,0.16300326585769653,0.17137542366981506,0.17146219313144684,0.0,0.17137542366981506,0.0,0.043003376573324203,0.011128157377243042,0.331467866897583,0.16300228238105774,68
symbolic_warmup,50,2.0,0.09341735392808914,0.09363588690757751,0.0,0.09341735392808914,0.0,0.015279189683496952,0.008632520213723183,0.33266445994377136,0.1629759669303894,0.08442304283380508,0.08450981229543686,0.0,0.08442304283380508,0.0,0.013066951185464859,0.011128157377243042,0.3327176570892334,0.16297481954097748,68
symbolic_warmup,75,2.0,0.011006573215126991,0.01111135259270668,0.0,0.011006573215126991,0.0,0.002372244605794549,0.008632520213723183,0.33379828929901123,0.1629447042942047,0.00926215574145317,0.00921577401459217,0.0,0.00926215574145317,0.0,0.0019630547612905502,0.011128157377243042,0.33383429050445557,0.16294348239898682,68
symbolic_warmup,90,2.0,0.0018545091152191162,0.0018508038483560085,0.0,0.0018545091152191162,0.0,0.0007665687589906156,0.008632520213723183,0.3340989053249359,0.16293029487133026,0.0019827759824693203,0.001945195603184402,0.0,0.0019827759824693203,0.0,0.0007487389375455678,0.011128157377243042,0.3341008722782135,0.16292975842952728,68
symbolic_competition,1,2.0,0.001885408884845674,0.001869257539510727,0.0,0.0018803521525114775,0.0,0.0007511356379836798,0.008632520213723183,0.3341008722782135,0.16292975842952728,0.0016723416047170758,0.0016233662609010935,0.0,0.001667260192334652,0.0,0.0006986414082348347,0.011128157377243042,0.3340790867805481,0.16293014585971832,68
symbolic_competition,25,1.82208560789733,0.0006609383272007108,0.0006608227267861366,0.0,0.000655878335237503,0.0,0.0003055576526094228,0.008632520213723183,0.3345249891281128,0.16283920407295227,0.0006781500997021794,0.0006332265329547226,0.0,0.0006730653112754226,0.0,0.00029971523326821625,0.011128157377243042,0.33451375365257263,0.16283871233463287,68
symbolic_competition,50,1.6535665402746547,0.0002517829416319728,0.0002538599364925176,0.0,0.0002467187005095184,0.0,0.00010962585656670853,0.008632520213723183,0.33507367968559265,0.16271860897541046,0.0002397449716227129,0.00022441732289735228,0.0,0.00023465587582904845,0.0,0.0001242496509803459,0.011128157377243042,0.33506351709365845,0.16271814703941345,68
symbolic_competition,75,1.500633280491814,0.00013418265734799206,0.00014086275768931955,0.0,0.00012911400699522346,0.0,6.60974474158138e-05,0.008632520213723183,0.33565646409988403,0.16257715225219727,0.00011707212979672477,0.0001123742331401445,0.0,0.00011197863204870373,0.0,6.354333163471892e-05,0.011128157377243042,0.3356449007987976,0.16257694363594055,68
symbolic_competition,100,1.3618443453419096,8.534465450793505e-05,9.20565435080789e-05,0.0,8.027169678825885e-05,0.0,4.2514773667789996e-05,0.008632520213723183,0.3362511694431305,0.16241280734539032,7.045501843094826e-05,7.174157508416101e-05,0.0,6.535722059197724e-05,0.0,3.965240830439143e-05,0.011128157377243042,0.3362397253513336,0.16241270303726196,68
