task,left_draw,right_draw,term_jaccard,test_prediction_disagreement_rmse
I_photo,0,1,0.8701298701298701,0.004681236614307401
I_photo,0,2,0.92,0.005893467080391967
I_photo,0,3,0.8947368421052632,0.0041969638836010905
I_photo,0,4,0.9459459459459459,0.003573638400514999
I_photo,0,5,0.8701298701298701,0.002733148526679153
I_photo,0,6,0.9459459459459459,0.004718058628571032
I_photo,0,7,0.9459459459459459,0.0023683096752594875
I_photo,0,8,0.92,0.003483309275696502
I_photo,0,9,0.9726027397260274,0.0035051329821306227
I_photo,0,10,0.92,0.0039858473142715
I_photo,0,11,0.8461538461538461,0.008384779057296832
I_photo,0,12,0.9459459459459459,0.005983981251085107
I_photo,0,13,0.8701298701298701,0.009306644196877512
I_photo,0,14,0.9726027397260274,0.0025578035764731778
I_photo,0,15,0.9459459459459459,0.002844319994610955
I_photo,0,16,0.92,0.0056568115132103036
I_photo,0,17,0.9459459459459459,0.00403730550654724
I_photo,0,18,0.9459459459459459,0.006190026899008721
I_photo,0,19,0.8947368421052632,0.007007246728469725
I_photo,1,2,0.8227848101265823,0.005018631686810867
I_photo,1,3,0.8701298701298701,0.005115717583369589
I_photo,1,4,0.8701298701298701,0.003876476211752316
I_photo,1,5,0.92,0.0036917652797388983
I_photo,1,6,0.8947368421052632,0.003871235471586045
I_photo,1,7,0.8461538461538461,0.005291057432214186
I_photo,1,8,0.92,0.004310937981927624
I_photo,1,9,0.8701298701298701,0.004403528215124755
I_photo,1,10,0.8701298701298701,0.005309689428490251
I_photo,1,11,0.8947368421052632,0.006441848969794153
I_photo,1,12,0.8947368421052632,0.005405825709441265
I_photo,1,13,0.92,0.007034807420052842
I_photo,1,14,0.8947368421052632,0.003145687041305285
I_photo,1,15,0.8701298701298701,0.003459758218840776
I_photo,1,16,0.8701298701298701,0.005526012014579796
I_photo,1,17,0.8461538461538461,0.0032479233685899205
I_photo,1,18,0.8701298701298701,0.004781629910490881
I_photo,1,19,0.8461538461538461,0.00507430798740745
I_photo,2,3,0.8947368421052632,0.00473286378360953
I_photo,2,4,0.8947368421052632,0.004277683064288704
I_photo,2,5,0.8227848101265823,0.006299514595297035
I_photo,2,6,0.8701298701298701,0.005481976013297841
I_photo,2,7,0.8947368421052632,0.006337370104490386
I_photo,2,8,0.8947368421052632,0.005585758114581393
I_photo,2,9,0.8947368421052632,0.00666492512153942
I_photo,2,10,0.8701298701298701,0.006912663838885314
I_photo,2,11,0.8227848101265823,0.004765847487524938
I_photo,2,12,0.92,0.004035475377438117
I_photo,2,13,0.8461538461538461,0.004891513076504421
I_photo,2,14,0.92,0.004779865272168597
I_photo,2,15,0.8947368421052632,0.004767492864944921
I_photo,2,16,0.8701298701298701,0.004342172708931416
I_photo,2,17,0.8701298701298701,0.005173805568424426
I_photo,2,18,0.8701298701298701,0.003758306387488999
I_photo,2,19,0.92,0.003225341523083907
I_photo,3,4,0.8461538461538461,0.0046924738119441915
I_photo,3,5,0.8701298701298701,0.005426307153203273
I_photo,3,6,0.8947368421052632,0.0042890689816581055
I_photo,3,7,0.8701298701298701,0.004761872015299403
I_photo,3,8,0.8701298701298701,0.004031553315118773
I_photo,3,9,0.8947368421052632,0.004927981975151865
I_photo,3,10,0.9459459459459459,0.004608119911481029
I_photo,3,11,0.8461538461538461,0.006819243291587895
I_photo,3,12,0.8701298701298701,0.005191790318525876
I_photo,3,13,0.8461538461538461,0.0074516493230296545
I_photo,3,14,0.92,0.003667578342538232
I_photo,3,15,0.8701298701298701,0.004273685827266415
I_photo,3,16,0.92,0.003227808875799436
I_photo,3,17,0.8461538461538461,0.004690085328985382
I_photo,3,18,0.8701298701298701,0.0042116405314434014
I_photo,3,19,0.8701298701298701,0.005964721148343597
I_photo,4,5,0.8947368421052632,0.0042598735807195046
I_photo,4,6,0.92,0.003939057015297793
I_photo,4,7,0.8947368421052632,0.0035188608160831407
I_photo,4,8,0.8701298701298701,0.00412021023095938
I_photo,4,9,0.9459459459459459,0.003491931210353434
I_photo,4,10,0.8947368421052632,0.00442639831585605
I_photo,4,11,0.8701298701298701,0.006028360560850406
I_photo,4,12,0.92,0.0036487261671200024
I_photo,4,13,0.8947368421052632,0.00690081983921337
I_photo,4,14,0.92,0.0030059478152032948
I_photo,4,15,0.92,0.0030721875722591343
I_photo,4,16,0.8947368421052632,0.005197636243279352
I_photo,4,17,0.92,0.0033199622326036643
I_photo,4,18,0.92,0.005225527457385554
I_photo,4,19,0.8947368421052632,0.004748394698401127
I_photo,5,6,0.8947368421052632,0.004615345913546387
I_photo,5,7,0.8701298701298701,0.0038351908491258305
I_photo,5,8,0.8701298701298701,0.004318166977889159
I_photo,5,9,0.8701298701298701,0.0044433423968613705
I_photo,5,10,0.8947368421052632,0.005043516220245238
I_photo,5,11,0.9459459459459459,0.008409149067355449
I_photo,5,12,0.8947368421052632,0.006660700834161912
I_photo,5,13,0.92,0.009303824629933996
I_photo,5,14,0.8701298701298701,0.003178214571195299
I_photo,5,15,0.8701298701298701,0.0033796630730415587
I_photo,5,16,0.8947368421052632,0.006334918019016963
I_photo,5,17,0.8701298701298701,0.003915131092425701
I_photo,5,18,0.8701298701298701,0.006153417208363927
I_photo,5,19,0.8461538461538461,0.007125287151712876
I_photo,6,7,0.92,0.004612291881366325
I_photo,6,8,0.8701298701298701,0.004668459029061952
I_photo,6,9,0.92,0.0047632558154017115
I_photo,6,10,0.9459459459459459,0.005111380445963784
I_photo,6,11,0.8947368421052632,0.006538987099699797
I_photo,6,12,0.8947368421052632,0.005615920572310918
I_photo,6,13,0.92,0.007141812551013512
I_photo,6,14,0.92,0.003821106909290548
I_photo,6,15,0.92,0.004173403158575372
I_photo,6,16,0.9726027397260274,0.0037957683807927516
I_photo,6,17,0.92,0.00233345514121693
I_photo,6,18,0.9726027397260274,0.00385509696381917
I_photo,6,19,0.8701298701298701,0.006241960416493109
I_photo,7,8,0.8701298701298701,0.003568987019715412
