task,term,draw_count,frequency
I_photo,mechanism:field_collection:collection_saturation_length,20,1.0
I_photo,mechanism:field_collection:inverse_length,20,1.0
I_photo,mechanism:field_collection:inverse_temperature,2,0.1
I_photo,mechanism:field_collection:length_collection_saturation,20,1.0
I_photo,mechanism:field_collection:length_z,20,1.0
I_photo,mechanism:field_collection:light_voltage_over_length,20,1.0
I_photo,mechanism:field_collection:light_voltage_over_temperature,20,1.0
I_photo,mechanism:field_collection:light_voltage_z,20,1.0
I_photo,mechanism:field_collection:light_voltage_z2,16,0.8
I_photo,mechanism:field_collection:one,20,1.0
I_photo,mechanism:field_collection:reverse_drive_over_length,20,1.0
I_photo,mechanism:field_collection:reverse_gate_light_voltage,20,1.0
I_photo,mechanism:field_collection:reverse_saturation_light_voltage,20,1.0
I_photo,mechanism:field_collection:soft_reverse_light_voltage,20,1.0
I_photo,mechanism:field_collection:tanh_reverse_light_voltage,20,1.0
I_photo,mechanism:photogeneration:collection_saturation_length,20,1.0
I_photo,mechanism:photogeneration:inverse_length,20,1.0
I_photo,mechanism:photogeneration:length_collection_saturation,18,0.9
I_photo,mechanism:photogeneration:length_z,20,1.0
I_photo,mechanism:photogeneration:light_voltage_over_length,20,1.0
I_photo,mechanism:photogeneration:light_voltage_over_temperature,20,1.0
I_photo,mechanism:photogeneration:light_voltage_z,20,1.0
I_photo,mechanism:photogeneration:light_voltage_z2,20,1.0
I_photo,mechanism:photogeneration:one,20,1.0
I_photo,mechanism:surface_recombination:ge_si_velocity_z,17,0.85
I_photo,mechanism:surface_recombination:ge_sio2_velocity_over_length,10,0.5
I_photo,mechanism:surface_recombination:ge_sio2_velocity_z,10,0.5
I_photo,mechanism:surface_recombination:inverse_length,5,0.25
I_photo,mechanism:surface_recombination:inverse_temperature,20,1.0
I_photo,mechanism:surface_recombination:length_z,5,0.25
I_photo,mechanism:surface_recombination:light_voltage_over_length,20,1.0
I_photo,mechanism:surface_recombination:light_voltage_over_temperature,20,1.0
I_photo,mechanism:surface_recombination:light_voltage_z,20,1.0
I_photo,mechanism:surface_recombination:light_voltage_z2,17,0.85
I_photo,mechanism:surface_recombination:one,16,0.8
I_photo,mechanism:surface_recombination:reverse_drive_over_length,20,1.0
I_photo,mechanism:surface_recombination:reverse_drive_surface_recomb,20,1.0
I_photo,mechanism:surface_recombination:reverse_gate_light_voltage,20,1.0
I_photo,mechanism:surface_recombination:reverse_saturation_light_voltage,20,1.0
I_photo,mechanism:surface_recombination:reverse_thermal_surface_recomb,20,1.0
I_photo,mechanism:surface_recombination:soft_reverse_light_voltage,20,1.0
I_photo,mechanism:surface_recombination:surface_recomb_over_length,1,0.05
I_photo,mechanism:surface_recombination:surface_recomb_sum_z,8,0.4
I_photo,mechanism:surface_recombination:tanh_reverse_light_voltage,20,1.0
I_photo,mechanism:surface_recombination:temperature_z,20,1.0
I_photo,mechanism:surface_recombination:thermal_surface_recomb_over_length,20,1.0
I_photo,mechanism:trap_recombination:inverse_temperature,20,1.0
I_photo,mechanism:trap_recombination:light_voltage_over_length,20,1.0
I_photo,mechanism:trap_recombination:light_voltage_over_temperature,20,1.0
I_photo,mechanism:trap_recombination:light_voltage_z,20,1.0
I_photo,mechanism:trap_recombination:light_voltage_z2,15,0.75
I_photo,mechanism:trap_recombination:one,20,1.0
I_photo,mechanism:trap_recombination:reverse_drive_over_length,20,1.0
I_photo,mechanism:trap_recombination:reverse_drive_trap_A,20,1.0
I_photo,mechanism:trap_recombination:reverse_gate_light_voltage,20,1.0
I_photo,mechanism:trap_recombination:reverse_saturation_light_voltage,20,1.0
I_photo,mechanism:trap_recombination:soft_reverse_light_voltage,20,1.0
I_photo,mechanism:trap_recombination:tanh_reverse_light_voltage,20,1.0
I_photo,mechanism:trap_recombination:temperature_z,20,1.0
I_photo,mechanism:trap_recombination:trap_A_times_length,9,0.45
I_photo,mechanism:trap_recombination:trap_A_z,2,0.1
I_photo,residual_branch:collection_saturation_length,20,1.0
I_photo,residual_branch:forward_gate_light_voltage,19,0.95
I_photo,residual_branch:ge_si_velocity_over_length,4,0.2
I_photo,residual_branch:ge_sio2_velocity_over_length,18,0.9
I_photo,residual_branch:inverse_length,20,1.0
I_photo,residual_branch:inverse_temperature,7,0.35
I_photo,residual_branch:length_collection_saturation,20,1.0
I_photo,residual_branch:length_z,20,1.0
I_photo,residual_branch:light_voltage_over_length,20,1.0
I_photo,residual_branch:light_voltage_over_temperature,20,1.0
I_photo,residual_branch:light_voltage_z,20,1.0
I_photo,residual_branch:light_voltage_z2,14,0.7
I_photo,residual_branch:one,20,1.0
I_photo,residual_branch:reverse_drive_over_length,20,1.0
I_photo,residual_branch:reverse_gate_light_voltage,20,1.0
I_photo,residual_branch:reverse_saturation_light_voltage,20,1.0
I_photo,residual_branch:soft_reverse_light_voltage,7,0.35
I_photo,residual_branch:surface_recomb_over_length,20,1.0
I_photo,residual_branch:surface_recomb_sum_z,6,0.3
I_photo,residual_branch:tanh_reverse_light_voltage,20,1.0
I_photo,residual_branch:temperature_z,14,0.7
I_photo,residual_branch:thermal_surface_recomb_over_length,20,1.0
