task,scenario,holdout_column,holdout_side,threshold,model,seed,rmse_target,mae_target,r2_target,rmse_raw,mae_raw,medape_percent,p95ape_percent,param_count,train_time_s,infer_bs1_s,infer_per_sample_s,storage_points,n_train,n_test,n_fit,n_val,n_fit_curves,n_val_curves,validation_overlap_groups
I_photo,voltage_extreme_reverse,light_voltage,low,-2.4000000000000004,pdk_lut_knn,deterministic,0.008637497106446608,0.007771067954612712,-0.4678556051858791,1.035816955966658e-05,9.295866625148227e-06,1.7345809444605582,3.1909320372454757,13440,0.0016880999901331961,0.0003523099992889911,8.275031250377651e-06,1920.0,1920,640,,,,,
I_photo,voltage_extreme_reverse,light_voltage,low,-2.4000000000000004,poly3_ridge,deterministic,0.008852160257734007,0.00732973470651456,-0.5417218987630095,1.0796051934322517e-05,8.917951059145622e-06,1.5127059852258178,3.8386691048502284,84,0.003029200015589595,0.00011167333189708492,4.262864604243077e-07,0.0,1920,640,,,,,
I_photo,voltage_extreme_reverse,light_voltage,low,-2.4000000000000004,spline_ridge,deterministic,0.007305371330452442,0.006186520687939571,-0.05000676618414057,8.760130473464504e-06,7.4086735581723576e-06,1.350155443591889,3.015540866705689,43,0.0022968000266700983,0.00022582666715607048,7.453593752870802e-07,0.0,1920,640,,,,,
I_photo,voltage_extreme_reverse,light_voltage,low,-2.4000000000000004,rbf_nystroem,42,0.00604715410267656,0.00449116498512148,0.2805351550123376,7.243296402015892e-06,5.382838441851824e-06,0.7730637395669588,2.9762502730935747,2689,0.05107539996970445,0.0002521399990655482,4.4985260410612686e-06,0.0,1920,640,,,,,
I_photo,voltage_extreme_reverse,light_voltage,low,-2.4000000000000004,rbf_nystroem,43,0.005796172733562372,0.004155716374669866,0.33901722071748586,6.9240207746813375e-06,4.976098357129272e-06,0.677196386520472,2.856303771181054,2689,0.04417730000568554,0.0002454033334894727,4.893401040438524e-06,0.0,1920,640,,,,,
I_photo,voltage_extreme_reverse,light_voltage,low,-2.4000000000000004,rbf_nystroem,44,0.005550268015990342,0.003939420769090519,0.3939123757547479,6.7552707838215186e-06,4.767003929321526e-06,0.6500289184635186,2.7228557032824483,2689,0.050676200015004724,0.00032165666731695335,5.354244791912303e-06,0.0,1920,640,,,,,
I_photo,voltage_extreme_reverse,light_voltage,low,-2.4000000000000004,mlp_l,42,0.004867205261977584,0.003984366248028911,0.5339131720038115,5.8589124587456795e-06,4.789925042983229e-06,0.8074937700729916,2.1334245652338306,2561,0.4963969999807887,,,,1920,640,,,,,
I_photo,voltage_extreme_reverse,light_voltage,low,-2.4000000000000004,mlp_l,43,0.0048209844868932,0.003927804630632991,0.5427234044307077,5.801609694543857e-06,4.7213600572282776e-06,0.7870062470420629,2.136183794462335,2561,0.47500079998280853,,,,1920,640,,,,,
I_photo,voltage_extreme_reverse,light_voltage,low,-2.4000000000000004,mlp_l,44,0.004652188787526879,0.0037946842212455345,0.5741838134202639,5.594471281415718e-06,4.560091106026126e-06,0.7820775483793044,2.043281157477558,2561,0.49179180001374334,,,,1920,640,,,,,
I_photo,voltage_extreme_reverse,light_voltage,low,-2.4000000000000004,dkan,42,0.017942296243318872,0.01658041186173187,-5.3337884212655045,2.1170464727238732e-05,1.9562296266338668e-05,4.121492456014091,5.717055752544639,952,3.8120655000093393,,,,1920,640,,,,,
I_photo,voltage_extreme_reverse,light_voltage,low,-2.4000000000000004,dkan,43,0.015178293439287378,0.012218071634527365,-3.532662628631404,1.792410635163706e-05,1.4457852069322804e-05,2.5368344126615514,6.032036094863488,952,3.7889845999889076,,,,1920,640,,,,,
I_photo,voltage_extreme_reverse,light_voltage,low,-2.4000000000000004,dkan,44,0.016569070100119373,0.013993668760881182,-4.401368116186436,1.956536169013217e-05,1.6532584981259878e-05,3.2794287877163004,6.044151148657038,952,4.084026900003664,,,,1920,640,,,,,
