task,scenario,seed,domain,n_rows,n_groups,rmse,r2,raw_point_coverage_95,calibrated_point_coverage_95,raw_group_coverage_95,calibrated_group_coverage_95,raw_mpiw,calibrated_mpiw,mean_predictive_std,median_predictive_std,mean_epistemic_std,mean_aleatoric_std,gaussian_nll,gaussian_crps,interval_score_95,abs_error_std_spearman,aurc_abs_error
photo_current,voltage_extreme_reverse,42,id_test,192,16,0.004657181189312842,0.9501528524476837,97.39583333333334,100.0,93.75,100.0,0.017011709274886412,0.02825602513739485,0.004339721753797498,0.00425659912448175,0.001820435943175763,0.0039147495496826045,-3.9640344484242718,0.0026937696290408627,0.02825602513739485,0.3455497382198953,0.003262515665967342
photo_current,voltage_extreme_reverse,42,ood_test,64,16,0.017585560769526755,-8.743562895938885,32.8125,51.5625,0.0,12.5,0.018733025260709323,0.03111508809096971,0.004778832974670695,0.00467898985720705,0.001903779863800836,0.0043413620779736515,2.582091943552191,0.012635967226363794,0.1802318803600772,0.11304945054945054,0.014025102174288543
photo_current,voltage_extreme_reverse,43,id_test,192,16,0.004288310554843566,0.9581843137631141,100.0,100.0,100.0,100.0,0.029342666975519637,0.029342666975519637,0.0074853742284488435,0.00749352399975635,0.0027371902553132467,0.006939534440686293,-3.8233132610414344,0.002654562920659558,0.029342666975519637,0.35841833274557144,0.0026738151062328523
photo_current,voltage_extreme_reverse,43,ood_test,64,16,0.018317247656865508,-6.573829138466107,42.1875,42.1875,0.0,0.0,0.029331224216876076,0.029331224216876076,0.007482455157366293,0.0073334983279918,0.0027331828787410875,0.00692555408107068,-1.0546015768857226,0.012490539645625779,0.20769304180794113,0.30902014652014653,0.013246237156674803
photo_current,voltage_extreme_reverse,44,id_test,192,16,0.005645663767092282,0.929209255869386,100.0,100.0,100.0,100.0,0.07139187961677068,0.07139187961677068,0.018212214187951648,0.01814284813697915,0.004237573987943741,0.01769662014925263,-3.038747203371738,0.004936400394001745,0.07139187961677068,-0.02327198003418062,0.004077881288080482
photo_current,voltage_extreme_reverse,44,ood_test,64,16,0.016401542276023806,-4.3837262150859955,100.0,100.0,100.0,100.0,0.0709614422767686,0.0709614422767686,0.018102408744073567,0.018005929589442353,0.0039168300768933646,0.017658732156446505,-2.6862639706330818,0.009515346909658086,0.0709614422767686,0.41185897435897434,0.011561909819503365
photo_current,length_high,42,id_test,208,13,0.0025139820249460514,0.9869698257948578,100.0,100.0,100.0,100.0,0.041858586370126544,0.041858586370126544,0.010678210808705698,0.0106734682987188,0.0029363667939332184,0.010222517953955764,-3.596185389247343,0.002731064743709757,0.041858586370126544,-0.04951913075482869,0.00216464559552314
photo_current,length_high,42,ood_test,512,32,0.0072930441832427095,0.8931580943935749,100.0,100.0,100.0,100.0,0.03934107295610228,0.03934107295610228,0.010035987999005633,0.010088582405030699,0.004334226033494447,0.008992684668879418,-3.414100339475061,0.004259532513204073,0.03934107295610228,-0.07174400041198888,0.006550281777658343
photo_current,length_high,43,id_test,208,13,0.003142290179674073,0.9799659217551124,100.0,100.0,100.0,100.0,0.01643176598263119,0.01643176598263119,0.004191777036385458,0.003969468883419499,0.001844154404394643,0.0037414917290415745,-4.29862499568882,0.0018088835370911873,0.01643176598263119,0.09888490609314406,0.0023397217845026576
photo_current,length_high,43,ood_test,512,32,0.007361501830898999,0.8911428938259743,79.296875,79.296875,46.875,46.875,0.017423237078528546,0.017423237078528546,0.004444703336359272,0.004349057596920751,0.002847050739937061,0.003377902475440228,-3.297554421625798,0.004293123108918166,0.04498348232566557,0.36147034967555874,0.004678266354467917
