mechanism_index,mechanism,photo_role,mechanism_drive,mechanism_initial_sign,mechanism_scale,term_index,term_name,expression,dependencies,probability,active_gate,coefficient_model_space
1,field_collection,main,reverse,-1.0,-0.2708856463432312,4,tanh_reverse_light_voltage,tanh(-light_voltage/1.0),light_voltage,0.8270633220672607,1.0,0.07586324959993362
1,field_collection,main,reverse,-1.0,-0.2708856463432312,10,light_voltage_over_temperature,light_voltage/simulation_temperature,"light_voltage,simulation_temperature",0.8218725919723511,1.0,-0.07771079242229462
1,field_collection,main,reverse,-1.0,-0.2708856463432312,1,light_voltage_z,scaled(light_voltage),light_voltage,0.8189318180084229,1.0,-0.07919199019670486
4,higher_order_symbolic_residual,residual,all,0.0,1.0,0,one,1,,0.817936360836029,1.0,-0.09301808476448059
1,field_collection,main,reverse,-1.0,-0.2708856463432312,5,reverse_saturation_light_voltage,1-exp(-(softplus(-light_voltage/0.2)-log(2))),light_voltage,0.8110957741737366,1.0,0.109133280813694
1,field_collection,main,reverse,-1.0,-0.2708856463432312,24,collection_saturation_length,(1-exp(-softplus(-light_voltage/0.2)))*active_layer_length,"light_voltage,active_layer_length",0.8054022789001465,1.0,0.0964878648519516
1,field_collection,main,reverse,-1.0,-0.2708856463432312,13,light_voltage_over_length,light_voltage/active_layer_length,"light_voltage,active_layer_length",0.7983679175376892,1.0,-0.08883365988731384
1,field_collection,main,reverse,-1.0,-0.2708856463432312,19,reverse_drive_over_length,softplus(-light_voltage/0.2)/active_layer_length,"light_voltage,active_layer_length",0.7970694899559021,1.0,0.0921359658241272
1,field_collection,main,reverse,-1.0,-0.2708856463432312,7,reverse_gate_light_voltage,sigmoid(-light_voltage/0.2),light_voltage,0.7947872281074524,1.0,0.06544187664985657
0,photogeneration,main,all,-1.0,-1.0690897703170776,0,one,1,,0.771233081817627,1.0,0.046611592173576355
1,field_collection,main,reverse,-1.0,-0.2708856463432312,3,soft_reverse_light_voltage,softplus(-light_voltage/0.2),light_voltage,0.7653093934059143,1.0,0.058721497654914856
1,field_collection,main,reverse,-1.0,-0.2708856463432312,0,one,1,,0.7566180229187012,1.0,0.050818849354982376
