stage,step,temperature,train_total,train_value,train_observed_weight,train_bayesian_distillation,train_derivative,train_curve_shape,train_kan_residual,train_complexity,train_binary,validation_total,validation_value,validation_observed_weight,validation_bayesian_distillation,validation_derivative,validation_curve_shape,validation_kan_residual,validation_complexity,validation_binary,active_terms
symbolic_warmup,1,2.0,0.32908645272254944,0.26328960061073303,1.0,0.263187438249588,0.0,0.08864058554172516,0.029229097068309784,0.3309127390384674,0.16301405429840088,0.31921839714050293,0.2553728222846985,1.0,0.25538235902786255,0.0,0.08519000560045242,0.020284060388803482,0.3309107720851898,0.16301435232162476,68
symbolic_warmup,25,2.0,0.19754059612751007,0.15804623067378998,1.0,0.15797747671604156,0.0,0.2893931269645691,0.029229097068309784,0.3311880826950073,0.16300377249717712,0.18595394492149353,0.14870953559875488,1.0,0.14897766709327698,0.0,0.2909575402736664,0.020284060388803482,0.3311868906021118,0.16300292313098907,68
symbolic_warmup,50,2.0,0.11560839414596558,0.0924934670329094,1.0,0.09245971590280533,0.0,0.1771889328956604,0.029229097068309784,0.3311188220977783,0.16298101842403412,0.09407718479633331,0.07524164766073227,1.0,0.07534214109182358,0.0,0.1752786487340927,0.020284060388803482,0.3311369717121124,0.16297927498817444,68
symbolic_warmup,75,2.0,0.04873353987932205,0.03899618983268738,1.0,0.0389493964612484,0.0,0.14367201924324036,0.029229097068309784,0.3315296471118927,0.1629464477300644,0.04279732704162598,0.03421912342309952,1.0,0.034312810748815536,0.0,0.13650453090667725,0.020284060388803482,0.3315401077270508,0.16294562816619873,68
symbolic_warmup,100,2.0,0.005784253124147654,0.004634017590433359,1.0,0.00460094166919589,0.0,0.0038547259755432606,0.029229097068309784,0.3317721486091614,0.16292829811573029,0.004244668409228325,0.003395091975107789,1.0,0.003398306667804718,0.0,0.002526930533349514,0.020284060388803482,0.33178383111953735,0.162927508354187,68
symbolic_warmup,125,2.0,0.0006864061579108238,0.000549198710359633,1.0,0.0005488297319971025,0.0,6.410029891412705e-05,0.029229097068309784,0.33190181851387024,0.1629193127155304,0.0006746018771082163,0.0005480675608851016,1.0,0.0005061371484771371,0.0,6.339045648928732e-05,0.020284060388803482,0.33189597725868225,0.1629195213317871,68
symbolic_warmup,150,2.0,7.173084304668009e-05,5.950935883447528e-05,1.0,4.888592229690403e-05,0.0,6.593744728888851e-06,0.029229097068309784,0.33175328373908997,0.16292454302310944,6.405901513062418e-05,5.393912942963652e-05,1.0,4.047955371788703e-05,0.0,7.737345185887534e-06,0.020284060388803482,0.3317504823207855,0.1629246175289154,68
symbolic_warmup,175,2.0,3.580957854865119e-05,3.0511238946928643e-05,1.0,2.1193352949921973e-05,0.0,6.531596682179952e-06,0.029229097068309784,0.3317333161830902,0.16292397677898407,3.6829231248702854e-05,3.280436067143455e-05,1.0,1.609948230907321e-05,0.0,6.756132279406302e-06,0.020284060388803482,0.3317330479621887,0.1629239320755005,68
symbolic_warmup,200,2.0,3.459848812781274e-05,2.9443954190355726e-05,1.0,2.0618133930838667e-05,0.0,5.901310942135751e-06,0.029229097068309784,0.33171674609184265,0.16292349994182587,3.495813507470302e-05,3.125438161077909e-05,1.0,1.4815014765190426e-05,0.0,6.844348718004767e-06,0.020284060388803482,0.331715852022171,0.16292348504066467,68
symbolic_warmup,225,2.0,3.3384811104042456e-05,2.851614226528909e-05,1.0,1.9474677174002863e-05,0.0,5.256298663880443e-06,0.029229097068309784,0.33169975876808167,0.162923201918602,3.3635431464063004e-05,3.0136357963783666e-05,1.0,1.399629945808556e-05,0.0,5.87957492825808e-06,0.020284060388803482,0.3316992521286011,0.162923201918602,68
symbolic_warmup,250,2.0,3.248444045311771e-05,2.777714871626813e-05,1.0,1.8829168766387738e-05,0.0,4.820257800020045e-06,0.029229097068309784,0.33168765902519226,0.16292287409305573,3.30044531438034e-05,2.9647580959135666e-05,1.0,1.3427483281702735e-05,0.0,5.366859113564715e-06,0.020284060388803482,0.33168715238571167,0.16292287409305573,68
symbolic_warmup,275,2.0,3.168628245475702e-05,2.7133814000990242e-05,1.0,1.8209875634056516e-05,0.0,4.47672664449783e-06,0.029229097068309784,0.33167728781700134,0.16292260587215424,3.210396971553564e-05,2.889269671868533e-05,1.0,1.2845085620938335e-05,0.0,4.891515345661901e-06,0.020284060388803482,0.3316769599914551,0.16292260587215424,68
symbolic_warmup,300,2.0,3.096194996032864e-05,2.654684431036003e-05,1.0,1.7660417142906226e-05,0.0,4.202197033009725e-06,0.029229097068309784,0.3316692113876343,0.16292238235473633,3.143016147078015e-05,2.8338901756796986e-05,1.0,1.2365035217953846e-05,0.0,4.545189767668489e-06,0.020284060388803482,0.331668883562088,0.16292238235473633,68
symbolic_competition,1,2.0,3.617249967646785e-05,2.6524474378675222e-05,1.0,1.7639291399973445e-05,0.0,4.192263531876961e-06,0.029229097068309784,0.331668883562088,0.16292238235473633,0.0002712106506805867,0.00021283960086293519,1.0,0.00021289029973559082,0.0,8.130163769237697e-05,0.020284060388803482,0.33163943886756897,0.1629227101802826,68
symbolic_competition,25,1.9449593315124356,4.290833021514118e-05,3.189625567756593e-05,1.0,2.3102609702618793e-05,0.0,9.970629434974398e-06,0.029229097068309784,0.3315163850784302,0.16289697587490082,4.170327156316489e-05,3.333375570946373e-05,1.0,1.2890644029539544e-05,0.0,1.476258876209613e-05,0.020284060388803482,0.3315046429634094,0.16289691627025604,68
symbolic_competition,50,1.889235405642173,3.167792601743713e-05,2.290853990416508e-05,1.0,1.4138501683191862e-05,0.0,3.833913524431409e-06,0.029229097068309784,0.3313790261745453,0.162867933511734,3.407165422686376e-05,2.638408841448836e-05,1.0,1.016946043819189e-05,0.0,3.8643693187623285e-06,0.020284060388803482,0.3313679099082947,0.16286781430244446,68
symbolic_competition,75,1.8351079943437496,2.9989545510034077e-05,2.1549743905779906e-05,1.0,1.2827908904000651e-05,0.0,3.15128818328958e-06,0.029229097068309784,0.331216037273407,0.162837415933609,3.2264717447105795e-05,2.4886800019885413e-05,1.0,8.938650353229605e-06,0.0,3.450297754170606e-06,0.020284060388803482,0.33120378851890564,0.16283729672431946,68
symbolic_competition,100,1.7825313567843315,2.8766391551471315e-05,2.0583536752383225e-05,1.0,1.1809305760834832e-05,0.0,3.0113365028228145e-06,0.029229097068309784,0.33101895451545715,0.16280457377433777,3.060076414840296e-05,2.3521217372035608e-05,1.0,7.754437319817953e-06,0.0,3.2459629437653348e-06,0.020284060388803482,0.3310052454471588,0.16280443966388702,68
symbolic_competition,125,1.7314610626257239,2.7676378522301093e-05,1.9703533325809985e-05,1.0,1.0980015758832451e-05,0.0,2.852381157936179e-06,0.029229097068309784,0.33078598976135254,0.16276897490024567,2.9725397325819358e-05,2.282999594171997e-05,1.0,7.028640538919717e-06,0.0,3.0972166769061005e-06,0.020284060388803482,0.33077117800712585,0.16276879608631134,68
symbolic_competition,150,1.6818539544781337,2.6754432838060893e-05,1.8964110495289788e-05,1.0,1.0262262549076695e-05,0.0,2.730622327362653e-06,0.029229097068309784,0.3305162489414215,0.1627301722764969,2.8897025913465768e-05,2.21681511902716e-05,1.0,6.37493349131546e-06,0.0,2.9823781915183645e-06,0.020284060388803482,0.3305002450942993,0.16272993385791779,68
