mechanism_index,mechanism,photo_role,mechanism_drive,mechanism_initial_sign,mechanism_scale,term_index,term_name,expression,dependencies,probability,active_gate,coefficient_model_space
1,field_collection,main,reverse,-1.0,-0.27079594135284424,4,tanh_reverse_light_voltage,tanh(-light_voltage/1.0),light_voltage,0.827596127986908,1.0,0.0758834034204483
1,field_collection,main,reverse,-1.0,-0.27079594135284424,10,light_voltage_over_temperature,light_voltage/simulation_temperature,"light_voltage,simulation_temperature",0.8223695158958435,1.0,-0.07758302986621857
1,field_collection,main,reverse,-1.0,-0.27079594135284424,1,light_voltage_z,scaled(light_voltage),light_voltage,0.8193685412406921,1.0,-0.07903008908033371
4,higher_order_symbolic_residual,residual,all,0.0,1.0,0,one,1,,0.8183732628822327,1.0,-0.09305302053689957
1,field_collection,main,reverse,-1.0,-0.27079594135284424,5,reverse_saturation_light_voltage,1-exp(-(softplus(-light_voltage/0.2)-log(2))),light_voltage,0.8116949796676636,1.0,0.1090645045042038
1,field_collection,main,reverse,-1.0,-0.27079594135284424,24,collection_saturation_length,(1-exp(-softplus(-light_voltage/0.2)))*active_layer_length,"light_voltage,active_layer_length",0.805859386920929,1.0,0.09631934016942978
1,field_collection,main,reverse,-1.0,-0.27079594135284424,13,light_voltage_over_length,light_voltage/active_layer_length,"light_voltage,active_layer_length",0.7991414070129395,1.0,-0.08888258785009384
1,field_collection,main,reverse,-1.0,-0.27079594135284424,19,reverse_drive_over_length,softplus(-light_voltage/0.2)/active_layer_length,"light_voltage,active_layer_length",0.7978408336639404,1.0,0.09218546748161316
1,field_collection,main,reverse,-1.0,-0.27079594135284424,7,reverse_gate_light_voltage,sigmoid(-light_voltage/0.2),light_voltage,0.7957178354263306,1.0,0.0653722733259201
0,photogeneration,main,all,-1.0,-1.069075345993042,0,one,1,,0.7718003988265991,1.0,0.046649664640426636
1,field_collection,main,reverse,-1.0,-0.27079594135284424,3,soft_reverse_light_voltage,softplus(-light_voltage/0.2),light_voltage,0.7659902572631836,1.0,0.05855798348784447
1,field_collection,main,reverse,-1.0,-0.27079594135284424,0,one,1,,0.7575322985649109,1.0,0.050754938274621964
4,higher_order_symbolic_residual,residual,all,0.0,1.0,22,reverse_drive_surface_recomb,softplus(-light_voltage/0.2)*(ge_sio2_recomb_velocity + ge_si_recomb_velocity)/active_layer_length,"light_voltage,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length",0.73972088098526,1.0,0.02107951045036316
4,higher_order_symbolic_residual,residual,all,0.0,1.0,5,reverse_saturation_light_voltage,1-exp(-(softplus(-light_voltage/0.2)-log(2))),light_voltage,0.7392429113388062,1.0,-0.023728834465146065
4,higher_order_symbolic_residual,residual,all,0.0,1.0,19,reverse_drive_over_length,softplus(-light_voltage/0.2)/active_layer_length,"light_voltage,active_layer_length",0.7250393629074097,1.0,-0.023179924115538597
0,photogeneration,main,all,-1.0,-1.069075345993042,24,collection_saturation_length,(1-exp(-softplus(-light_voltage/0.2)))*active_layer_length,"light_voltage,active_layer_length",0.71524977684021,1.0,-0.01915525645017624
4,higher_order_symbolic_residual,residual,all,0.0,1.0,10,light_voltage_over_temperature,light_voltage/simulation_temperature,"light_voltage,simulation_temperature",0.7112703323364258,1.0,-0.020581655204296112
0,photogeneration,main,all,-1.0,-1.069075345993042,1,light_voltage_z,scaled(light_voltage),light_voltage,0.7110166549682617,1.0,0.018315881490707397
4,higher_order_symbolic_residual,residual,all,0.0,1.0,27,reverse_thermal_surface_recomb,softplus(-light_voltage/0.2)*(ge_sio2_recomb_velocity + ge_si_recomb_velocity)/(active_layer_length*simulation_temperature),"light_voltage,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature",0.7109452486038208,1.0,-0.018587477505207062
4,higher_order_symbolic_residual,residual,all,0.0,1.0,1,light_voltage_z,scaled(light_voltage),light_voltage,0.7086457014083862,1.0,0.005767821799963713
4,higher_order_symbolic_residual,residual,all,0.0,1.0,6,forward_gate_light_voltage,sigmoid(light_voltage/0.2),light_voltage,0.6947695016860962,1.0,-0.015203302726149559
4,higher_order_symbolic_residual,residual,all,0.0,1.0,13,light_voltage_over_length,light_voltage/active_layer_length,"light_voltage,active_layer_length",0.6916114091873169,1.0,-0.0014915225328877568
0,photogeneration,main,all,-1.0,-1.069075345993042,13,light_voltage_over_length,light_voltage/active_layer_length,"light_voltage,active_layer_length",0.6912884712219238,1.0,0.002636933233588934
4,higher_order_symbolic_residual,residual,all,0.0,1.0,4,tanh_reverse_light_voltage,tanh(-light_voltage/1.0),light_voltage,0.6900545358657837,1.0,0.0065374416299164295
4,higher_order_symbolic_residual,residual,all,0.0,1.0,2,light_voltage_z2,scaled(light_voltage)^2,light_voltage,0.6878695487976074,1.0,-0.005039536859840155
0,photogeneration,main,all,-1.0,-1.069075345993042,2,light_voltage_z2,scaled(light_voltage)^2,light_voltage,0.6837934851646423,1.0,-0.013687189668416977
4,higher_order_symbolic_residual,residual,all,0.0,1.0,24,collection_saturation_length,(1-exp(-softplus(-light_voltage/0.2)))*active_layer_length,"light_voltage,active_layer_length",0.6835891604423523,1.0,-0.00983665231615305
0,photogeneration,main,all,-1.0,-1.069075345993042,10,light_voltage_over_temperature,light_voltage/simulation_temperature,"light_voltage,simulation_temperature",0.6742104887962341,1.0,0.0047224340960383415
4,higher_order_symbolic_residual,residual,all,0.0,1.0,7,reverse_gate_light_voltage,sigmoid(-light_voltage/0.2),light_voltage,0.6699429750442505,1.0,0.006914597004652023
4,higher_order_symbolic_residual,residual,all,0.0,1.0,3,soft_reverse_light_voltage,softplus(-light_voltage/0.2),light_voltage,0.6540693640708923,1.0,0.00023592982324771583
4,higher_order_symbolic_residual,residual,all,0.0,1.0,23,reverse_drive_trap_A,softplus(-light_voltage/0.2)*trap_assisted_recomb_A,"light_voltage,trap_assisted_recomb_A",0.6538788080215454,1.0,-0.0002353408490307629
1,field_collection,main,reverse,-1.0,-0.27079594135284424,2,light_voltage_z2,scaled(light_voltage)^2,light_voltage,0.646560788154602,1.0,0.02639751322567463
4,higher_order_symbolic_residual,residual,all,0.0,1.0,18,ge_si_velocity_over_length,ge_si_recomb_velocity/active_layer_length,"ge_si_recomb_velocity,active_layer_length",0.45861586928367615,1.0,-0.010469457134604454
4,higher_order_symbolic_residual,residual,all,0.0,1.0,25,length_collection_saturation,1-exp(-active_layer_length/40),active_layer_length,0.3696916103363037,1.0,-0.02333325706422329
4,higher_order_symbolic_residual,residual,all,0.0,1.0,21,surface_recomb_over_length,(ge_sio2_recomb_velocity + ge_si_recomb_velocity)/active_layer_length,"ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length",0.3687369227409363,1.0,0.024274835363030434
4,higher_order_symbolic_residual,residual,all,0.0,1.0,9,inverse_temperature,1/simulation_temperature,simulation_temperature,0.35143402218818665,1.0,0.042578667402267456
0,photogeneration,main,all,-1.0,-1.069075345993042,11,length_z,scaled(active_layer_length),active_layer_length,0.3505004346370697,1.0,0.016028722748160362
0,photogeneration,main,all,-1.0,-1.069075345993042,25,length_collection_saturation,1-exp(-active_layer_length/40),active_layer_length,0.3413744568824768,1.0,-0.019313251599669456
0,photogeneration,main,all,-1.0,-1.069075345993042,12,inverse_length,1/active_layer_length,active_layer_length,0.3368379473686218,1.0,0.003717161249369383
4,higher_order_symbolic_residual,residual,all,0.0,1.0,26,thermal_surface_recomb_over_length,(ge_sio2_recomb_velocity + ge_si_recomb_velocity)/(active_layer_length*simulation_temperature),"ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature",0.33643639087677,1.0,0.003367971396073699
0,photogeneration,main,all,-1.0,-1.069075345993042,8,temperature_z,scaled(simulation_temperature),simulation_temperature,0.334354966878891,1.0,-0.05556069687008858
4,higher_order_symbolic_residual,residual,all,0.0,1.0,17,ge_sio2_velocity_over_length,ge_sio2_recomb_velocity/active_layer_length,"ge_sio2_recomb_velocity,active_layer_length",0.33209535479545593,1.0,-0.020836979150772095
4,higher_order_symbolic_residual,residual,all,0.0,1.0,11,length_z,scaled(active_layer_length),active_layer_length,0.33148711919784546,1.0,0.018736431375145912
0,photogeneration,main,all,-1.0,-1.069075345993042,9,inverse_temperature,1/simulation_temperature,simulation_temperature,0.31413301825523376,1.0,0.014585066586732864
1,field_collection,main,reverse,-1.0,-0.27079594135284424,12,inverse_length,1/active_layer_length,active_layer_length,0.30171576142311096,1.0,-0.033253274857997894
1,field_collection,main,reverse,-1.0,-0.27079594135284424,25,length_collection_saturation,1-exp(-active_layer_length/40),active_layer_length,0.28613489866256714,1.0,0.029064157977700233
4,higher_order_symbolic_residual,residual,all,0.0,1.0,8,temperature_z,scaled(simulation_temperature),simulation_temperature,0.285940557718277,1.0,0.0015435082605108619
1,field_collection,main,reverse,-1.0,-0.27079594135284424,8,temperature_z,scaled(simulation_temperature),simulation_temperature,0.285269558429718,1.0,-0.057632286101579666
4,higher_order_symbolic_residual,residual,all,0.0,1.0,28,trap_A_times_length,trap_assisted_recomb_A*active_layer_length,"trap_assisted_recomb_A,active_layer_length",0.27887630462646484,1.0,-0.00037505789077840745
4,higher_order_symbolic_residual,residual,all,0.0,1.0,15,ge_sio2_velocity_z,scaled(ge_sio2_recomb_velocity),ge_sio2_recomb_velocity,0.26121264696121216,1.0,-0.004243730567395687
1,field_collection,main,reverse,-1.0,-0.27079594135284424,11,length_z,scaled(active_layer_length),active_layer_length,0.2561170160770416,1.0,0.02949751354753971
4,higher_order_symbolic_residual,residual,all,0.0,1.0,12,inverse_length,1/active_layer_length,active_layer_length,0.25139880180358887,1.0,-0.0006588521646335721
4,higher_order_symbolic_residual,residual,all,0.0,1.0,14,trap_A_z,scaled(trap_assisted_recomb_A),trap_assisted_recomb_A,0.2425142377614975,1.0,0.0005732511635869741
2,surface_recombination,surface_loss,reverse,1.0,0.04241151735186577,8,temperature_z,scaled(simulation_temperature),simulation_temperature,0.22847600281238556,1.0,0.4987491965293884
1,field_collection,main,reverse,-1.0,-0.27079594135284424,9,inverse_temperature,1/simulation_temperature,simulation_temperature,0.21868805587291718,1.0,0.019554827362298965
4,higher_order_symbolic_residual,residual,all,0.0,1.0,16,ge_si_velocity_z,scaled(ge_si_recomb_velocity),ge_si_recomb_velocity,0.19367557764053345,1.0,0.0031720565166324377
4,higher_order_symbolic_residual,residual,all,0.0,1.0,20,surface_recomb_sum_z,scaled(ge_sio2_recomb_velocity + ge_si_recomb_velocity),"ge_sio2_recomb_velocity,ge_si_recomb_velocity",0.14871345460414886,1.0,0.0009301150566898286
2,surface_recombination,surface_loss,reverse,1.0,0.04241151735186577,1,light_voltage_z,scaled(light_voltage),light_voltage,0.10532806813716888,1.0,0.0498884953558445
2,surface_recombination,surface_loss,reverse,1.0,0.04241151735186577,3,soft_reverse_light_voltage,softplus(-light_voltage/0.2),light_voltage,0.09474622458219528,1.0,0.03790696710348129
2,surface_recombination,surface_loss,reverse,1.0,0.04241151735186577,27,reverse_thermal_surface_recomb,softplus(-light_voltage/0.2)*(ge_sio2_recomb_velocity + ge_si_recomb_velocity)/(active_layer_length*simulation_temperature),"light_voltage,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature",0.0917515978217125,1.0,-0.03794306144118309
3,trap_recombination,trap_loss,reverse,1.0,0.03611638769507408,0,one,1,,0.08880206197500229,1.0,-0.03132191672921181
3,trap_recombination,trap_loss,reverse,1.0,0.03611638769507408,1,light_voltage_z,scaled(light_voltage),light_voltage,0.08831122517585754,1.0,0.04178730398416519
3,trap_recombination,trap_loss,reverse,1.0,0.03611638769507408,23,reverse_drive_trap_A,softplus(-light_voltage/0.2)*trap_assisted_recomb_A,"light_voltage,trap_assisted_recomb_A",0.08170194923877716,1.0,-0.03876575827598572
3,trap_recombination,trap_loss,reverse,1.0,0.03611638769507408,10,light_voltage_over_temperature,light_voltage/simulation_temperature,"light_voltage,simulation_temperature",0.07495876401662827,1.0,0.03597135469317436
3,trap_recombination,trap_loss,reverse,1.0,0.03611638769507408,4,tanh_reverse_light_voltage,tanh(-light_voltage/1.0),light_voltage,0.04801453649997711,1.0,-0.03098328411579132
2,surface_recombination,surface_loss,reverse,1.0,0.04241151735186577,17,ge_sio2_velocity_over_length,ge_sio2_recomb_velocity/active_layer_length,"ge_sio2_recomb_velocity,active_layer_length",0.04545389115810394,1.0,0.228655606508255
2,surface_recombination,surface_loss,reverse,1.0,0.04241151735186577,0,one,1,,0.04007557034492493,1.0,-0.014219390228390694
3,trap_recombination,trap_loss,reverse,1.0,0.03611638769507408,19,reverse_drive_over_length,softplus(-light_voltage/0.2)/active_layer_length,"light_voltage,active_layer_length",0.030025087296962738,1.0,-0.018039312213659286
3,trap_recombination,trap_loss,reverse,1.0,0.03611638769507408,5,reverse_saturation_light_voltage,1-exp(-(softplus(-light_voltage/0.2)-log(2))),light_voltage,0.024136075749993324,1.0,-0.04417414963245392
2,surface_recombination,surface_loss,reverse,1.0,0.04241151735186577,19,reverse_drive_over_length,softplus(-light_voltage/0.2)/active_layer_length,"light_voltage,active_layer_length",0.02361031249165535,1.0,-0.012862006202340126
2,surface_recombination,surface_loss,reverse,1.0,0.04241151735186577,22,reverse_drive_surface_recomb,softplus(-light_voltage/0.2)*(ge_sio2_recomb_velocity + ge_si_recomb_velocity)/active_layer_length,"light_voltage,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length",0.023243166506290436,1.0,0.0076667992398142815
2,surface_recombination,surface_loss,reverse,1.0,0.04241151735186577,10,light_voltage_over_temperature,light_voltage/simulation_temperature,"light_voltage,simulation_temperature",0.02101597934961319,1.0,-0.013311833143234253
0,photogeneration,main,all,-1.0,-1.069075345993042,3,soft_reverse_light_voltage,softplus(-light_voltage/0.2),light_voltage,0.7317174077033997,0.0,0.012529216706752777
0,photogeneration,main,all,-1.0,-1.069075345993042,4,tanh_reverse_light_voltage,tanh(-light_voltage/1.0),light_voltage,0.7317174077033997,0.0,0.018287062644958496
0,photogeneration,main,all,-1.0,-1.069075345993042,5,reverse_saturation_light_voltage,1-exp(-(softplus(-light_voltage/0.2)-log(2))),light_voltage,0.7317174077033997,0.0,0.02019008807837963
0,photogeneration,main,all,-1.0,-1.069075345993042,6,forward_gate_light_voltage,sigmoid(light_voltage/0.2),light_voltage,0.7317174077033997,0.0,0.01789240725338459
0,photogeneration,main,all,-1.0,-1.069075345993042,7,reverse_gate_light_voltage,sigmoid(-light_voltage/0.2),light_voltage,0.7317174077033997,0.0,-0.005755950231105089
0,photogeneration,main,all,-1.0,-1.069075345993042,19,reverse_drive_over_length,softplus(-light_voltage/0.2)/active_layer_length,"light_voltage,active_layer_length",0.7317174077033997,0.0,-0.002179129747673869
