mechanism_index,mechanism,photo_role,mechanism_drive,mechanism_initial_sign,mechanism_scale,term_index,term_name,expression,dependencies,probability,active_gate,coefficient_model_space
0,photogeneration,main,all,-1.0,-1.0749760866165161,0,one,1,,0.8296737670898438,1.0,0.08635478466749191
1,field_collection,main,reverse,-1.0,-0.27507486939430237,10,light_voltage_over_temperature,light_voltage/simulation_temperature,"light_voltage,simulation_temperature",0.82765793800354,1.0,-0.08825124055147171
1,field_collection,main,reverse,-1.0,-0.27507486939430237,13,light_voltage_over_length,light_voltage/active_layer_length,"light_voltage,active_layer_length",0.8189205527305603,1.0,-0.08621544390916824
1,field_collection,main,reverse,-1.0,-0.27507486939430237,7,reverse_gate_light_voltage,sigmoid(-light_voltage/0.2),light_voltage,0.815359354019165,1.0,0.07895097881555557
1,field_collection,main,reverse,-1.0,-0.27507486939430237,24,collection_saturation_length,(1-exp(-softplus(-light_voltage/0.2)))*active_layer_length,"light_voltage,active_layer_length",0.8113914728164673,1.0,0.0997457206249237
1,field_collection,main,reverse,-1.0,-0.27507486939430237,19,reverse_drive_over_length,softplus(-light_voltage/0.2)/active_layer_length,"light_voltage,active_layer_length",0.8020475506782532,1.0,0.07300093024969101
4,higher_order_symbolic_residual,residual,all,0.0,1.0,0,one,1,,0.7931487560272217,1.0,-0.056103043258190155
1,field_collection,main,reverse,-1.0,-0.27507486939430237,3,soft_reverse_light_voltage,softplus(-light_voltage/0.2),light_voltage,0.7869618535041809,1.0,0.07139267772436142
1,field_collection,main,reverse,-1.0,-0.27507486939430237,0,one,1,,0.7868122458457947,1.0,0.06395450234413147
1,field_collection,main,reverse,-1.0,-0.27507486939430237,1,light_voltage_z,scaled(light_voltage),light_voltage,0.7659746408462524,1.0,-0.06382584571838379
1,field_collection,main,reverse,-1.0,-0.27507486939430237,5,reverse_saturation_light_voltage,1-exp(-(softplus(-light_voltage/0.2)-log(2))),light_voltage,0.7645171880722046,1.0,0.055439844727516174
1,field_collection,main,reverse,-1.0,-0.27507486939430237,4,tanh_reverse_light_voltage,tanh(-light_voltage/1.0),light_voltage,0.7434373497962952,1.0,0.04699447378516197
0,photogeneration,main,all,-1.0,-1.0749760866165161,10,light_voltage_over_temperature,light_voltage/simulation_temperature,"light_voltage,simulation_temperature",0.7333723902702332,1.0,-0.022509679198265076
0,photogeneration,main,all,-1.0,-1.0749760866165161,1,light_voltage_z,scaled(light_voltage),light_voltage,0.7330417037010193,1.0,-0.023745305836200714
0,photogeneration,main,all,-1.0,-1.0749760866165161,13,light_voltage_over_length,light_voltage/active_layer_length,"light_voltage,active_layer_length",0.7322529554367065,1.0,-0.026939209550619125
4,higher_order_symbolic_residual,residual,all,0.0,1.0,6,forward_gate_light_voltage,sigmoid(light_voltage/0.2),light_voltage,0.7305721640586853,1.0,0.008352928794920444
4,higher_order_symbolic_residual,residual,all,0.0,1.0,3,soft_reverse_light_voltage,softplus(-light_voltage/0.2),light_voltage,0.7303211688995361,1.0,0.030420713126659393
0,photogeneration,main,all,-1.0,-1.0749760866165161,24,collection_saturation_length,(1-exp(-softplus(-light_voltage/0.2)))*active_layer_length,"light_voltage,active_layer_length",0.725295901298523,1.0,0.020703136920928955
1,field_collection,main,reverse,-1.0,-0.27507486939430237,2,light_voltage_z2,scaled(light_voltage)^2,light_voltage,0.7094573378562927,1.0,-0.04998639225959778
4,higher_order_symbolic_residual,residual,all,0.0,1.0,19,reverse_drive_over_length,softplus(-light_voltage/0.2)/active_layer_length,"light_voltage,active_layer_length",0.7017883658409119,1.0,0.01569858193397522
4,higher_order_symbolic_residual,residual,all,0.0,1.0,24,collection_saturation_length,(1-exp(-softplus(-light_voltage/0.2)))*active_layer_length,"light_voltage,active_layer_length",0.6980210542678833,1.0,0.00843613501638174
4,higher_order_symbolic_residual,residual,all,0.0,1.0,10,light_voltage_over_temperature,light_voltage/simulation_temperature,"light_voltage,simulation_temperature",0.6947148442268372,1.0,-0.008548935875296593
