seed,task,manifest,overlap_groups,train_groups,validation_groups,calibration_groups,test_groups,calibration_minimum_ok,split_disjoint
42,I_photo,artifacts\results\net_photocurrent_retrain\uq_repeated_grouped\seed_42\photo_current_split_manifest.csv,0,104,16,24,16,True,True
43,I_photo,artifacts\results\net_photocurrent_retrain\uq_repeated_grouped\seed_43\photo_current_split_manifest.csv,0,104,16,24,16,True,True
44,I_photo,artifacts\results\net_photocurrent_retrain\uq_repeated_grouped\seed_44\photo_current_split_manifest.csv,0,104,16,24,16,True,True
45,I_photo,artifacts\results\net_photocurrent_retrain\uq_repeated_grouped\seed_45\photo_current_split_manifest.csv,0,104,16,24,16,True,True
46,I_photo,artifacts\results\net_photocurrent_retrain\uq_repeated_grouped\seed_46\photo_current_split_manifest.csv,0,104,16,24,16,True,True
47,I_photo,artifacts\results\net_photocurrent_retrain\uq_repeated_grouped\seed_47\photo_current_split_manifest.csv,0,104,16,24,16,True,True
48,I_photo,artifacts\results\net_photocurrent_retrain\uq_repeated_grouped\seed_48\photo_current_split_manifest.csv,0,104,16,24,16,True,True
49,I_photo,artifacts\results\net_photocurrent_retrain\uq_repeated_grouped\seed_49\photo_current_split_manifest.csv,0,104,16,24,16,True,True
50,I_photo,artifacts\results\net_photocurrent_retrain\uq_repeated_grouped\seed_50\photo_current_split_manifest.csv,0,104,16,24,16,True,True
51,I_photo,artifacts\results\net_photocurrent_retrain\uq_repeated_grouped\seed_51\photo_current_split_manifest.csv,0,104,16,24,16,True,True
