mechanism_index,mechanism,photo_role,mechanism_drive,mechanism_initial_sign,mechanism_scale,term_index,term_name,expression,dependencies,probability,active_gate,coefficient_model_space
0,reverse_leakage,mechanism,reverse_zero,-1.0,-1.1214344501495361,10,dark_voltage_over_temperature,dark_voltage/simulation_temperature,"dark_voltage,simulation_temperature",0.8781090974807739,1.0,-0.17203763127326965
0,reverse_leakage,mechanism,reverse_zero,-1.0,-1.1214344501495361,0,one,1,,0.8776692152023315,1.0,0.11995180696249008
0,reverse_leakage,mechanism,reverse_zero,-1.0,-1.1214344501495361,5,reverse_saturation_dark_voltage,1-exp(-(softplus(-dark_voltage/0.2)-log(2))),dark_voltage,0.8734398484230042,1.0,0.16093964874744415
0,reverse_leakage,mechanism,reverse_zero,-1.0,-1.1214344501495361,7,reverse_gate_dark_voltage,sigmoid(-dark_voltage/0.2),dark_voltage,0.8677490949630737,1.0,0.1764526665210724
0,reverse_leakage,mechanism,reverse_zero,-1.0,-1.1214344501495361,1,dark_voltage_z,scaled(dark_voltage),dark_voltage,0.8599885702133179,1.0,-0.16507183015346527
1,higher_order_symbolic_residual,residual,all,0.0,1.0,10,dark_voltage_over_temperature,dark_voltage/simulation_temperature,"dark_voltage,simulation_temperature",0.856145977973938,1.0,-0.12701544165611267
1,higher_order_symbolic_residual,residual,all,0.0,1.0,0,one,1,,0.8486636281013489,1.0,-0.11362945288419724
0,reverse_leakage,mechanism,reverse_zero,-1.0,-1.1214344501495361,6,forward_gate_dark_voltage,sigmoid(dark_voltage/0.2),dark_voltage,0.8456060290336609,1.0,-0.13729383051395416
0,reverse_leakage,mechanism,reverse_zero,-1.0,-1.1214344501495361,3,soft_reverse_dark_voltage,softplus(-dark_voltage/0.2),dark_voltage,0.836509644985199,1.0,0.14532290399074554
1,higher_order_symbolic_residual,residual,all,0.0,1.0,13,dark_voltage_over_length,dark_voltage/active_layer_length,"dark_voltage,active_layer_length",0.8222656846046448,1.0,-0.1368909627199173
1,higher_order_symbolic_residual,residual,all,0.0,1.0,1,dark_voltage_z,scaled(dark_voltage),dark_voltage,0.820736825466156,1.0,-0.1616569310426712
0,reverse_leakage,mechanism,reverse_zero,-1.0,-1.1214344501495361,4,tanh_reverse_dark_voltage,tanh(-dark_voltage/1.0),dark_voltage,0.8074407577514648,1.0,0.11074929684400558
1,higher_order_symbolic_residual,residual,all,0.0,1.0,2,dark_voltage_z2,scaled(dark_voltage)^2,dark_voltage,0.7932278513908386,1.0,0.14222216606140137
1,higher_order_symbolic_residual,residual,all,0.0,1.0,3,soft_reverse_dark_voltage,softplus(-dark_voltage/0.2),dark_voltage,0.7614730596542358,1.0,0.10474710166454315
0,reverse_leakage,mechanism,reverse_zero,-1.0,-1.1214344501495361,13,dark_voltage_over_length,dark_voltage/active_layer_length,"dark_voltage,active_layer_length",0.7580472230911255,1.0,-0.06467093527317047
1,higher_order_symbolic_residual,residual,all,0.0,1.0,4,tanh_reverse_dark_voltage,tanh(-dark_voltage/1.0),dark_voltage,0.7378488779067993,1.0,0.06613275408744812
1,higher_order_symbolic_residual,residual,all,0.0,1.0,9,inverse_temperature,1/simulation_temperature,simulation_temperature,0.7235941290855408,1.0,-0.011897103860974312
1,higher_order_symbolic_residual,residual,all,0.0,1.0,8,temperature_z,scaled(simulation_temperature),simulation_temperature,0.6733547449111938,1.0,0.009620366618037224
0,reverse_leakage,mechanism,reverse_zero,-1.0,-1.1214344501495361,8,temperature_z,scaled(simulation_temperature),simulation_temperature,0.6512125730514526,1.0,0.009049666114151478
0,reverse_leakage,mechanism,reverse_zero,-1.0,-1.1214344501495361,9,inverse_temperature,1/simulation_temperature,simulation_temperature,0.6487321853637695,1.0,0.004681240767240524
1,higher_order_symbolic_residual,residual,all,0.0,1.0,6,forward_gate_dark_voltage,sigmoid(dark_voltage/0.2),dark_voltage,0.6215922236442566,1.0,0.009960453025996685
1,higher_order_symbolic_residual,residual,all,0.0,1.0,5,reverse_saturation_dark_voltage,1-exp(-(softplus(-dark_voltage/0.2)-log(2))),dark_voltage,0.6193851232528687,1.0,-0.0057223765179514885
1,higher_order_symbolic_residual,residual,all,0.0,1.0,7,reverse_gate_dark_voltage,sigmoid(-dark_voltage/0.2),dark_voltage,0.6159414052963257,1.0,0.009610983543097973
