mechanism_index,mechanism,photo_role,mechanism_drive,mechanism_initial_sign,mechanism_scale,term_index,term_name,expression,dependencies,probability,active_gate,coefficient_model_space
2,surface_recombination,surface_loss,reverse,1.0,0.04464130476117134,7,reverse_gate_light_voltage,sigmoid(-light_voltage/0.2),light_voltage,0.890102744102478,1.0,-0.12909257411956787
1,field_collection,main,reverse,-1.0,-0.27876028418540955,3,soft_reverse_light_voltage,softplus(-light_voltage/0.2),light_voltage,0.8680005073547363,1.0,0.1338604986667633
1,field_collection,main,reverse,-1.0,-0.27876028418540955,1,light_voltage_z,scaled(light_voltage),light_voltage,0.8647489547729492,1.0,-0.15632857382297516
1,field_collection,main,reverse,-1.0,-0.27876028418540955,19,reverse_drive_over_length,softplus(-light_voltage/0.2)/active_layer_length,"light_voltage,active_layer_length",0.863248884677887,1.0,0.1305808126926422
1,field_collection,main,reverse,-1.0,-0.27876028418540955,13,light_voltage_over_length,light_voltage/active_layer_length,"light_voltage,active_layer_length",0.8604292869567871,1.0,-0.14695754647254944
1,field_collection,main,reverse,-1.0,-0.27876028418540955,10,light_voltage_over_temperature,light_voltage/simulation_temperature,"light_voltage,simulation_temperature",0.8274303674697876,1.0,-0.10652690380811691
1,field_collection,main,reverse,-1.0,-0.27876028418540955,4,tanh_reverse_light_voltage,tanh(-light_voltage/1.0),light_voltage,0.8203511238098145,1.0,0.10118649154901505
1,field_collection,main,reverse,-1.0,-0.27876028418540955,0,one,1,,0.8201663494110107,1.0,0.08395736664533615
4,higher_order_symbolic_residual,residual,all,0.0,1.0,0,one,1,,0.8081355094909668,1.0,-0.08258514851331711
0,photogeneration,main,all,-1.0,-1.0617555379867554,13,light_voltage_over_length,light_voltage/active_layer_length,"light_voltage,active_layer_length",0.7965877056121826,1.0,0.0956878662109375
0,photogeneration,main,all,-1.0,-1.0617555379867554,10,light_voltage_over_temperature,light_voltage/simulation_temperature,"light_voltage,simulation_temperature",0.7943757772445679,1.0,0.05389948561787605
1,field_collection,main,reverse,-1.0,-0.27876028418540955,7,reverse_gate_light_voltage,sigmoid(-light_voltage/0.2),light_voltage,0.7905656695365906,1.0,0.08104323595762253
0,photogeneration,main,all,-1.0,-1.0617555379867554,0,one,1,,0.7892392873764038,1.0,0.05830642953515053
0,photogeneration,main,all,-1.0,-1.0617555379867554,1,light_voltage_z,scaled(light_voltage),light_voltage,0.7829558849334717,1.0,0.04875108599662781
4,higher_order_symbolic_residual,residual,all,0.0,1.0,1,light_voltage_z,scaled(light_voltage),light_voltage,0.7806049585342407,1.0,0.041196487843990326
0,photogeneration,main,all,-1.0,-1.0617555379867554,24,collection_saturation_length,(1-exp(-softplus(-light_voltage/0.2)))*active_layer_length,"light_voltage,active_layer_length",0.7771627306938171,1.0,-0.05836835131049156
1,field_collection,main,reverse,-1.0,-0.27876028418540955,2,light_voltage_z2,scaled(light_voltage)^2,light_voltage,0.7681265473365784,1.0,-0.025766441598534584
0,photogeneration,main,all,-1.0,-1.0617555379867554,2,light_voltage_z2,scaled(light_voltage)^2,light_voltage,0.7675354480743408,1.0,-0.0388016514480114
4,higher_order_symbolic_residual,residual,all,0.0,1.0,10,light_voltage_over_temperature,light_voltage/simulation_temperature,"light_voltage,simulation_temperature",0.7636362314224243,1.0,0.04251917451620102
2,surface_recombination,surface_loss,reverse,1.0,0.04464130476117134,8,temperature_z,scaled(simulation_temperature),simulation_temperature,0.7594660520553589,1.0,0.22244594991207123
2,surface_recombination,surface_loss,reverse,1.0,0.04464130476117134,9,inverse_temperature,1/simulation_temperature,simulation_temperature,0.7563849687576294,1.0,-0.24838806688785553
4,higher_order_symbolic_residual,residual,all,0.0,1.0,24,collection_saturation_length,(1-exp(-softplus(-light_voltage/0.2)))*active_layer_length,"light_voltage,active_layer_length",0.7560049891471863,1.0,-0.04489253833889961
4,higher_order_symbolic_residual,residual,all,0.0,1.0,4,tanh_reverse_light_voltage,tanh(-light_voltage/1.0),light_voltage,0.752430260181427,1.0,0.0206354521214962
4,higher_order_symbolic_residual,residual,all,0.0,1.0,6,forward_gate_light_voltage,sigmoid(light_voltage/0.2),light_voltage,0.7397739887237549,1.0,0.010967057198286057
4,higher_order_symbolic_residual,residual,all,0.0,1.0,7,reverse_gate_light_voltage,sigmoid(-light_voltage/0.2),light_voltage,0.738813042640686,1.0,-0.022931568324565887
4,higher_order_symbolic_residual,residual,all,0.0,1.0,19,reverse_drive_over_length,softplus(-light_voltage/0.2)/active_layer_length,"light_voltage,active_layer_length",0.7367803454399109,1.0,-0.04428332671523094
4,higher_order_symbolic_residual,residual,all,0.0,1.0,3,soft_reverse_light_voltage,softplus(-light_voltage/0.2),light_voltage,0.7364538908004761,1.0,-0.013850177638232708
2,surface_recombination,surface_loss,reverse,1.0,0.04464130476117134,19,reverse_drive_over_length,softplus(-light_voltage/0.2)/active_layer_length,"light_voltage,active_layer_length",0.7349360585212708,1.0,-0.09636538475751877
4,higher_order_symbolic_residual,residual,all,0.0,1.0,5,reverse_saturation_light_voltage,1-exp(-(softplus(-light_voltage/0.2)-log(2))),light_voltage,0.7342033982276917,1.0,0.03853829577565193
4,higher_order_symbolic_residual,residual,all,0.0,1.0,22,reverse_drive_surface_recomb,softplus(-light_voltage/0.2)*(ge_sio2_recomb_velocity + ge_si_recomb_velocity)/active_layer_length,"light_voltage,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length",0.7320878505706787,1.0,-0.0024745010305196047
