task,term,draw_count,frequency
AC_Response,floor:1,20,1.0
AC_Response,floor:scaled(active_layer_length),8,0.4
AC_Response,floor:scaled(active_layer_length)^2,4,0.2
AC_Response,floor:scaled(simulation_temperature),20,1.0
AC_Response,floor:scaled(simulation_temperature)^2,20,1.0
AC_Response,logfc:1,20,1.0
AC_Response,logfc:scaled(active_layer_length),14,0.7
AC_Response,logfc:scaled(active_layer_length)*scaled(simulation_temperature),5,0.25
AC_Response,logfc:scaled(active_layer_length)^2,7,0.35
AC_Response,logfc:scaled(simulation_temperature),20,1.0
AC_Response,logfc:scaled(simulation_temperature)^2,19,0.95
AC_Response,y0:1,20,1.0
AC_Response,y0:scaled(active_layer_length),6,0.3
AC_Response,y0:scaled(active_layer_length)^2,2,0.1
AC_Response,y0:scaled(simulation_temperature),10,0.5
AC_Response,y0:scaled(simulation_temperature)^2,5,0.25
Capacitance,mechanism:symbolic_response:bias_curvature_z3,1,0.05
Capacitance,mechanism:symbolic_response:bias_depletion_knee,20,1.0
Capacitance,mechanism:symbolic_response:bias_forward_softplus2,20,1.0
Capacitance,mechanism:symbolic_response:bias_reverse_exponential,20,1.0
Capacitance,mechanism:symbolic_response:bias_reverse_softplus2,20,1.0
Capacitance,mechanism:symbolic_response:bias_signed_log_curvature,20,1.0
Capacitance,mechanism:symbolic_response:bias_v_over_length,20,1.0
Capacitance,mechanism:symbolic_response:bias_v_over_temperature,20,1.0
Capacitance,mechanism:symbolic_response:bias_v_z,20,1.0
Capacitance,mechanism:symbolic_response:bias_v_z2,20,1.0
Capacitance,mechanism:symbolic_response:depletion_knee_times_log_frequency,19,0.95
Capacitance,mechanism:symbolic_response:forward_gate_bias_v,20,1.0
Capacitance,mechanism:symbolic_response:ge_si_velocity_over_length,20,1.0
Capacitance,mechanism:symbolic_response:ge_si_velocity_z,20,1.0
Capacitance,mechanism:symbolic_response:ge_sio2_velocity_over_length,20,1.0
Capacitance,mechanism:symbolic_response:ge_sio2_velocity_z,20,1.0
Capacitance,mechanism:symbolic_response:inverse_length,20,1.0
Capacitance,mechanism:symbolic_response:inverse_temperature,20,1.0
Capacitance,mechanism:symbolic_response:length_z,20,1.0
Capacitance,mechanism:symbolic_response:one,20,1.0
Capacitance,mechanism:symbolic_response:reverse_gate_bias_v,20,1.0
Capacitance,mechanism:symbolic_response:reverse_saturation_bias_v,20,1.0
Capacitance,mechanism:symbolic_response:soft_reverse_bias_v,20,1.0
Capacitance,mechanism:symbolic_response:tanh_reverse_bias_v,20,1.0
Capacitance,mechanism:symbolic_response:temperature_z,20,1.0
I_dark,mechanism:reverse_leakage:dark_voltage_over_length,20,1.0
I_dark,mechanism:reverse_leakage:dark_voltage_over_temperature,20,1.0
I_dark,mechanism:reverse_leakage:dark_voltage_z,20,1.0
I_dark,mechanism:reverse_leakage:dark_voltage_z2,20,1.0
I_dark,mechanism:reverse_leakage:forward_gate_dark_voltage,20,1.0
I_dark,mechanism:reverse_leakage:ge_si_velocity_over_length,20,1.0
I_dark,mechanism:reverse_leakage:ge_si_velocity_z,20,1.0
I_dark,mechanism:reverse_leakage:ge_sio2_velocity_over_length,20,1.0
I_dark,mechanism:reverse_leakage:ge_sio2_velocity_z,20,1.0
I_dark,mechanism:reverse_leakage:inverse_length,20,1.0
I_dark,mechanism:reverse_leakage:inverse_temperature,20,1.0
I_dark,mechanism:reverse_leakage:length_z,20,1.0
I_dark,mechanism:reverse_leakage:one,20,1.0
I_dark,mechanism:reverse_leakage:reverse_gate_dark_voltage,20,1.0
I_dark,mechanism:reverse_leakage:reverse_saturation_dark_voltage,20,1.0
I_dark,mechanism:reverse_leakage:soft_reverse_dark_voltage,20,1.0
I_dark,mechanism:reverse_leakage:tanh_reverse_dark_voltage,20,1.0
I_dark,mechanism:reverse_leakage:temperature_z,20,1.0
I_dark,residual_branch:dark_voltage_over_length,20,1.0
I_dark,residual_branch:dark_voltage_over_temperature,20,1.0
I_dark,residual_branch:dark_voltage_z,20,1.0
I_dark,residual_branch:dark_voltage_z2,20,1.0
I_dark,residual_branch:forward_gate_dark_voltage,20,1.0
I_dark,residual_branch:ge_si_velocity_over_length,20,1.0
I_dark,residual_branch:ge_si_velocity_z,17,0.85
I_dark,residual_branch:ge_sio2_velocity_over_length,18,0.9
I_dark,residual_branch:ge_sio2_velocity_z,11,0.55
I_dark,residual_branch:inverse_length,20,1.0
I_dark,residual_branch:inverse_temperature,20,1.0
I_dark,residual_branch:length_z,19,0.95
I_dark,residual_branch:one,20,1.0
I_dark,residual_branch:reverse_gate_dark_voltage,20,1.0
I_dark,residual_branch:reverse_saturation_dark_voltage,20,1.0
I_dark,residual_branch:soft_reverse_dark_voltage,20,1.0
I_dark,residual_branch:tanh_reverse_dark_voltage,20,1.0
I_dark,residual_branch:temperature_z,20,1.0
I_dark,residual_branch:trap_A_z,15,0.75
I_photo,mechanism:field_collection:collection_saturation_length,20,1.0
I_photo,mechanism:field_collection:inverse_length,20,1.0
I_photo,mechanism:field_collection:length_collection_saturation,20,1.0
I_photo,mechanism:field_collection:length_z,20,1.0
I_photo,mechanism:field_collection:light_voltage_over_length,20,1.0
I_photo,mechanism:field_collection:light_voltage_over_temperature,20,1.0
I_photo,mechanism:field_collection:light_voltage_z,20,1.0
I_photo,mechanism:field_collection:light_voltage_z2,20,1.0
I_photo,mechanism:field_collection:one,20,1.0
I_photo,mechanism:field_collection:reverse_drive_over_length,20,1.0
I_photo,mechanism:field_collection:reverse_gate_light_voltage,20,1.0
I_photo,mechanism:field_collection:reverse_saturation_light_voltage,20,1.0
I_photo,mechanism:field_collection:soft_reverse_light_voltage,20,1.0
I_photo,mechanism:field_collection:tanh_reverse_light_voltage,20,1.0
I_photo,mechanism:photogeneration:collection_saturation_length,20,1.0
I_photo,mechanism:photogeneration:inverse_length,20,1.0
I_photo,mechanism:photogeneration:length_collection_saturation,7,0.35
I_photo,mechanism:photogeneration:length_z,20,1.0
I_photo,mechanism:photogeneration:light_voltage_over_length,20,1.0
I_photo,mechanism:photogeneration:light_voltage_over_temperature,20,1.0
I_photo,mechanism:photogeneration:light_voltage_z,20,1.0
I_photo,mechanism:photogeneration:light_voltage_z2,20,1.0
I_photo,mechanism:photogeneration:one,20,1.0
I_photo,mechanism:surface_recombination:ge_si_velocity_z,10,0.5
I_photo,mechanism:surface_recombination:ge_sio2_velocity_over_length,16,0.8
I_photo,mechanism:surface_recombination:ge_sio2_velocity_z,4,0.2
I_photo,mechanism:surface_recombination:inverse_length,2,0.1
I_photo,mechanism:surface_recombination:inverse_temperature,20,1.0
I_photo,mechanism:surface_recombination:length_z,4,0.2
I_photo,mechanism:surface_recombination:light_voltage_over_length,20,1.0
I_photo,mechanism:surface_recombination:light_voltage_over_temperature,20,1.0
I_photo,mechanism:surface_recombination:light_voltage_z,20,1.0
I_photo,mechanism:surface_recombination:light_voltage_z2,19,0.95
I_photo,mechanism:surface_recombination:one,17,0.85
I_photo,mechanism:surface_recombination:reverse_drive_over_length,20,1.0
I_photo,mechanism:surface_recombination:reverse_drive_surface_recomb,20,1.0
I_photo,mechanism:surface_recombination:reverse_gate_light_voltage,20,1.0
I_photo,mechanism:surface_recombination:reverse_saturation_light_voltage,20,1.0
I_photo,mechanism:surface_recombination:reverse_thermal_surface_recomb,20,1.0
I_photo,mechanism:surface_recombination:soft_reverse_light_voltage,20,1.0
I_photo,mechanism:surface_recombination:surface_recomb_over_length,6,0.3
I_photo,mechanism:surface_recombination:surface_recomb_sum_z,5,0.25
I_photo,mechanism:surface_recombination:tanh_reverse_light_voltage,20,1.0
I_photo,mechanism:surface_recombination:temperature_z,20,1.0
I_photo,mechanism:surface_recombination:thermal_surface_recomb_over_length,20,1.0
I_photo,mechanism:trap_recombination:inverse_length,1,0.05
I_photo,mechanism:trap_recombination:inverse_temperature,20,1.0
I_photo,mechanism:trap_recombination:light_voltage_over_length,20,1.0
I_photo,mechanism:trap_recombination:light_voltage_over_temperature,20,1.0
I_photo,mechanism:trap_recombination:light_voltage_z,20,1.0
I_photo,mechanism:trap_recombination:light_voltage_z2,13,0.65
I_photo,mechanism:trap_recombination:one,20,1.0
I_photo,mechanism:trap_recombination:reverse_drive_over_length,20,1.0
I_photo,mechanism:trap_recombination:reverse_drive_trap_A,20,1.0
I_photo,mechanism:trap_recombination:reverse_gate_light_voltage,20,1.0
I_photo,mechanism:trap_recombination:reverse_saturation_light_voltage,20,1.0
I_photo,mechanism:trap_recombination:soft_reverse_light_voltage,20,1.0
I_photo,mechanism:trap_recombination:tanh_reverse_light_voltage,20,1.0
I_photo,mechanism:trap_recombination:temperature_z,20,1.0
I_photo,mechanism:trap_recombination:trap_A_times_length,6,0.3
I_photo,mechanism:trap_recombination:trap_A_z,1,0.05
I_photo,residual_branch:collection_saturation_length,20,1.0
I_photo,residual_branch:forward_gate_light_voltage,18,0.9
I_photo,residual_branch:ge_sio2_velocity_over_length,16,0.8
I_photo,residual_branch:ge_sio2_velocity_z,19,0.95
I_photo,residual_branch:inverse_length,20,1.0
I_photo,residual_branch:inverse_temperature,12,0.6
I_photo,residual_branch:length_collection_saturation,20,1.0
I_photo,residual_branch:length_z,20,1.0
I_photo,residual_branch:light_voltage_over_length,20,1.0
I_photo,residual_branch:light_voltage_over_temperature,20,1.0
I_photo,residual_branch:light_voltage_z,20,1.0
I_photo,residual_branch:light_voltage_z2,20,1.0
I_photo,residual_branch:one,20,1.0
