structure_id,split,seed,experiment
ring_cv_dev_20260912_0000,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0001,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0002,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0003,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0004,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0005,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0006,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0007,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0008,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0009,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0010,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0011,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0012,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0013,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0014,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0015,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0016,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0017,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0018,test,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0019,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0020,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0021,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0022,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0023,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0024,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0025,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0026,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0027,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0028,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0029,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0030,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0031,test,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0032,test,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0033,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0034,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0035,test,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0036,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0037,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0038,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0039,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0040,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0041,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0042,test,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0043,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0044,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0045,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0046,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0047,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0048,test,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0049,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0050,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0051,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0052,test,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0053,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0054,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0055,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0056,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0057,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0058,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0059,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0060,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0061,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0062,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0063,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0064,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0065,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0066,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0067,train,42,ring_direct_device_metrics_v1
