task,scenario,model,n_runs,rmse_target_mean,r2_target_mean
I_dark,voltage_extreme_reverse,poly3_ridge,1,0.0768933285307506,0.6399191675621805
I_dark,voltage_extreme_reverse,spline_ridge,1,0.020739625681696,0.973804631651148
I_dark,length_high,poly3_ridge,1,0.0110588220250841,0.9961492064578126
I_dark,length_high,spline_ridge,1,0.0129700400763708,0.994703180993448
I_dark,temperature_high,poly3_ridge,1,0.0104398023858351,0.993238482868579
I_dark,temperature_high,spline_ridge,1,0.0814716638182441,0.5882128711293445
I_dark,trap_high,poly3_ridge,1,0.0111321730158809,0.9962211177937328
I_dark,trap_high,spline_ridge,1,0.0064697090230984,0.9987236406720222
I_photo,voltage_extreme_reverse,poly3_ridge,1,0.0089946156014954,-0.5961976615715883
I_photo,voltage_extreme_reverse,spline_ridge,1,0.0073183282982342,-0.0566842405551735
I_photo,length_high,poly3_ridge,1,0.0196265009400349,0.2315302887072042
I_photo,length_high,spline_ridge,1,0.0093140418151685,0.82693176581266
I_photo,temperature_high,poly3_ridge,1,0.0146700067292249,0.5985390537279844
I_photo,temperature_high,spline_ridge,1,0.007636742804266,0.8912074875263363
I_photo,trap_high,poly3_ridge,1,0.0191554104086635,0.2739752385420735
I_photo,trap_high,spline_ridge,1,0.0037085883213449,0.9727864146661048
AC_Response,frequency_high,poly3_ridge,1,13.118984167027008,-399.92665296177967
AC_Response,frequency_high,spline_ridge,1,1.815307808308997,-6.676531988623718
AC_Response,length_high,poly3_ridge,1,0.1760039729380693,0.99466231005235
AC_Response,length_high,spline_ridge,1,0.1067972183898142,0.9980347025832188
AC_Response,temperature_high,poly3_ridge,1,0.1806135096168234,0.9941978234246454
AC_Response,temperature_high,spline_ridge,1,0.1261680882478902,0.9971686763093778
Capacitance,frequency_high,poly3_ridge,1,9.776809366882611e-19,0.8971622758231814
Capacitance,frequency_high,spline_ridge,1,1.2381131155330705e-18,0.835077917137358
Capacitance,length_high,poly3_ridge,1,5.670319350103141e-19,0.9701490251615036
Capacitance,length_high,spline_ridge,1,9.551350908224197e-19,0.9153020141927364
Capacitance,temperature_high,poly3_ridge,1,5.844280537543e-19,0.9727157245458968
Capacitance,temperature_high,spline_ridge,1,3.6348816141446934e-19,0.9894456654263716
Capacitance,trap_high,poly3_ridge,1,5.384374319252093e-19,0.9750002844097324
Capacitance,trap_high,spline_ridge,1,3.0169073987939644e-19,0.9921514660771142
Capacitance,voltage_extreme_reverse,poly3_ridge,1,5.430733487586401e-18,-13.552655172820282
Capacitance,voltage_extreme_reverse,spline_ridge,1,1.9380991782344552e-19,0.9814656545689812
