task_family,stage,function,r2_threshold
DC/capacitance,1,0,0.92
DC/capacitance,1,x,0.92
DC/capacitance,1,x^2,0.92
DC/capacitance,1,sqrt,0.92
DC/capacitance,2,exp,0.96
DC/capacitance,2,1/x,0.96
DC/capacitance,3,log,0.98
DC/capacitance,3,x^3,0.98
DC/capacitance,3,abs,0.98
DC/capacitance,4,sin,0.998
DC/capacitance,4,cos,0.998
DC/capacitance,4,tanh,0.998
DC/capacitance,4,gaussian,0.998
AC,1,0,0.9
AC,1,x,0.9
AC,1,x^2,0.9
AC,2,exp,0.94
AC,2,log,0.94
AC,2,tanh,0.94
AC,2,arctan,0.94
AC,3,x^3,0.985
AC,3,gaussian,0.985
