task,candidate_index,candidate_name,computational_expression,dependencies,feature_center,feature_scale,normalization,submodel
I_dark,0,one,1,,0.0,1.0,(raw_term-feature_center)/feature_scale,mechanism_gated
I_dark,1,dark_voltage_z,scaled(dark_voltage),dark_voltage,9.623666308300471e-09,1.0000001192092896,(raw_term-feature_center)/feature_scale,mechanism_gated
I_dark,2,dark_voltage_z2,scaled(dark_voltage)^2,dark_voltage,1.000000238418579,0.8884190917015076,(raw_term-feature_center)/feature_scale,mechanism_gated
I_dark,3,soft_reverse_dark_voltage,softplus(-dark_voltage/0.2),dark_voltage,8.034539222717285,4.270114421844482,(raw_term-feature_center)/feature_scale,mechanism_gated
I_dark,4,tanh_reverse_dark_voltage,tanh(-dark_voltage/1.0),dark_voltage,0.8018437027931213,0.2416379153728485,(raw_term-feature_center)/feature_scale,mechanism_gated
I_dark,5,reverse_saturation_dark_voltage,1-exp(-(softplus(-dark_voltage/0.2)-log(2))),dark_voltage,0.9381127953529358,0.14123299717903137,(raw_term-feature_center)/feature_scale,mechanism_gated
I_dark,6,forward_gate_dark_voltage,sigmoid(dark_voltage/0.2),dark_voltage,0.03094407171010971,0.07061641663312912,(raw_term-feature_center)/feature_scale,mechanism_gated
I_dark,7,reverse_gate_dark_voltage,sigmoid(-dark_voltage/0.2),dark_voltage,0.9690568447113037,0.07061654329299927,(raw_term-feature_center)/feature_scale,mechanism_gated
I_dark,8,temperature_z,scaled(simulation_temperature),simulation_temperature,-2.4835269396561444e-09,0.9999989867210388,(raw_term-feature_center)/feature_scale,mechanism_gated
I_dark,9,inverse_temperature,1/simulation_temperature,simulation_temperature,0.003336745547130704,5.389032230596058e-05,(raw_term-feature_center)/feature_scale,mechanism_gated
I_dark,10,dark_voltage_over_temperature,dark_voltage/simulation_temperature,"dark_voltage,simulation_temperature",-0.005338801071047783,0.002884945599362254,(raw_term-feature_center)/feature_scale,mechanism_gated
I_dark,11,length_z,scaled(active_layer_length),active_layer_length,-3.0035152143170762e-09,1.0000008344650269,(raw_term-feature_center)/feature_scale,mechanism_gated
I_dark,12,inverse_length,1/active_layer_length,active_layer_length,0.025061799213290215,0.0012667510891333222,(raw_term-feature_center)/feature_scale,mechanism_gated
I_dark,13,dark_voltage_over_length,dark_voltage/active_layer_length,"dark_voltage,active_layer_length",-0.04009898006916046,0.021778104826807976,(raw_term-feature_center)/feature_scale,mechanism_gated
I_dark,14,trap_A_z,scaled(trap_assisted_recomb_A),trap_assisted_recomb_A,-2.444721758365631e-08,1.0000007152557373,(raw_term-feature_center)/feature_scale,mechanism_gated
I_dark,15,ge_sio2_velocity_z,scaled(ge_sio2_recomb_velocity),ge_sio2_recomb_velocity,-4.0481488383647957e-08,1.0000003576278687,(raw_term-feature_center)/feature_scale,mechanism_gated
I_dark,16,ge_si_velocity_z,scaled(ge_si_recomb_velocity),ge_si_recomb_velocity,5.184362272814269e-09,1.0000004768371582,(raw_term-feature_center)/feature_scale,mechanism_gated
I_dark,17,ge_sio2_velocity_over_length,ge_sio2_recomb_velocity/active_layer_length,"ge_sio2_recomb_velocity,active_layer_length",62.57060623168945,3.864370822906494,(raw_term-feature_center)/feature_scale,mechanism_gated
I_dark,18,ge_si_velocity_over_length,ge_si_recomb_velocity/active_layer_length,"ge_si_recomb_velocity,active_layer_length",12.508999824523926,0.7977609634399414,(raw_term-feature_center)/feature_scale,mechanism_gated
I_photo,0,one,1,,0.0,1.0,(raw_term-feature_center)/feature_scale,mechanism_gated
I_photo,1,light_voltage_z,scaled(light_voltage),light_voltage,-7.09405867382884e-10,0.9999964833259583,(raw_term-feature_center)/feature_scale,mechanism_gated
I_photo,2,light_voltage_z2,scaled(light_voltage)^2,light_voltage,0.9999930262565613,0.8891475796699524,(raw_term-feature_center)/feature_scale,mechanism_gated
I_photo,3,soft_reverse_light_voltage,softplus(-light_voltage/0.2),light_voltage,7.57571268081665,4.500245094299316,(raw_term-feature_center)/feature_scale,mechanism_gated
I_photo,4,tanh_reverse_light_voltage,tanh(-light_voltage/1.0),light_voltage,0.751728355884552,0.30399468541145325,(raw_term-feature_center)/feature_scale,mechanism_gated
I_photo,5,reverse_saturation_light_voltage,1-exp(-(softplus(-light_voltage/0.2)-log(2))),light_voltage,0.8794803023338318,0.26507699489593506,(raw_term-feature_center)/feature_scale,mechanism_gated
I_photo,6,forward_gate_light_voltage,sigmoid(light_voltage/0.2),light_voltage,0.060259703546762466,0.13253849744796753,(raw_term-feature_center)/feature_scale,mechanism_gated
I_photo,7,reverse_gate_light_voltage,sigmoid(-light_voltage/0.2),light_voltage,0.9397410154342651,0.1325385570526123,(raw_term-feature_center)/feature_scale,mechanism_gated
I_photo,8,temperature_z,scaled(simulation_temperature),simulation_temperature,1.3969838619232178e-09,0.9999997615814209,(raw_term-feature_center)/feature_scale,mechanism_gated
I_photo,9,inverse_temperature,1/simulation_temperature,simulation_temperature,0.003335588611662388,5.291130946716294e-05,(raw_term-feature_center)/feature_scale,mechanism_gated
I_photo,10,light_voltage_over_temperature,light_voltage/simulation_temperature,"light_voltage,simulation_temperature",-0.005003391299396753,0.0030766816344112158,(raw_term-feature_center)/feature_scale,mechanism_gated
I_photo,11,length_z,scaled(active_layer_length),active_layer_length,8.475035429000854e-08,1.0000015497207642,(raw_term-feature_center)/feature_scale,mechanism_gated
I_photo,12,inverse_length,1/active_layer_length,active_layer_length,0.02514082007110119,0.0012282743118703365,(raw_term-feature_center)/feature_scale,mechanism_gated
I_photo,13,light_voltage_over_length,light_voltage/active_layer_length,"light_voltage,active_layer_length",-0.037711285054683685,0.023279406130313873,(raw_term-feature_center)/feature_scale,mechanism_gated
