task,branch,role,drive,candidate_index,candidate_name,allowed
I_dark,reverse_leakage,other,reverse_zero,0,one,True
I_dark,reverse_leakage,other,reverse_zero,1,dark_voltage_z,True
I_dark,reverse_leakage,other,reverse_zero,2,dark_voltage_z2,True
I_dark,reverse_leakage,other,reverse_zero,3,soft_reverse_dark_voltage,True
I_dark,reverse_leakage,other,reverse_zero,4,tanh_reverse_dark_voltage,True
I_dark,reverse_leakage,other,reverse_zero,5,reverse_saturation_dark_voltage,True
I_dark,reverse_leakage,other,reverse_zero,6,forward_gate_dark_voltage,True
I_dark,reverse_leakage,other,reverse_zero,7,reverse_gate_dark_voltage,True
I_dark,reverse_leakage,other,reverse_zero,8,temperature_z,True
I_dark,reverse_leakage,other,reverse_zero,9,inverse_temperature,True
I_dark,reverse_leakage,other,reverse_zero,10,dark_voltage_over_temperature,True
I_dark,reverse_leakage,other,reverse_zero,11,length_z,True
I_dark,reverse_leakage,other,reverse_zero,12,inverse_length,True
I_dark,reverse_leakage,other,reverse_zero,13,dark_voltage_over_length,True
I_dark,reverse_leakage,other,reverse_zero,14,trap_A_z,True
I_dark,reverse_leakage,other,reverse_zero,15,ge_sio2_velocity_z,True
I_dark,reverse_leakage,other,reverse_zero,16,ge_si_velocity_z,True
I_dark,reverse_leakage,other,reverse_zero,17,ge_sio2_velocity_over_length,True
I_dark,reverse_leakage,other,reverse_zero,18,ge_si_velocity_over_length,True
I_dark,higher_order_symbolic_residual,additive_residual,all,0,one,True
I_dark,higher_order_symbolic_residual,additive_residual,all,1,dark_voltage_z,True
I_dark,higher_order_symbolic_residual,additive_residual,all,2,dark_voltage_z2,True
I_dark,higher_order_symbolic_residual,additive_residual,all,3,soft_reverse_dark_voltage,True
I_dark,higher_order_symbolic_residual,additive_residual,all,4,tanh_reverse_dark_voltage,True
I_dark,higher_order_symbolic_residual,additive_residual,all,5,reverse_saturation_dark_voltage,True
I_dark,higher_order_symbolic_residual,additive_residual,all,6,forward_gate_dark_voltage,True
I_dark,higher_order_symbolic_residual,additive_residual,all,7,reverse_gate_dark_voltage,True
I_dark,higher_order_symbolic_residual,additive_residual,all,8,temperature_z,True
I_dark,higher_order_symbolic_residual,additive_residual,all,9,inverse_temperature,True
I_dark,higher_order_symbolic_residual,additive_residual,all,10,dark_voltage_over_temperature,True
I_dark,higher_order_symbolic_residual,additive_residual,all,11,length_z,True
I_dark,higher_order_symbolic_residual,additive_residual,all,12,inverse_length,True
I_dark,higher_order_symbolic_residual,additive_residual,all,13,dark_voltage_over_length,True
I_dark,higher_order_symbolic_residual,additive_residual,all,14,trap_A_z,True
I_dark,higher_order_symbolic_residual,additive_residual,all,15,ge_sio2_velocity_z,True
I_dark,higher_order_symbolic_residual,additive_residual,all,16,ge_si_velocity_z,True
I_dark,higher_order_symbolic_residual,additive_residual,all,17,ge_sio2_velocity_over_length,True
I_dark,higher_order_symbolic_residual,additive_residual,all,18,ge_si_velocity_over_length,True
I_photo,photogeneration,main,all,0,one,True
I_photo,photogeneration,main,all,1,light_voltage_z,True
I_photo,photogeneration,main,all,2,light_voltage_z2,True
I_photo,photogeneration,main,all,3,soft_reverse_light_voltage,False
I_photo,photogeneration,main,all,4,tanh_reverse_light_voltage,False
I_photo,photogeneration,main,all,5,reverse_saturation_light_voltage,False
I_photo,photogeneration,main,all,6,forward_gate_light_voltage,False
I_photo,photogeneration,main,all,7,reverse_gate_light_voltage,False
I_photo,photogeneration,main,all,8,temperature_z,True
I_photo,photogeneration,main,all,9,inverse_temperature,True
I_photo,photogeneration,main,all,10,light_voltage_over_temperature,True
I_photo,photogeneration,main,all,11,length_z,True
I_photo,photogeneration,main,all,12,inverse_length,True
I_photo,photogeneration,main,all,13,light_voltage_over_length,True
I_photo,photogeneration,main,all,14,trap_A_z,False
I_photo,photogeneration,main,all,15,ge_sio2_velocity_z,False
I_photo,photogeneration,main,all,16,ge_si_velocity_z,False
I_photo,photogeneration,main,all,17,ge_sio2_velocity_over_length,False
I_photo,photogeneration,main,all,18,ge_si_velocity_over_length,False
I_photo,photogeneration,main,all,19,reverse_drive_over_length,False
I_photo,photogeneration,main,all,20,surface_recomb_sum_z,False
I_photo,photogeneration,main,all,21,surface_recomb_over_length,False
I_photo,photogeneration,main,all,22,reverse_drive_surface_recomb,False
I_photo,photogeneration,main,all,23,reverse_drive_trap_A,False
I_photo,photogeneration,main,all,24,collection_saturation_length,True
I_photo,photogeneration,main,all,25,length_collection_saturation,True
I_photo,photogeneration,main,all,26,thermal_surface_recomb_over_length,False
I_photo,photogeneration,main,all,27,reverse_thermal_surface_recomb,False
I_photo,photogeneration,main,all,28,trap_A_times_length,False
I_photo,photogeneration,main,all,29,trap_A_over_temperature,False
I_photo,field_collection,main,reverse,0,one,True
I_photo,field_collection,main,reverse,1,light_voltage_z,True
I_photo,field_collection,main,reverse,2,light_voltage_z2,True
I_photo,field_collection,main,reverse,3,soft_reverse_light_voltage,True
I_photo,field_collection,main,reverse,4,tanh_reverse_light_voltage,True
I_photo,field_collection,main,reverse,5,reverse_saturation_light_voltage,True
I_photo,field_collection,main,reverse,6,forward_gate_light_voltage,False
I_photo,field_collection,main,reverse,7,reverse_gate_light_voltage,True
I_photo,field_collection,main,reverse,8,temperature_z,True
I_photo,field_collection,main,reverse,9,inverse_temperature,True
I_photo,field_collection,main,reverse,10,light_voltage_over_temperature,True
I_photo,field_collection,main,reverse,11,length_z,True
I_photo,field_collection,main,reverse,12,inverse_length,True
I_photo,field_collection,main,reverse,13,light_voltage_over_length,True
I_photo,field_collection,main,reverse,14,trap_A_z,False
I_photo,field_collection,main,reverse,15,ge_sio2_velocity_z,False
I_photo,field_collection,main,reverse,16,ge_si_velocity_z,False
I_photo,field_collection,main,reverse,17,ge_sio2_velocity_over_length,False
I_photo,field_collection,main,reverse,18,ge_si_velocity_over_length,False
I_photo,field_collection,main,reverse,19,reverse_drive_over_length,True
I_photo,field_collection,main,reverse,20,surface_recomb_sum_z,False
I_photo,field_collection,main,reverse,21,surface_recomb_over_length,False
I_photo,field_collection,main,reverse,22,reverse_drive_surface_recomb,False
I_photo,field_collection,main,reverse,23,reverse_drive_trap_A,False
I_photo,field_collection,main,reverse,24,collection_saturation_length,True
I_photo,field_collection,main,reverse,25,length_collection_saturation,True
I_photo,field_collection,main,reverse,26,thermal_surface_recomb_over_length,False
I_photo,field_collection,main,reverse,27,reverse_thermal_surface_recomb,False
I_photo,field_collection,main,reverse,28,trap_A_times_length,False
I_photo,field_collection,main,reverse,29,trap_A_over_temperature,False
I_photo,surface_recombination,surface_loss,reverse,0,one,True
I_photo,surface_recombination,surface_loss,reverse,1,light_voltage_z,True
I_photo,surface_recombination,surface_loss,reverse,2,light_voltage_z2,True
I_photo,surface_recombination,surface_loss,reverse,3,soft_reverse_light_voltage,True
