logical_path,file_type,run_date,campaign_relation,bytes,modified_utc,sha256,solver,software_version,gridpoint_shapes,vertices,elements,publication_status
<FROZEN_TCAD_ROOT>/ParaSimulationFile/vertical_photodetector_p205964_20260616_162640_596.fsp,fsp,20260616,earlier_development_context,34820528,2026-06-16T10:40:53.055750+00:00,5f0c9c924e23ef7bf1d8f918074aca00b6771282c04ef2fd3d0fdc5b3284be75,FDTD,embedded native project; inspect with licensed Lumerical software,,,,hash_registered_not_packaged_commercial_binary_or_sensitive_log
<FROZEN_TCAD_ROOT>/ParaSimulationFile/vertical_photodetector_p205964_20260616_162640_596_p0.log,log,20260616,earlier_development_context,15136,2026-06-16T10:40:53.064765+00:00,0efc0d942ee03ef4a00a3b5188f496438020170a9c4b654147ed43900c49c320,FDTD,Ansys Lumerical 2024 R1 FDTD Solver Version 8.31.3633 (Windows 64bit),145x94x27;1x87x13,,,hash_registered_not_packaged_commercial_binary_or_sensitive_log
<FROZEN_TCAD_ROOT>/ParaSimulationFile/vertical_photodetector_p205964_20260616_162648_342.ldev,ldev,20260616,earlier_development_context,52825219,2026-06-16T10:41:47.419255+00:00,80d1b47da3db4534faeb014e208c4842497ca03ac1e5e2d2a5c066e37613010b,DEVICE,embedded native project; inspect with licensed Lumerical software,,,,hash_registered_not_packaged_commercial_binary_or_sensitive_log
<FROZEN_TCAD_ROOT>/ParaSimulationFile/vertical_photodetector_p205964_20260616_162648_342_p0.log,log,20260616,earlier_development_context,1232,2026-06-16T10:41:47.436151+00:00,cb631d7088c97751d3e5d84095f8ce8dd074d2adef9f81a773909a76a61758fd,DEVICE,Ansys Lumerical 2024 R1 Charge Transport Solver Version 7.13.3633 (Windows 64bit),,980,1835,hash_registered_not_packaged_commercial_binary_or_sensitive_log
<FROZEN_TCAD_ROOT>/ParaSimulationFile/vertical_photodetector_p207732_20260616_162655_240.fsp,fsp,20260616,earlier_development_context,33305280,2026-06-16T10:40:56.370557+00:00,698a883bfefa83e41d768be35f79a24b3b846cb4bfc3a5590a06cf7699b8c859,FDTD,embedded native project; inspect with licensed Lumerical software,,,,hash_registered_not_packaged_commercial_binary_or_sensitive_log
<FROZEN_TCAD_ROOT>/ParaSimulationFile/vertical_photodetector_p207732_20260616_162655_240_p0.log,log,20260616,earlier_development_context,15017,2026-06-16T10:40:56.377571+00:00,001291dadaa92c722eb31a4ea4ad911a93b2eb3efe8029e75c9486edcd730251,FDTD,Ansys Lumerical 2024 R1 FDTD Solver Version 8.31.3633 (Windows 64bit),140x94x27;1x87x13,,,hash_registered_not_packaged_commercial_binary_or_sensitive_log
<FROZEN_TCAD_ROOT>/ParaSimulationFile/vertical_photodetector_p207732_20260616_162703_650.ldev,ldev,20260616,earlier_development_context,52534940,2026-06-16T10:41:47.870821+00:00,2b743fcfa8f34f490b06e4c4c34a0bb4c4c0239c8c2bb11867070d27f6d118b0,DEVICE,embedded native project; inspect with licensed Lumerical software,,,,hash_registered_not_packaged_commercial_binary_or_sensitive_log
<FROZEN_TCAD_ROOT>/ParaSimulationFile/vertical_photodetector_p207732_20260616_162703_650_p0.log,log,20260616,earlier_development_context,1232,2026-06-16T10:41:47.886846+00:00,8c68248610b662ad86b83166ae1052498fb8c528353c767217ab038f145b1c6a,DEVICE,Ansys Lumerical 2024 R1 Charge Transport Solver Version 7.13.3633 (Windows 64bit),,973,1823,hash_registered_not_packaged_commercial_binary_or_sensitive_log
<FROZEN_TCAD_ROOT>/ParaSimulationFile/vertical_photodetector_p208780_20260616_162630_369.fsp,fsp,20260616,earlier_development_context,31257704,2026-06-16T10:40:26.193761+00:00,4ddee727fcff8eac142edfae1c5a2ef8238e3b090f76d82d1a18af224f6f68aa,FDTD,embedded native project; inspect with licensed Lumerical software,,,,hash_registered_not_packaged_commercial_binary_or_sensitive_log
<FROZEN_TCAD_ROOT>/ParaSimulationFile/vertical_photodetector_p208780_20260616_162630_369_p0.log,log,20260616,earlier_development_context,15126,2026-06-16T10:40:26.197762+00:00,eadb860effec2d7cfc1862936e668adca1a6096ff53108e75565e732e2b9289b,FDTD,Ansys Lumerical 2024 R1 FDTD Solver Version 8.31.3633 (Windows 64bit),134x94x27;1x87x13,,,hash_registered_not_packaged_commercial_binary_or_sensitive_log
