production_source_row,split
0,train
1,train
2,val
3,val
4,val
5,train
6,train
7,test
8,train
9,test
10,test
11,train
12,train
13,val
14,train
15,train
16,train
17,train
18,train
19,train
20,train
21,train
22,test
23,train
24,train
25,train
26,train
27,val
28,val
29,train
30,train
31,train
32,train
33,train
34,train
35,train
36,test
37,train
38,val
39,train
40,train
41,train
42,test
43,test
44,train
45,train
46,train
47,train
48,train
49,train
50,train
51,val
52,val
53,train
54,train
55,train
56,test
57,test
58,train
59,test
60,train
61,train
62,train
63,test
64,train
65,train
66,train
67,train
68,train
69,train
70,val
71,train
72,val
73,train
74,train
75,train
76,train
77,train
78,val
79,train
80,train
81,train
82,train
83,val
84,train
85,val
86,train
87,train
88,val
89,train
90,test
91,train
92,train
93,train
94,train
95,train
96,train
97,train
98,train
99,train
100,train
101,train
102,train
103,train
104,train
105,train
106,test
107,test
108,train
109,test
110,train
111,train
112,val
113,train
114,train
115,train
116,train
117,train
118,val
119,test
120,train
121,val
122,train
123,val
124,train
125,train
126,val
127,val
128,train
129,test
130,train
131,test
132,train
133,val
134,train
135,train
136,train
137,train
138,test
139,test
140,test
141,train
142,train
143,val
144,train
145,train
146,train
147,train
148,train
149,train
150,val
151,train
152,train
153,train
154,test
155,train
156,test
157,test
158,train
159,train
