production_source_row,evidence_rows,bias_min_V,bias_max_V,max_charge_abs_error_C,max_charge_relative_error,charge_agreement_pass,max_reported_dqdv_relative_error,full_bias_range_pass
8,3,-3.0,0.0,6.0994791186510065e-18,0.002246843113324908,True,0.0085325939394875,True
18,3,-3.0,0.0,4.912654696219359e-18,0.002028184592285328,True,0.0152513719743603,True
25,3,-3.0,0.0,2.397946634717972e-18,0.0015832979562330333,True,0.0155909141607426,True
38,3,-3.0,0.0,3.010382893984898e-18,0.0031356214330828325,True,0.0127114440034471,True
40,3,-3.0,0.0,2.2467815827263194e-18,0.0020963777553513175,True,0.0150329208360652,True
53,3,-3.0,0.0,1.5728671127084825e-17,0.005822678792662866,True,0.0140341804363916,True
57,3,-3.0,0.0,1.517297369283861e-17,0.006112519893989585,True,0.0108516777157523,True
68,3,-3.0,0.0,8.627816140875789e-19,0.000961498467770859,True,0.0097716489497067,True
82,3,-3.0,0.0,6.679820835056181e-18,0.004711410532189602,True,0.0106695984345863,True
83,3,-3.0,0.0,1.9637371435076964e-18,0.0016621486198851708,True,0.009568060246455,True
88,3,-3.0,0.0,6.919005690024033e-18,0.0031374710509292324,True,0.0106774139324148,True
90,3,-3.0,0.0,7.029258282210584e-18,0.0031832442428891433,True,0.0087161534384498,True
94,3,-3.0,0.0,3.629217195368902e-18,0.003127050029864219,True,0.0114574781361958,True
98,3,-3.0,0.0,1.1856379085813966e-17,0.004774027520209657,True,0.0102439477870927,True
99,3,-3.0,0.0,1.4315184691848727e-18,0.0005714621628043492,True,0.0082051482490853,True
154,3,-3.0,0.0,8.857391315567936e-18,0.0036352063195925115,True,0.0145426179138903,True
