parameter_degree,alpha,derivative_weight,q_validation_r2,q_validation_active_p95_relative_error,q_validation_rmse_C,dqdv_validation_median_relative_error,dqdv_validation_p95_relative_error,dqdv_validation_max_relative_error,q_accuracy_eligible,selected,selection_criterion
1,1e-07,0.0,0.9999916328320345,0.0030596417376378333,2.319472795477082e-18,0.08828743123892337,0.16974834940611733,0.17242692666253398,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,1e-07,0.003,0.9999916074036608,0.0030993748849360257,2.3229946369156442e-18,0.037572582492600495,0.09160028154804105,0.0943426200623309,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,1e-07,0.01,0.9999915085756883,0.00314965353409004,2.336631951223367e-18,0.02266183958492618,0.09019685795807843,0.09233416074465917,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,1e-07,0.03,0.9999909370679422,0.003473614831801241,2.4139840799866818e-18,0.020027506583994364,0.0863383125174943,0.08700508873069429,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,1e-07,0.1,0.9999877177907365,0.005006144433987109,2.8102068355266215e-18,0.01844436521147562,0.07623376604265113,0.07850853017757461,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,1e-07,0.3,0.9999791946659075,0.008255445863369987,3.657525701236814e-18,0.017987558793432258,0.058260334957002474,0.06209480884762531,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,1e-07,1.0,0.9999660249589559,0.011630203770610999,4.673906654256981e-18,0.011770237073277436,0.03551558697520525,0.03752690753861365,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,1e-07,3.0,0.9999575155690357,0.013579582156172694,5.226547989325905e-18,0.013155241451776028,0.023344203447665943,0.024086438336181275,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,1e-07,10.0,0.9999533665286784,0.014391880755143005,5.4758168262975025e-18,0.014293226938938376,0.021994351222283128,0.024105357924204086,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,1e-06,0.0,0.999991632832051,0.0030596324709008895,2.3194727931906978e-18,0.08828748689557545,0.16974808071644717,0.17242664638094532,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,1e-06,0.003,0.9999914776727615,0.0030989509237800794,2.3408799539761913e-18,0.08721372838915026,0.11765967672539585,0.1255460576917786,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,1e-06,0.01,0.9999911684608518,0.0031616990817103455,2.382968155404184e-18,0.06148990078489528,0.09034378069794861,0.09249238673083203,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
