seed,task,manifest,overlap_groups,train_curves,validation_curves,calibration_curves,test_curves,calibration_minimum_ok,split_disjoint
42,AC_Response,artifacts\results\uq_repeated_grouped\seed_42\ac_response_split_manifest.csv,0,104,16,24,16,True,True
42,I_dark,artifacts\results\uq_repeated_grouped\seed_42\dark_current_split_manifest.csv,0,104,16,24,16,True,True
42,I_photo,artifacts\results\uq_repeated_grouped\seed_42\photo_current_split_manifest.csv,0,104,16,24,16,True,True
43,AC_Response,artifacts\results\uq_repeated_grouped\seed_43\ac_response_split_manifest.csv,0,104,16,24,16,True,True
43,I_dark,artifacts\results\uq_repeated_grouped\seed_43\dark_current_split_manifest.csv,0,104,16,24,16,True,True
43,I_photo,artifacts\results\uq_repeated_grouped\seed_43\photo_current_split_manifest.csv,0,104,16,24,16,True,True
44,AC_Response,artifacts\results\uq_repeated_grouped\seed_44\ac_response_split_manifest.csv,0,104,16,24,16,True,True
44,I_dark,artifacts\results\uq_repeated_grouped\seed_44\dark_current_split_manifest.csv,0,104,16,24,16,True,True
44,I_photo,artifacts\results\uq_repeated_grouped\seed_44\photo_current_split_manifest.csv,0,104,16,24,16,True,True
45,AC_Response,artifacts\results\uq_repeated_grouped\seed_45\ac_response_split_manifest.csv,0,104,16,24,16,True,True
45,I_dark,artifacts\results\uq_repeated_grouped\seed_45\dark_current_split_manifest.csv,0,104,16,24,16,True,True
45,I_photo,artifacts\results\uq_repeated_grouped\seed_45\photo_current_split_manifest.csv,0,104,16,24,16,True,True
46,AC_Response,artifacts\results\uq_repeated_grouped\seed_46\ac_response_split_manifest.csv,0,104,16,24,16,True,True
46,I_dark,artifacts\results\uq_repeated_grouped\seed_46\dark_current_split_manifest.csv,0,104,16,24,16,True,True
46,I_photo,artifacts\results\uq_repeated_grouped\seed_46\photo_current_split_manifest.csv,0,104,16,24,16,True,True
47,AC_Response,artifacts\results\uq_repeated_grouped\seed_47\ac_response_split_manifest.csv,0,104,16,24,16,True,True
47,I_dark,artifacts\results\uq_repeated_grouped\seed_47\dark_current_split_manifest.csv,0,104,16,24,16,True,True
47,I_photo,artifacts\results\uq_repeated_grouped\seed_47\photo_current_split_manifest.csv,0,104,16,24,16,True,True
48,AC_Response,artifacts\results\uq_repeated_grouped\seed_48\ac_response_split_manifest.csv,0,104,16,24,16,True,True
48,I_dark,artifacts\results\uq_repeated_grouped\seed_48\dark_current_split_manifest.csv,0,104,16,24,16,True,True
48,I_photo,artifacts\results\uq_repeated_grouped\seed_48\photo_current_split_manifest.csv,0,104,16,24,16,True,True
49,AC_Response,artifacts\results\uq_repeated_grouped\seed_49\ac_response_split_manifest.csv,0,104,16,24,16,True,True
49,I_dark,artifacts\results\uq_repeated_grouped\seed_49\dark_current_split_manifest.csv,0,104,16,24,16,True,True
49,I_photo,artifacts\results\uq_repeated_grouped\seed_49\photo_current_split_manifest.csv,0,104,16,24,16,True,True
50,AC_Response,artifacts\results\uq_repeated_grouped\seed_50\ac_response_split_manifest.csv,0,104,16,24,16,True,True
50,I_dark,artifacts\results\uq_repeated_grouped\seed_50\dark_current_split_manifest.csv,0,104,16,24,16,True,True
50,I_photo,artifacts\results\uq_repeated_grouped\seed_50\photo_current_split_manifest.csv,0,104,16,24,16,True,True
51,AC_Response,artifacts\results\uq_repeated_grouped\seed_51\ac_response_split_manifest.csv,0,104,16,24,16,True,True
51,I_dark,artifacts\results\uq_repeated_grouped\seed_51\dark_current_split_manifest.csv,0,104,16,24,16,True,True
51,I_photo,artifacts\results\uq_repeated_grouped\seed_51\photo_current_split_manifest.csv,0,104,16,24,16,True,True
