seed,task,overlap_groups,train_devices,validation_devices,calibration_devices,test_devices,calibration_scores,calibration_points,test_points
42,Capacitance,0,104,16,24,16,24,9600,6400
43,Capacitance,0,104,16,24,16,24,9600,6400
44,Capacitance,0,104,16,24,16,24,9600,6400
45,Capacitance,0,104,16,24,16,24,9600,6400
46,Capacitance,0,104,16,24,16,24,9600,6400
47,Capacitance,0,104,16,24,16,24,9600,6400
48,Capacitance,0,104,16,24,16,24,9600,6400
49,Capacitance,0,104,16,24,16,24,9600,6400
50,Capacitance,0,104,16,24,16,24,9600,6400
51,Capacitance,0,104,16,24,16,24,9600,6400
