mae_log,rmse_log,mae_linear,mae_model_space,rmse_model_space,r2_model_space,picp_95,mpiw_log,mean_std_log,raw_picp_95,calibrated_picp_95,raw_mpiw_log,calibrated_mpiw_log,standard_conformal_picp_95,no_shrink_conformal_picp_95,standard_conformal_mpiw_log,no_shrink_conformal_mpiw_log,raw_gaussian_nll_model_space,standard_conformal_gaussian_nll_model_space,no_shrink_conformal_gaussian_nll_model_space,calibrated_gaussian_nll_model_space,raw_interval_score_95,standard_conformal_interval_score_95,no_shrink_conformal_interval_score_95,calibrated_interval_score_95,raw_curve_coverage_95,standard_conformal_curve_coverage_95,no_shrink_conformal_curve_coverage_95,calibrated_curve_coverage_95,raw_group_coverage_95,standard_conformal_group_coverage_95,no_shrink_conformal_group_coverage_95,calibrated_group_coverage_95,raw_device_coverage_95,standard_conformal_device_coverage_95,no_shrink_conformal_device_coverage_95,calibrated_device_coverage_95,raw_subcurve_coverage_95,standard_conformal_subcurve_coverage_95,no_shrink_conformal_subcurve_coverage_95,calibrated_subcurve_coverage_95,test_group_count,test_device_count,test_subcurve_count,test_point_count,mpiw_model_space,mean_std_model_space,calibration_z,calibration_raw_quantile,raw_z,standard_conformal_z,no_shrink_conformal_z,calibration_std_scale_vs_normal,calibration_unit,calibration_score_count,calibration_group_columns,calibration_sigma_floor_standardized,calibration_sigma_floor_model_space,seed,task,model,inference_method,calibration_device_count,calibration_subcurve_count,calibration_point_count,points_per_calibration_device,points_per_test_device,split_seed,run_label,source_checkpoint,source_manifest,raw_device_coverage_95_wilson_low,raw_device_coverage_95_wilson_high,standard_conformal_device_coverage_95_wilson_low,standard_conformal_device_coverage_95_wilson_high,no_shrink_conformal_device_coverage_95_wilson_low,no_shrink_conformal_device_coverage_95_wilson_high,calibrated_device_coverage_95_wilson_low,calibrated_device_coverage_95_wilson_high
9.017582320971235e-20,2.0524740003191766e-19,9.017580149622128e-20,9.017582320971235e-20,2.0524740003191766e-19,0.9963754241587341,88.484375,4.086075326775671e-19,8.255735299483498e-20,87.46875,88.484375,3.23624823739753e-19,4.086075326775671e-19,88.484375,88.484375,4.086075326775671e-19,4.086075326775671e-19,-0.9858739826153808,-1.5455735641583235,-1.5455735641583235,-1.5455735641583235,1.8704244789502036e-18,1.6972856262255616e-18,1.6972856262255616e-18,1.6972856262255616e-18,68.75,87.5,87.5,87.5,68.75,87.5,87.5,87.5,68.75,87.5,87.5,87.5,86.0,87.5,87.5,87.5,16,16,400,6400,4.086075326775671e-19,8.255735299483498e-20,2.474688915372146,2.474688915372146,1.96,2.474688915372146,2.474688915372146,1.2625963853939521,curve,24,_curve_id,0.0014508768916130068,4.8582127327524626e-21,42,Capacitance,bayesian_kan_vi,vi,24,600,9600,400,400,42,device_cluster_checkpoint_recalibration,artifacts\results\uq_repeated_grouped_capacitance\seed_42\Capacitance-bayes-results\model_checkpoint.pt,artifacts\results\uq_repeated_grouped_capacitance\seed_42\capacitance_split_manifest.csv,44.40435583474066,85.83535614521796,63.97717273424131,96.50225122567595,63.97717273424131,96.50225122567595,63.97717273424131,96.50225122567595
2.3839358331834464e-20,5.6800133171149e-20,2.3839161277525946e-20,2.3839358331834464e-20,5.6800133171149e-20,0.9997012345010181,100.0,3.806309581813509e-19,7.491395420133426e-20,99.890625,100.0,2.9366270046923034e-19,3.806309581813509e-19,100.0,100.0,3.806309581813509e-19,3.806309581813509e-19,-3.2929784045815054,-3.056213030403266,-3.056213030403266,-3.056213030403266,2.9431178504676844e-19,3.806309581813509e-19,3.806309581813509e-19,3.806309581813509e-19,81.25,100.0,100.0,100.0,81.25,100.0,100.0,100.0,81.25,100.0,100.0,100.0,99.0,100.0,100.0,100.0,16,16,400,6400,3.806309581813509e-19,7.491395420133426e-20,2.5404543268293507,2.5404543268293507,1.96,2.5404543268293507,2.5404543268293507,1.2961501667496687,curve,24,_curve_id,0.001084109116345644,3.623522580924189e-21,43,Capacitance,bayesian_kan_vi,vi,24,600,9600,400,400,43,device_cluster_checkpoint_recalibration,artifacts\results\uq_repeated_grouped_capacitance\seed_43\Capacitance-bayes-results\model_checkpoint.pt,artifacts\results\uq_repeated_grouped_capacitance\seed_43\capacitance_split_manifest.csv,56.991119038025865,93.40840092857187,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
1.5372559505904546e-20,3.410622913706362e-20,1.537268828215423e-20,1.5372559505904546e-20,3.410622913706362e-20,0.9998813413238631,100.0,2.9596893756076275e-19,5.078719704028154e-20,99.84375,100.0,1.9908581239790362e-19,2.9596893756076275e-19,100.0,100.0,2.9596893756076275e-19,2.9596893756076275e-19,-3.534855740070347,-3.17265011280418,-3.17265011280418,-3.17265011280418,1.9956449453336192e-19,2.9596893756076275e-19,2.9596893756076275e-19,2.9596893756076275e-19,68.75,100.0,100.0,100.0,68.75,100.0,100.0,100.0,68.75,100.0,100.0,100.0,97.5,100.0,100.0,100.0,16,16,400,6400,2.9596893756076275e-19,5.078719704028154e-20,2.9138144533357186,2.9138144533357186,1.96,2.9138144533357186,2.9138144533357186,1.4866400272121014,curve,24,_curve_id,0.0009593232534825802,3.1819742949891274e-21,44,Capacitance,bayesian_kan_vi,vi,24,600,9600,400,400,44,device_cluster_checkpoint_recalibration,artifacts\results\uq_repeated_grouped_capacitance\seed_44\Capacitance-bayes-results\model_checkpoint.pt,artifacts\results\uq_repeated_grouped_capacitance\seed_44\capacitance_split_manifest.csv,44.40435583474066,85.83535614521796,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
1.706232330948865e-20,5.0848607826521156e-20,1.7062461095866257e-20,1.706232330948865e-20,5.0848607826521156e-20,0.9997689903173621,100.0,3.1671490881844874e-19,6.44356086746553e-20,99.9375,100.0,2.5258758600464874e-19,3.1671490881844874e-19,100.0,100.0,3.1671490881844874e-19,3.1671490881844874e-19,-3.35748202549288,-3.146112828862508,-3.146112828862508,-3.146112828862508,2.532551920321375e-19,3.1671490881844874e-19,3.1671490881844874e-19,3.1671490881844874e-19,87.5,100.0,100.0,100.0,87.5,100.0,100.0,100.0,87.5,100.0,100.0,100.0,99.0,100.0,100.0,100.0,16,16,400,6400,3.1671490881844874e-19,6.44356086746553e-20,2.457607798954675,2.457607798954675,1.96,2.457607798954675,2.457607798954675,1.253881530078916,curve,24,_curve_id,0.0010612114798277618,3.547975353446472e-21,45,Capacitance,bayesian_kan_vi,vi,24,600,9600,400,400,45,device_cluster_checkpoint_recalibration,artifacts\results\uq_repeated_grouped_capacitance\seed_45\Capacitance-bayes-results\model_checkpoint.pt,artifacts\results\uq_repeated_grouped_capacitance\seed_45\capacitance_split_manifest.csv,63.97717273424131,96.50225122567595,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
2.19494731112297e-20,5.993839449429216e-20,2.1949571674489444e-20,2.19494731112297e-20,5.993839449429216e-20,0.9996937675282452,100.0,4.630547427144629e-19,6.869756669175374e-20,99.9375,100.0,2.6929446143167473e-19,4.630547427144629e-19,100.0,100.0,4.630547427144629e-19,4.630547427144629e-19,-3.2557044398912383,-2.745310668038171,-2.745310668038171,-2.745310668038171,2.713727766840139e-19,4.630547427144629e-19,4.630547427144629e-19,4.630547427144629e-19,87.5,100.0,100.0,100.0,87.5,100.0,100.0,100.0,87.5,100.0,100.0,100.0,99.0,100.0,100.0,100.0,16,16,400,6400,4.630547427144629e-19,6.869756669175374e-20,3.370241225516701,3.370241225516701,1.96,3.370241225516701,3.370241225516701,1.7195108293452557,curve,24,_curve_id,0.0011784960050135853,3.9027064405436276e-21,46,Capacitance,bayesian_kan_vi,vi,24,600,9600,400,400,46,device_cluster_checkpoint_recalibration,artifacts\results\uq_repeated_grouped_capacitance\seed_46\Capacitance-bayes-results\model_checkpoint.pt,artifacts\results\uq_repeated_grouped_capacitance\seed_46\capacitance_split_manifest.csv,63.97717273424131,96.50225122567595,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
2.2189859879920413e-20,5.839820913751915e-20,2.2189671591154343e-20,2.2189859879920413e-20,5.839820913751915e-20,0.9996985288041198,100.0,3.993211546297119e-19,5.859657668412459e-20,99.78125,100.0,2.2969858060176836e-19,3.993211546297119e-19,100.0,100.0,3.993211546297119e-19,3.993211546297119e-19,-3.484257892079367,-2.988505439202825,-2.988505439202825,-2.988505439202825,2.3340360537760023e-19,3.993211546297119e-19,3.993211546297119e-19,3.993211546297119e-19,75.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,98.0,100.0,100.0,100.0,16,16,400,6400,3.993211546297119e-19,5.859657668412459e-20,3.4073761406090717,3.4073761406090717,1.96,3.4073761406090717,3.4073761406090717,1.7384572145964652,curve,24,_curve_id,0.0007712933467701078,2.581085270348802e-21,47,Capacitance,bayesian_kan_vi,vi,24,600,9600,400,400,47,device_cluster_checkpoint_recalibration,artifacts\results\uq_repeated_grouped_capacitance\seed_47\Capacitance-bayes-results\model_checkpoint.pt,artifacts\results\uq_repeated_grouped_capacitance\seed_47\capacitance_split_manifest.csv,50.50168346449122,89.81793250878695,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
1.981076669382515e-20,4.971224685441331e-20,1.9810931204144046e-20,1.981076669382515e-20,4.971224685441331e-20,0.9997805408203296,100.0,3.3140939495321636e-19,5.125439262517619e-20,99.59375,100.0,2.0091721909069067e-19,3.3140939495321636e-19,100.0,100.0,3.3140939495321636e-19,3.3140939495321636e-19,-3.645926993354006,-3.1980119189085205,-3.1980119189085205,-3.1980119189085205,2.0473960070475014e-19,3.3140939495321636e-19,3.3140939495321636e-19,3.3140939495321636e-19,68.75,100.0,100.0,100.0,68.75,100.0,100.0,100.0,68.75,100.0,100.0,100.0,97.25,100.0,100.0,100.0,16,16,400,6400,3.3140939495321636e-19,5.125439262517619e-20,3.23298529139557,3.23298529139557,1.96,3.23298529139557,3.23298529139557,1.6494822915283522,curve,24,_curve_id,0.0007031120359897614,2.336536226424529e-21,48,Capacitance,bayesian_kan_vi,vi,24,600,9600,400,400,48,device_cluster_checkpoint_recalibration,artifacts\results\uq_repeated_grouped_capacitance\seed_48\Capacitance-bayes-results\model_checkpoint.pt,artifacts\results\uq_repeated_grouped_capacitance\seed_48\capacitance_split_manifest.csv,44.40435583474066,85.83535614521796,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
2.0018898986306608e-20,4.752899479278978e-20,2.0018888629076884e-20,2.0018898986306608e-20,4.752899479278978e-20,0.9998015511517374,100.0,5.562075140930813e-19,5.391500809893597e-20,100.0,100.0,2.1134683174782894e-19,5.562075140930813e-19,100.0,100.0,5.562075140930813e-19,5.562075140930813e-19,-3.528867680640449,-2.628844092776771,-2.628844092776771,-2.628844092776771,2.1134683174782894e-19,5.562075140930813e-19,5.562075140930813e-19,5.562075140930813e-19,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,16,16,400,6400,5.562075140930813e-19,5.391500809893597e-20,5.158188171579431,5.158188171579431,1.96,5.158188171579431,5.158188171579431,2.6317286589690974,curve,24,_curve_id,0.0007783890701830387,2.607997691249945e-21,49,Capacitance,bayesian_kan_vi,vi,24,600,9600,400,400,49,device_cluster_checkpoint_recalibration,artifacts\results\uq_repeated_grouped_capacitance\seed_49\Capacitance-bayes-results\model_checkpoint.pt,artifacts\results\uq_repeated_grouped_capacitance\seed_49\capacitance_split_manifest.csv,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
1.5689350749782624e-20,5.1464321692500686e-20,1.568926091992421e-20,1.5689350749782624e-20,5.1464321692500686e-20,0.9997539720293012,100.0,3.387885109892003e-19,5.788710419408372e-20,100.0,100.0,2.2691744844080817e-19,3.387885109892003e-19,100.0,100.0,3.387885109892003e-19,3.387885109892003e-19,-3.656594109723859,-3.276637180234358,-3.276637180234358,-3.276637180234358,2.2691744844080817e-19,3.387885109892003e-19,3.387885109892003e-19,3.387885109892003e-19,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,16,16,400,6400,3.387885109892003e-19,5.788710419408372e-20,2.926286568536156,2.926286568536156,1.96,2.926286568536156,2.926286568536156,1.4930033512939571,curve,24,_curve_id,0.0007555442629382015,2.5211715492538208e-21,50,Capacitance,bayesian_kan_vi,vi,24,600,9600,400,400,50,device_cluster_checkpoint_recalibration,artifacts\results\uq_repeated_grouped_capacitance\seed_50\Capacitance-bayes-results\model_checkpoint.pt,artifacts\results\uq_repeated_grouped_capacitance\seed_50\capacitance_split_manifest.csv,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
2.624498445459251e-20,7.132847082208842e-20,2.6244960769746543e-20,2.624498445459251e-20,7.132847082208842e-20,0.9995155036383664,100.0,5.368778749409495e-19,6.244445291214089e-20,99.9375,100.0,2.4478225541559226e-19,5.368778749409495e-19,100.0,100.0,5.368778749409495e-19,5.368778749409495e-19,-3.4908354480304813,-2.7686561691353972,-2.7686561691353972,-2.7686561691353972,2.462809626210556e-19,5.368778749409495e-19,5.368778749409495e-19,5.368778749409495e-19,87.5,100.0,100.0,100.0,87.5,100.0,100.0,100.0,87.5,100.0,100.0,100.0,99.0,100.0,100.0,100.0,16,16,400,6400,5.368778749409495e-19,6.244445291214089e-20,4.298843611428021,4.298843611428021,1.96,4.298843611428021,4.298843611428021,2.1932875568510313,curve,24,_curve_id,0.0008518951945006847,2.8578739967078423e-21,51,Capacitance,bayesian_kan_vi,vi,24,600,9600,400,400,51,device_cluster_checkpoint_recalibration,artifacts\results\uq_repeated_grouped_capacitance\seed_51\Capacitance-bayes-results\model_checkpoint.pt,artifacts\results\uq_repeated_grouped_capacitance\seed_51\capacitance_split_manifest.csv,63.97717273424131,96.50225122567595,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
