frequency_hz,bias_v,vac_mag_v,dc_current_a,terminal_charge_C,dIdV_S,dQdV_F,dynamic_current_mag_a,ac_current_real_a,ac_current_imag_a,ac_current_mag_a,admittance_mag_s,phase_deg
1000000.0,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,4.216087842169838e-12,-2.9276311913989595e-08,4.2160878421698385e-12,2.9276312217569442e-08,2.927631221756944e-05,179.9917488227871
1122018.4543019629,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,4.730528363872699e-12,-2.9276311913989595e-08,4.730528363872699e-12,2.927631229617398e-08,2.9276312296173976e-05,179.99074202691395
1258925.411794166,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,5.30774012286404e-12,-2.9276311913989595e-08,5.307740122864041e-12,2.927631239513123e-08,2.9276312395131226e-05,179.98961238337145
1412537.5446227554,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,5.955382368492434e-12,-2.9276311913989595e-08,5.955382368492434e-12,2.927631251971102e-08,2.927631251971102e-05,179.98834490247964
1584893.1924611141,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,6.682048919873045e-12,-2.9276311913989595e-08,6.682048919873044e-12,2.9276312676547688e-08,2.9276312676547687e-05,179.98692276554215
1778279.410038923,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,7.497382200646055e-12,-2.9276311913989595e-08,7.497382200646055e-12,2.9276312873993355e-08,2.927631287399335e-05,179.98532710167305
1995262.3149688789,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,8.412201188079936e-12,-2.9276311913989595e-08,8.412201188079936e-12,2.9276313122562717e-08,2.9276313122562715e-05,179.98353673739223
2238721.138568338,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,9.438644974326587e-12,-2.9276311913989595e-08,9.438644974326587e-12,2.9276313435493004e-08,2.9276313435493e-05,179.98152791566767
2511886.4315095823,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,1.059033384479893e-11,-2.9276311913989595e-08,1.059033384479893e-11,2.9276313829448885e-08,2.9276313829448884e-05,179.97927398067566
2818382.931264455,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,1.1882550011083059e-11,-2.9276311913989595e-08,1.1882550011083057e-11,2.927631432540995e-08,2.9276314325409948e-05,179.9767450240965
