# Current formula reference generated from artifacts/results/device_modeling
# Vbias I_dark I_photo I_total
-3.000 3.917238947537e-07 5.276551794653e-04 5.280469033600e-04
-2.950 3.900593792810e-07 5.271073949426e-04 5.274974543219e-04
-2.900 3.883564098690e-07 5.265437419414e-04 5.269320983513e-04
-2.850 3.866136564970e-07 5.259640545994e-04 5.263506682559e-04
-2.800 3.848297280850e-07 5.253681600243e-04 5.257529897524e-04
-2.750 3.830031690169e-07 5.247558778349e-04 5.251388810039e-04
-2.700 3.811324554313e-07 5.241270196649e-04 5.245081521203e-04
-2.650 3.792159912581e-07 5.234813886284e-04 5.238606046197e-04
-2.600 3.772521039841e-07 5.228187787400e-04 5.231960308440e-04
-2.550 3.752390401247e-07 5.221389742878e-04 5.225142133279e-04
-2.500 3.731749603798e-07 5.214417491523e-04 5.218149241127e-04
-2.450 3.710579344469e-07 5.207268660674e-04 5.210979240018e-04
-2.400 3.688859354664e-07 5.199940758147e-04 5.203629617502e-04
-2.350 3.666568340673e-07 5.192431163472e-04 5.196097731812e-04
-2.300 3.643683919826e-07 5.184737118306e-04 5.188380802226e-04
-2.250 3.620182551976e-07 5.176855715964e-04 5.180475898516e-04
-2.200 3.596039465938e-07 5.168783889938e-04 5.172379929404e-04
-2.150 3.571228580471e-07 5.160518401295e-04 5.164089629876e-04
-2.100 3.545722419328e-07 5.152055824816e-04 5.155601547235e-04
-2.050 3.519492019904e-07 5.143392533713e-04 5.146912025733e-04
-2.000 3.492506834923e-07 5.134524682753e-04 5.138017189588e-04
-1.950 3.464734626583e-07 5.125448189560e-04 5.128912924186e-04
-1.900 3.436141352522e-07 5.116158713870e-04 5.119594855223e-04
-1.850 3.406691042899e-07 5.106651634445e-04 5.110058325488e-04
-1.800 3.376345667829e-07 5.096922023310e-04 5.100298368978e-04
-1.750 3.345064994349e-07 5.086964616935e-04 5.090309681929e-04
-1.700 3.312806431998e-07 5.076773783892e-04 5.080086590324e-04
-1.650 3.279524866034e-07 5.066343488452e-04 5.069623013318e-04
-1.600 3.245172477206e-07 5.055667249466e-04 5.058912421943e-04
-1.550 3.209698546892e-07 5.044738093776e-04 5.047947792323e-04
-1.500 3.173049246333e-07 5.033548503216e-04 5.036721552462e-04
-1.450 3.135167408528e-07 5.022090354089e-04 5.025225521498e-04
-1.400 3.095992281250e-07 5.010354847780e-04 5.013450840061e-04
-1.350 3.055459259448e-07 4.998332430830e-04 5.001387890090e-04
-1.300 3.013499595122e-07 4.986012702467e-04 4.989026202062e-04
-1.250 2.970040082521e-07 4.973384307054e-04 4.976354347136e-04
-1.200 2.925002716209e-07 4.960434808359e-04 4.963359811076e-04
-1.150 2.878304319152e-07 4.947150541698e-04 4.950028846017e-04
-1.100 2.829856137492e-07 4.933516438993e-04 4.936346295131e-04
-1.050 2.779563397925e-07 4.919515820417e-04 4.922295383815e-04
-1.000 2.727324822626e-07 4.905130144442e-04 4.907857469265e-04
-0.950 2.673032095190e-07 4.890338705676e-04 4.893011737771e-04
-0.900 2.616569268897e-07 4.875118266487e-04 4.877734835756e-04
-0.850 2.557812105378e-07 4.859442603803e-04 4.862000415909e-04
-0.800 2.496627326787e-07 4.843281945944e-04 4.845778573271e-04
-0.750 2.432871756977e-07 4.826602265124e-04 4.829035136881e-04
-0.700 2.366391315226e-07 4.809364377850e-04 4.811730769165e-04
-0.650 2.297019807313e-07 4.791522785658e-04 4.793819805465e-04
-0.600 2.224577428766e-07 4.773024158851e-04 4.775248736279e-04
-0.550 2.148868846918e-07 4.753805319790e-04 4.755954188637e-04
-0.500 2.069680649778e-07 4.733790509148e-04 4.735860189797e-04
-0.450 1.986777819953e-07 4.712887598463e-04 4.714874376283e-04
-0.400 1.899898674427e-07 4.690982707801e-04 4.692882606475e-04
-0.350 1.808747341087e-07 4.667932322304e-04 4.669741069645e-04
-0.300 1.712982202276e-07 4.643551312130e-04 4.645264294333e-04
-0.250 1.612197605262e-07 4.617593859552e-04 4.619206057157e-04
-0.200 1.505894104759e-07 4.589721157684e-04 4.591227051789e-04
-0.150 1.175705523265e-07 4.559441654042e-04 4.560617359565e-04
-0.100 6.369650580901e-08 4.525983692960e-04 4.526620658018e-04
-0.050 1.790858242022e-08 4.487937005436e-04 4.488116091260e-04
0.000 0.000000000000e+00 4.440164145436e-04 4.440164145436e-04
