task,sample_id,structure_group_id,trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,simulation_temperature,ge_width_scale,optical_power_W,voltage_at_gain_threshold_v,_curve_id
APD_V_M10,apd_20260818_00001,apd_structure_20260818_00000,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,-9.476977559095427,apd_structure_20260818_00000
APD_V_M10,apd_20260818_00000,apd_structure_20260818_00000,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,1e-07,-9.4540824546549,apd_structure_20260818_00000
APD_V_M10,apd_20260818_00002,apd_structure_20260818_00001,1.957109459030406e-09,2347.604725374656,562.2013009727156,298.38517299741983,1.0177854954742045,1e-07,-9.483485362730342,apd_structure_20260818_00001
APD_V_M10,apd_20260818_00003,apd_structure_20260818_00001,1.957109459030406e-09,2347.604725374656,562.2013009727156,298.38517299741983,1.0177854954742045,3e-07,-9.489793562574834,apd_structure_20260818_00001
APD_V_M10,apd_20260818_00004,apd_structure_20260818_00002,1.278680808641093e-09,1949.2848082073167,745.0058976643504,300.8139733787138,0.9969037675808812,1e-07,-9.487747199106275,apd_structure_20260818_00002
APD_V_M10,apd_20260818_00006,apd_structure_20260818_00003,1.1218317789945128e-10,4044.000358247214,458.139258635208,290.5330923612155,1.012901408560825,1e-07,-9.467668514087944,apd_structure_20260818_00003
APD_V_M10,apd_20260818_00005,apd_structure_20260818_00002,1.278680808641093e-09,1949.2848082073167,745.0058976643504,300.8139733787138,0.9969037675808812,3e-07,-9.4790008400755,apd_structure_20260818_00002
APD_V_M10,apd_20260818_00007,apd_structure_20260818_00003,1.1218317789945128e-10,4044.000358247214,458.139258635208,290.5330923612155,1.012901408560825,3e-07,-9.508345165696154,apd_structure_20260818_00003
APD_V_M10,apd_20260818_00008,apd_structure_20260818_00004,1.364087060418038e-09,3034.2233105799905,665.6792815756161,296.499865665571,0.9947027530473126,1e-07,-9.49249016951486,apd_structure_20260818_00004
APD_V_M10,apd_20260818_00009,apd_structure_20260818_00004,1.364087060418038e-09,3034.2233105799905,665.6792815756161,296.499865665571,0.9947027530473126,3e-07,-9.503518759115703,apd_structure_20260818_00004
