sample_id,terminal_charge_bias_v,trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature,compact_port_dQdV_from_dc_F,compact_port_capacitance_from_two_contact_ssac_F,compact_port_dQdV_small_signal_relative_error,compact_port_dQdV_small_signal_validation_pass,strict_terminal_charge_both_contacts_dQdV_pass,production_source_row,split
3,-3.0,1.0882818479532783e-09,2447.508764517909,466.8571183944717,43.278933930679706,307.8168200832177,1.6890923928391952e-15,1.6922830994442301e-15,0.0018854449389009,1,1,40,train
3,-1.5,1.0882818479532783e-09,2447.508764517909,466.8571183944717,43.278933930679706,307.8168200832177,1.0016414092091192e-15,1.000584494857334e-15,0.0010551823657329,1,1,40,train
3,0.0,1.0882818479532783e-09,2447.508764517909,466.8571183944717,43.278933930679706,307.8168200832177,5.069616705220724e-16,4.993405558621947e-16,0.0150329208360652,1,1,40,train
4,-3.0,1.0352580576007263e-09,2678.9547588546675,473.131828680381,34.826156523967086,290.8089263982084,1.345276517662726e-15,1.3479829644840385e-15,0.0020077752409492,1,1,90,test
4,-1.5,1.0352580576007263e-09,2678.9547588546675,473.131828680381,34.826156523967086,290.8089263982084,7.951707216016089e-16,7.942618521383219e-16,0.001142986579607,1,1,90,test
4,0.0,1.0352580576007263e-09,2678.9547588546675,473.131828680381,34.826156523967086,290.8089263982084,4.1097047124859397e-16,4.0738838956251923e-16,0.0087161534384498,1,1,90,test
5,-3.0,8.595939611542648e-10,2643.7199291480506,484.396762738386,41.95641496228942,305.9180523366615,1.6595384675692602e-15,1.6622626993994958e-15,0.0016388696150253,1,1,53,train
5,-1.5,8.595939611542648e-10,2643.7199291480506,484.396762738386,41.95641496228942,305.9180523366615,9.81488862773203e-16,9.804812576331302e-16,0.0010266088371351,1,1,53,train
5,0.0,8.595939611542648e-10,2643.7199291480506,484.396762738386,41.95641496228942,305.9180523366615,4.943120526210524e-16,4.873747880826855e-16,0.0140341804363916,1,1,53,train
6,-3.0,1.0727653122619132e-09,2512.3283017034155,474.34077412964,42.74916053103488,290.5746947786968,1.6493246671926212e-15,1.6525286198058796e-15,0.001938818229747,1,1,8,train
6,-1.5,1.0727653122619132e-09,2512.3283017034155,474.34077412964,42.74916053103488,290.5746947786968,9.748997527104393e-16,9.737751243842078e-16,0.0011535835588272,1,1,8,train
6,0.0,1.0727653122619132e-09,2512.3283017034155,474.34077412964,42.74916053103488,290.5746947786968,5.039103737732906e-16,4.996107111719877e-16,0.0085325939394875,1,1,8,train
7,-3.0,1.0160850161999514e-09,2298.443581617521,494.46825331908406,37.50931802222772,308.1655826328421,1.4562864796397169e-15,1.459086393031669e-15,0.001918949697101,1,1,18,train
7,-1.5,1.0160850161999514e-09,2298.443581617521,494.46825331908406,37.50931802222772,308.1655826328421,8.646583669368052e-16,8.637562351557798e-16,0.0010433389827957,1,1,18,train
7,0.0,1.0160850161999514e-09,2298.443581617521,494.46825331908406,37.50931802222772,308.1655826328421,4.384057471941415e-16,4.317194580679863e-16,0.0152513719743603,1,1,18,train
0,-3.0,1.243555870393131e-09,2440.816535503744,483.6779599156501,38.81204244575611,302.5323056028984,1.4982016665120216e-15,1.5011414825774053e-15,0.001958387067111,1,1,38,val
0,-1.5,1.243555870393131e-09,2440.816535503744,483.6779599156501,38.81204244575611,302.5323056028984,8.895346998188269e-16,8.885696793676454e-16,0.0010848598164614,1,1,38,val
0,0.0,1.243555870393131e-09,2440.816535503744,483.6779599156501,38.81204244575611,302.5323056028984,4.547973555157223e-16,4.490162243981681e-16,0.0127114440034471,1,1,38,val
1,-3.0,9.60969170700449e-10,2766.6918918406623,529.8468751484584,39.61181207182135,297.3307652107198,1.532852960930775e-15,1.5358588364862765e-15,0.0019571300982181,1,1,82,train
1,-1.5,9.60969170700449e-10,2766.6918918406623,529.8468751484584,39.61181207182135,297.3307652107198,9.07589634340723e-16,9.065991694602858e-16,0.0010913135661324,1,1,82,train
1,0.0,9.60969170700449e-10,2766.6918918406623,529.8468751484584,39.61181207182135,297.3307652107198,4.657937773114392e-16,4.60823944754197e-16,0.0106695984345863,1,1,82,train
2,-3.0,1.066709170571727e-09,2302.646144768272,474.8978179470865,37.69553984942066,294.1521471075916,1.4576573988616966e-15,1.4605601408257632e-15,0.0019874169388365,1,1,83,val
2,-1.5,1.066709170571727e-09,2302.646144768272,474.8978179470865,37.69553984942066,294.1521471075916,8.628904012724689e-16,8.619279551913893e-16,0.0011153746520533,1,1,83,val
2,0.0,1.066709170571727e-09,2302.646144768272,474.8978179470865,37.69553984942066,294.1521471075916,4.4403106837363036e-16,4.3978255236013363e-16,0.009568060246455,1,1,83,val
3,-3.0,8.97912352342899e-10,2531.360993910196,491.918494232159,35.793021097389925,308.86985058095934,1.388768490484513e-15,1.391442074844723e-15,0.0019214485522211,1,1,25,train
3,-1.5,8.97912352342899e-10,2531.360993910196,491.918494232159,35.793021097389925,308.86985058095934,8.252698654745512e-16,8.243892600854755e-16,0.0010670514287706,1,1,25,train
3,0.0,8.97912352342899e-10,2531.360993910196,491.918494232159,35.793021097389925,308.86985058095934,4.1826578558318644e-16,4.117446396237833e-16,0.0155909141607426,1,1,25,train
4,-3.0,8.836751126639038e-10,2477.068135205752,531.0701614185327,43.11434944357355,296.9231984392292,1.6603832945803218e-15,1.6635742692842296e-15,0.0019181438201016,1,1,88,val
4,-1.5,8.836751126639038e-10,2477.068135205752,531.0701614185327,43.11434944357355,296.9231984392292,9.829948394167022e-16,9.81935909791853e-16,0.0010772484069982,1,1,88,val
4,0.0,8.836751126639038e-10,2477.068135205752,531.0701614185327,43.11434944357355,296.9231984392292,5.056849281344591e-16,5.002855208373839e-16,0.0106774139324148,1,1,88,val
5,-3.0,9.308015570351787e-10,2751.659002613549,471.438867720947,38.31893407640898,299.3638589999156,1.4768476065775885e-15,1.4797219757865836e-15,0.0019425062653862,1,1,94,train
5,-1.5,9.308015570351787e-10,2751.659002613549,471.438867720947,38.31893407640898,299.3638589999156,8.755563607002936e-16,8.745515434215235e-16,0.0011476328924915,1,1,94,train
5,0.0,9.308015570351787e-10,2751.659002613549,471.438867720947,38.31893407640898,299.3638589999156,4.495279453004107e-16,4.4437748869552195e-16,0.0114574781361958,1,1,94,train
6,-3.0,1.0933784852654091e-09,2410.884334287086,539.0569290920441,39.62193192256099,289.3285700165644,1.5211109517331517e-15,1.524069355117158e-15,0.0019411212318345,1,1,99,train
