nominal_structure_id,wafer_id,sampling_seed
ring_cv_confirm_20270912_0000,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0001,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0002,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0003,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0004,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0005,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0006,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0007,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0008,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0009,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0010,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0011,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0012,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0013,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0014,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0015,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0016,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0017,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0018,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0019,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0020,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0021,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0022,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0023,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0024,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0025,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0026,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0027,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0028,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0029,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0030,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0031,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0032,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0033,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0034,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0035,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0036,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0037,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0038,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0039,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0040,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0041,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0042,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0043,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0044,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0045,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0046,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0047,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0048,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0049,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0050,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0051,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0052,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0053,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0054,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0055,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0056,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0057,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0058,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0059,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0060,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0061,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0062,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0063,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0064,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0065,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0066,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0067,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0068,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0069,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0070,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0071,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0072,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0073,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0074,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0075,confirm_wafer_00,20270912
ring_cv_confirm_20270912_0076,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0077,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0078,confirm_wafer_01,20270912
ring_cv_confirm_20270912_0079,confirm_wafer_00,20270912
