nominal_structure_id,nominal_core_width_nm,nominal_coupling_gap_nm,nominal_ring_radius_um,nominal_core_thickness_nm,nominal_slab_thickness_nm,nominal_device_layer_thickness_nm,dataset_role,frozen_confirmation,sampling_method,sampling_seed,split,wafer_id
ring_cv_dev_20260912_0000,453.4861391778015,393.65923764169855,9.866658964410012,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_01
ring_cv_dev_20260912_0001,430.71790076585273,385.1806018582748,9.824529226471697,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,validation,dev_wafer_02
ring_cv_dev_20260912_0002,449.83834158224937,447.4480247184309,10.149755286136992,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,validation,dev_wafer_00
ring_cv_dev_20260912_0003,441.74856625734526,350.04313163288384,9.9716120884467,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_07
ring_cv_dev_20260912_0004,436.39766068990417,351.9581186641081,10.192538333634198,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,calibration,dev_wafer_07
ring_cv_dev_20260912_0005,442.4314080609134,351.76330032328417,9.893304392724737,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_00
ring_cv_dev_20260912_0006,463.4982569617995,405.3636634924288,10.052215508944853,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,calibration,dev_wafer_05
ring_cv_dev_20260912_0007,453.9311315023821,350.38383714655487,9.802004765108842,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_03
ring_cv_dev_20260912_0008,463.1712464454485,423.9487233437147,9.93475540871102,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_06
ring_cv_dev_20260912_0009,435.513919572924,400.4280946485819,10.095935435333606,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_00
ring_cv_dev_20260912_0010,465.32345673205873,387.4177975904164,9.938716227697878,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_04
ring_cv_dev_20260912_0011,464.5237602350668,359.9347074016135,9.87781722283138,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,calibration,dev_wafer_01
ring_cv_dev_20260912_0012,465.55025182162126,378.1145700474041,9.81855980035324,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_04
ring_cv_dev_20260912_0013,437.5542745360525,406.02001882514935,10.167616940160558,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_00
ring_cv_dev_20260912_0014,467.0334930553652,370.5719479898874,9.853940769118667,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_01
ring_cv_dev_20260912_0015,435.8826994200904,382.647244625024,9.92399463996334,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,validation,dev_wafer_06
ring_cv_dev_20260912_0016,433.2230364821811,409.2261032212492,10.047819977134491,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_04
ring_cv_dev_20260912_0017,457.1899252929137,411.35969393039056,9.821107953106852,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_03
ring_cv_dev_20260912_0018,437.8940326255517,363.13252708675486,9.80932560716442,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,internal_test,dev_wafer_04
ring_cv_dev_20260912_0019,444.1674590570447,366.6204831642344,10.011234863668657,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_02
ring_cv_dev_20260912_0020,469.239875927912,371.8753529109963,10.058892461637924,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_06
ring_cv_dev_20260912_0021,440.21587520814376,393.0060007224444,9.805727803927018,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_04
ring_cv_dev_20260912_0022,450.3203823054113,449.4612396945585,10.043944508520484,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_00
ring_cv_dev_20260912_0023,443.9910555679359,352.2553332878597,9.876601298549287,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_06
ring_cv_dev_20260912_0024,452.2119324347107,369.6942536115322,10.196548491021977,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_03
ring_cv_dev_20260912_0025,448.5375231047993,382.17035753440285,9.885704408912018,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_02
ring_cv_dev_20260912_0026,433.11775357377576,364.53220874902007,10.16558018992862,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_03
ring_cv_dev_20260912_0027,464.6682228211341,399.1048875168272,9.83427097268962,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_06
ring_cv_dev_20260912_0028,437.2331398024329,406.6147669975275,10.00131750362012,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_00
ring_cv_dev_20260912_0029,466.9376130603087,403.1997175120225,9.875665669657122,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_00
ring_cv_dev_20260912_0030,464.8619461996463,389.3648276091027,9.85740544023726,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_05
ring_cv_dev_20260912_0031,466.3539347985694,397.8395988573643,9.968890682999165,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,internal_test,dev_wafer_02
ring_cv_dev_20260912_0032,461.9427399046128,401.2753181761808,9.881938965209736,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,internal_test,dev_wafer_01
ring_cv_dev_20260912_0033,432.195010989034,381.26989117042734,9.85093298170749,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_07
ring_cv_dev_20260912_0034,449.3041213556268,381.0049173201282,10.035510612277411,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_01
ring_cv_dev_20260912_0035,457.65159901129095,423.27943873429217,9.949666835542624,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,internal_test,dev_wafer_00
ring_cv_dev_20260912_0036,450.087130872298,418.861594656715,10.142571094825524,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_02
ring_cv_dev_20260912_0037,442.5787508963488,377.421862494482,10.185385367844242,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_03
ring_cv_dev_20260912_0038,455.36188287354366,382.1941306931509,10.003499651555147,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_06
ring_cv_dev_20260912_0039,457.79775840229286,448.4446413967236,10.174927760907574,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,calibration,dev_wafer_05
ring_cv_dev_20260912_0040,448.9601835925375,426.67996015918607,10.108340950957029,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_02
ring_cv_dev_20260912_0041,453.3050100886713,381.63496094699775,9.83332115033866,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,calibration,dev_wafer_00
ring_cv_dev_20260912_0042,431.154533654326,441.9431289443203,10.094059636084358,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,internal_test,dev_wafer_06
ring_cv_dev_20260912_0043,459.4607430776719,361.3270449279876,10.02275768428966,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,calibration,dev_wafer_03
ring_cv_dev_20260912_0044,459.6120052250774,364.88320959672114,10.08521301854454,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_02
ring_cv_dev_20260912_0045,433.94322508555854,402.2067067191229,9.88735101571417,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,validation,dev_wafer_05
ring_cv_dev_20260912_0046,438.8654426906281,354.266025543408,9.879151739200733,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_02
ring_cv_dev_20260912_0047,439.5920719560884,356.9064662083535,9.874319668382046,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_04
ring_cv_dev_20260912_0048,447.5708493156907,384.2258624354434,10.032425547869176,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,internal_test,dev_wafer_07
ring_cv_dev_20260912_0049,445.971185776788,399.9546359023567,9.803684344381333,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_00
ring_cv_dev_20260912_0050,466.515969081327,377.7612677807881,10.157188460502995,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_05
ring_cv_dev_20260912_0051,446.05461180992137,411.70173714793424,10.097578668587934,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_04
ring_cv_dev_20260912_0052,449.42580982637054,394.9813384685112,9.888557778155365,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,internal_test,dev_wafer_06
ring_cv_dev_20260912_0053,434.2266718713631,401.8487235192022,10.05742736441698,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_01
ring_cv_dev_20260912_0054,458.7924859649109,399.4619615393749,10.073492077692496,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_01
ring_cv_dev_20260912_0055,447.88956394914175,361.1960936089749,10.139899331332265,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_07
ring_cv_dev_20260912_0056,463.68509400358977,412.5654366411851,9.858155072534323,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_06
ring_cv_dev_20260912_0057,462.79919984234886,356.2331959109506,10.13408977219967,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_05
